,Statistic,No.,Name,Elig.,Pos.,Ht.,Wt.,Hometown / High School,Image,Title
71,,67.0,Jack Conley,R-Sr.,OL,6-7,327.0,"New Canaan, Conn. / New Canaan",,
72,,70.0,Ozzy Trapilo,R-Jr.,OL,6-8,310.0,"Norwell, Mass. / Boston College High School",,
73,,71.0,Christian Curatolo,Jr.,OL,6-3,271.0,"Collegeville, Pa. / Malvern Prep",,
74,,72.0,Jack Funke,R-Fr.,OL,6-7,300.0,"Needham, Mass. / Xaverian",,
75,,73.0,Christian Mahogany,R-Sr.,OL,6-3,333.0,"Elmwood Park, N.J. / Paramus Catholic",,
76,,74.0,Owen Stoudmire,R-So.,DT,6-0,298.0,"Creston, Ohio / Norwayne",,
77,,76.0,Ilija Krajnovic,R-So.,OL,6-7,324.0,"Zrenjanin, Serbia / IMG Academy",,
78,,77.0,Jude Bowry,So.,OL,6-4,308.0,"Germantown, Md. / St. Frances Academy",,
79,,78.0,Jackson Ness,R-Sr.,OL,6-5,307.0,"Upper Arlington, Ohio / Upper Arlington",,
80,,79.0,Kevin Cline,R-Jr.,OL,6-6,313.0,"Boca Raton, Fla. / Boca Raton Christian",,
81,,80.0,George Takacs,Gr.,TE,6-6,243.0,"Naples, Fla. / Gulf Coast",,
82,,81.0,Holden Symonds,Fr.,TE,6-6,247.0,"Melrose, Mass. / Governor’s Academy",,
83,,82.0,Ismael Zamor,R-Fr.,WR,6-0,191.0,"Everett, Mass. / Everett",,
84,,83.0,Luke McLaughlin,R-So.,WR,5-9,178.0,"Hudson, Ohio / Hudson",,
85,,84.0,Taji Johnson,Sr.,WR,6-3,215.0,"Powder Springs, Ga. / Marietta",,
86,,85.0,Jacob Kraft,R-Jr.,WR,5-8,184.0,"Chestnut Hill, Mass. / Dexter Southfield",,
87,,86.0,Charlie Gordinier,R-Jr.,TE,6-5,243.0,"Monmouth Beach, N.J. / Red Bank Catholic",,
88,,87.0,Matt Ragan,R-Fr.,TE,6-5,243.0,"Westboro, Mass. / Lawrence Academy",,
89,,88.0,Hans Lillis,R-Jr.,TE,6-3,244.0,"Gwynedd Valley, Pa. / Germantown Academy",,
90,,89.0,Tommy Birmingham,R-Jr.,TE,6-4,221.0,"Pittsford, N.Y. / Pittsford Mendon",,
91,,90.0,Ty Clemons,R-So.,DL,6-3,272.0,"Decatur, Ala. / Sparkman",,
92,,90.0,Connor Lytton,Jr.,K,6-0,198.0,"Christiansburg, Va. / Radford",,
93,,91.0,George Rooks,R-So.,DL,6-4,276.0,"Jersey City, N.J. / St. Peter's Prep",,
94,,95.0,Liam Connor,So.,K,6-1,199.0,"Leominster, Mass. / Middlesex School",,
95,,95.0,Clive Wilson,R-Fr.,DE,6-5,248.0,"Youngstown, Ohio / Chaney",,
96,,96.0,Cam Horsley,Sr.,DT,6-3,314.0,"Cinnaminson, N.J. / Cinnaminson",,
97,,96.0,Mika Montonen,R-Fr.,K,5-9,172.0,"Overland Park, Kan. / Blue Valley West",,
98,,98.0,Nigel Tate,R-So.,DT,6-2,334.0,Washington D.C. / Bullis School,,
99,,99.0,Gilbert Tongrongou,R-Fr.,DL,6-3,262.0,"Woodbridge, Va. / Forest Park",,
0,,,Jeff Hafley,,,,,,,The Gregory P. Barber '69 and Family Head Coach
1,,,Aazaar Abdul-Rahim,,,,,,,Co-Defensive Coordinator/Defensive Backs
2,,,Matt Applebaum,,,,,,,Offensive Line
3,,,Rob Chudzinski,,,,,,,Associate Head Coach for Offense/Offensive Development
4,,,Sean Duggan,,,,,,,Co-Defensive Coordinator/Linebackers
5,,,Savon Huggins,,,,,,,Running Backs
6,,,Vince Oghobaase,,,,,,,Defensive Line
7,,,Paul Rhoads,,,,,,,Outside Linebackers
8,,,Steve Shimko,,,,,,,Offensive Coordinator/Quarterbacks
9,,,Matt Thurin,,,,,,,Special Teams Coordinator/Safeties
10,,,Darrell Wyatt,,,,,,,Wide Receivers/Pass Game Coordinator
11,,,Phil Matusz,,,,,,,Head Football Strength and Conditioning Coach
