,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown,High School / Previous Schools,Image,Title
15,,9.0,John Gentry,RB,5-11,205.0,R-So.,TR,Sam Houston,"Houston, TX",North Shore / Utah State,,
16,,9.0,Jordan Morris,DB,6-1,180.0,R-Sr.,TR,Sam Houston,"Rock Hill, S.C.",Rock Hill HS / Coastal Carolina,,
17,,10.0,Trapper Pannell,QB,6-3,205.0,Jr.,2L,Sam Houston,"Kerrville, Texas",Tivy HS,,
18,,10.0,Jaylen Phillips,LB,6-2,225.0,Jr.,2L,Sam Houston,"Katy, Texas",Katy HS,,
19,,11.0,Tristan Brady,QB,6-3,190.0,R-So.,RS,Sam Houston,"Magnolia, Texas",Magnolia West HS,,
20,,11.0,Quintavius Workman,WR,6-6,200.0,Jr.,TR,Sam Houston,"Cary, NC",Chapin HS (TX) / East Los Angeles College / UTEP,,
21,,12.0,Donovan Adkins,DB,6-0,185.0,Jr.,1L,Sam Houston,"Kilgore, Texas",Kilgore HS,,
22,,13.0,Chris Hicks,WR,5-9,175.0,So.,HS,Sam Houston,"Duncanville, Texas",Duncanville HS,,
23,,14.0,Kavian Gaither,LB,6-0,200.0,Jr.,1L,Sam Houston,"Waco, Texas",Connally HS,,
24,,15.0,Shane Johnson,WR,6-2,190.0,R-So.,RS,Sam Houston,"San Antonio, Texas",Johnson HS,,
25,,16.0,Malik Phillips,WR,5-11,175.0,Jr.,TR,Sam Houston,"Clovis, NM",Clovis HS / New Mexico Military Institute,,
26,,17.0,KeSean Raven,WR,5-10,160.0,R-So.,RS,Sam Houston,"Rockdale, Texas",Rockdale HS,,
27,,18.0,Qua'Vez Humphreys,WR,6-3,215.0,Jr.,TR,Sam Houston,"Junction City, KS",Junction City HS / Butler CC,,
28,,19.0,Emon Allen,DB,5-9,180.0,R-So.,RS,Sam Houston,"Austin, Texas",Vista Ridge HS,,
29,,20.0,David Fisher,DB,6-0,175.0,R-So.,RS,Sam Houston,"Houston, Texas",Pearland Dawson HS,,
30,,21.0,Savien Arnett,DB,5-11,170.0,R-So.,RS,Sam Houston,"Dickinson, Texas",Dickinson HS,,
31,,21.0,Zach Hrbacek,RB,5-9,175.0,R-So.,RS,Sam Houston,"Troy, Texas",Troy HS,,
32,,22.0,Jacobe Chester,DB,6-0,190.0,So.,HS,Sam Houston,"Missouri City, Texas",Fort Bend Marshall HS,,
33,,22.0,Charles Crawford III,RB,5-10,180.0,R-So.,RS,Sam Houston,"Mesquite, Texas",Horn HS,,
34,,23.0,Dakerric Hobbs,DB,6-0,185.0,Jr.,DB,Sam Houston,"Conroe, TX",Conroe HS / Kilgore JC,,
35,,23.0,Adrian Murdaugh,WR,5-9,175.0,R-So.,RS,Sam Houston,"Conroe, Texas",Oak Ridge HS,,
36,,24.0,Tobias Weaver,RB,5-11,185.0,Jr.,2L,Sam Houston,"San Antonio, Texas",Wagner HS / Naval Academy Prep,,
37,,25.0,Da'Marcus Crosby,DB,6-2,195.0,Jr.,DB,Sam Houston,"Houston, TX",Humble HS / Kilgore JC,,
