,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Headshot,Image,Name,Title
50,,47.0,Caden Smith,WR,R-Fr.,6-4,185.0,"Murrysville, PA / Franklin Regional",Pittsburgh,,,,
51,,48.0,Matthew Amofa,DB,R-Fr.,5-10,185.0,"Hillsborough, NJ / Hillsborough",Pittsburgh,,,,
52,,48.0,Lorenzo Jenkins,WR,R-Fr.,6-3,185.0,"Beaver Falls, PA / Blackhawk",Pittsburgh,,,,
53,,49.0,Byron Floyd,LS,R-Jr.,6-1,245.0,"Mentor, OH / Mentor",Pittsburgh,,,,
54,,50.0,Jason Collier Jr.,OL,R-Sr.,6-6,325.0,"West Deptford, NJ / West Deptford",Pittsburgh,,,,
55,,50.0,Dayon Hayes,DL,Sr.,6-3,270.0,"Pittsburgh, PA / Westinghouse",Pittsburgh,,,,
56,,51.0,Dorien Ford,OL,R-So.,6-4,325.0,"Pittsburgh, PA / Baldwin",Pittsburgh,,,,
57,,51.0,Drew Foster,LB,R-Fr.,6-2,215.0,"Austin, TX / Hyde Park Baptist",Pittsburgh,,,,
58,,52.0,Abe Ibrahim,LB,R-Fr.,6-1,210.0,"Bridgeville, PA / Chartiers Valley",Pittsburgh,,,,
59,,53.0,Jake Kradel,OL,R-Sr.,6-3,305.0,"Butler, PA / Butler Senior",Pittsburgh,,,,
60,,54.0,Trey Andersen,OL,R-So.,6-6,290.0,"Eagle Mountain, UT / Lehi",Pittsburgh,,,,
61,,54.0,Dylan Bennett,LB,R-So.,6-3,235.0,"Montoursville, PA / Montoursville",Pittsburgh,,,,
62,,55.0,Sean FitzSimmons,DL,R-Fr.,6-3,285.0,"Monaca, PA / Central Valley",Pittsburgh,,,,
63,,55.0,BJ Williams,OL,Fr.,6-3,295.0,"Lawrenceville, GA / Creekside",Pittsburgh,,,,
64,,56.0,Will King IV,DL,R-Jr.,6-4,280.0,"Holland, MI / Holland Christian",Pittsburgh,,,,
65,,57.0,Bam Brima,DL,R-Sr.,6-5,270.0,"Worcester, MA / Loyalsock Township (PA)",Pittsburgh,,,,
66,,58.0,Terrence Moore,OL,R-So.,6-5,305.0,"Massillon, OH / Massillon Washington",Pittsburgh,,,,
67,,59.0,Nick Lapi,LB,R-So.,6-2,220.0,"Upper Saddle River, NJ / Northern Highlands",Pittsburgh,,,,
68,,61.0,Ryan Jacoby,OL,R-Sr.,6-4,300.0,"Mentor, OH / Mentor",Pittsburgh,,,,
69,,63.0,Matt Altsman,OL,R-Jr.,6-0,285.0,"Zelienople, PA / Pittsburgh Central Catholic",Pittsburgh,,,,
70,,66.0,George French II,OL,R-Jr.,6-8,320.0,"Bethlehem, PA / Bethlehem Catholic",Pittsburgh,,,,
71,,68.0,Blake Zubovic,OL,R-Sr.,6-4,325.0,"Belle Vernon, PA / Belle Vernon Area",Pittsburgh,,,,
72,,69.0,Matt Metrosky,OL,R-So.,6-1,290.0,"Greensburg, PA / Greensburg Central Catholic",Pittsburgh,,,,
73,,70.0,Ryan Baer,OL,R-Fr.,6-7,335.0,"Eastlake, OH / North",Pittsburgh,,,,
74,,72.0,Isaiah Montgomery,OL,R-Fr.,6-4,295.0,"Virginia Beach, VA / Landstown",Pittsburgh,,,,
75,,74.0,Terrence Enos Jr.,OL,R-So.,6-4,320.0,"Redford, MI / Cass Technical",Pittsburgh,,,,
76,,76.0,Matt Goncalves,OL,R-Sr.,6-6,325.0,"Manorville, NY / Eastport-South Manor",Pittsburgh,,,,
77,,78.0,Branson Taylor,OL,R-Jr.,6-5,330.0,"Lorain, OH / Elyria Catholic",Pittsburgh,,,,
78,,81.0,Daejon Reynolds,WR,R-So.,6-2,210.0,"Springfield, IL / Grayson",Pittsburgh,,,,
79,,83.0,Lamar Seymore,WR,Fr.,6-1,185.0,"Miami, FL / Miami Central",Pittsburgh,,,,
80,,84.0,Jake McConnachie,WR,R-Jr.,6-5,205.0,"Verona, NJ / Verona",Pittsburgh,,,,
81,,85.0,Josh Altsman,TE,R-Fr.,6-3,235.0,"Zelienople, PA / Pittsburgh Central Catholic",Pittsburgh,,,,
82,,86.0,Gavin Bartholomew,TE,Jr.,6-5,255.0,"Schuylkill Haven, PA / Blue Mountain",Pittsburgh,,,,
83,,87.0,Trevor Faulkner,TE,R-So.,6-4,240.0,"Pittsburgh, PA / Avonworth",Pittsburgh,,,,
84,,88.0,Jake Renda,TE,R-So.,6-4,230.0,"Princeton, NJ / IMG Academy (FL)",Pittsburgh,,,,
85,,90.0,Deandre Jules,DL,R-Sr.,6-3,310.0,"Germantown, MD / Northwest",Pittsburgh,,,,
86,,90.0,Ben Sauls,PK,R-Jr.,5-10,185.0,"Tipp City, OH / Tippecanoe",Pittsburgh,,,,
87,,91.0,Thomas Aden,DL,R-Fr.,6-1,280.0,"Lakewood, OH / St. Edward",Pittsburgh,,,,
88,,92.0,Tyler Bentley,DL,R-Sr.,6-2,305.0,"West Chester, OH / Lakota West",Pittsburgh,,,,
89,,92.0,Cam Guess,P,R-Jr.,5-11,205.0,"Belle Vernon, PA / Belle Vernon Area",Pittsburgh,,,,
90,,93.0,James Fineran,LS,R-So.,6-5,235.0,"Towson, MD / Calvert Hall College H.S.",Pittsburgh,,,,
91,,94.0,Elliot Donald,DL,R-So.,6-2,275.0,"Pittsburgh, PA / Pittsburgh Central Catholic",Pittsburgh,,,,
92,,94.0,Sam Vander Haar,P,So.,6-0,215.0,"Melbourne, Australia / Box Hill Senior Secondary College",Pittsburgh,,,,
93,,95.0,Devin Danielson,DL,R-Sr.,6-2,290.0,"Pittsburgh, PA / Thomas Jefferson",Pittsburgh,,,,
94,,95.0,Caleb Junko,P,R-So.,6-1,200.0,"Akron, OH / Hudson",Pittsburgh,,,,
95,,96.0,Franco Fernandez-Enjo,PK,Fr.,5-10,160.0,"Glenview, IL / Glenbrook South",Pittsburgh,,,,
96,,97.0,Isaiah Neal,DL,Fr.,6-2,265.0,Washington D.C. / St. Frances Academy (MD),Pittsburgh,,,,
97,,97.0,Jeff Yurk,P,Jr.,6-1,225.0,"Southern Pines, NC / Pinecrest",Pittsburgh,,,,
98,,98.0,Brock Wilkins,LS,R-Fr.,6-1,225.0,"Blairsville, PA / Kiski Area",Pittsburgh,,,,
0,,,,,,,,,Pittsburgh,,,Pat Narduzzi,Chris Bickell '97 Head Football Coach
1,,,,,,,,,Pittsburgh,,,Charlie Partridge,Assistant Head Coach / Defensive Line
2,,,,,,,,,Pittsburgh,,,Frank Cignetti Jr.,Offensive Coordinator / Quarterbacks
3,,,,,,,,,Pittsburgh,,,Randy Bates,Defensive Coordinator
4,,,,,,,,,Pittsburgh,,,Andre Powell,Special Teams Coordinator / Running Backs
5,,,,,,,,,Pittsburgh,,,Tiquan Underwood,Wide Receivers / Passing Game Coordinator
6,,,,,,,,,Pittsburgh,,,Dave Borbely,Offensive Line
7,,,,,,,,,Pittsburgh,,,Archie Collins,Secondary
8,,,,,,,,,Pittsburgh,,,Ryan Manalac,Linebackers
9,,,,,,,,,Pittsburgh,,,Tim Salem,Tight Ends
10,,,,,,,,,Pittsburgh,,,Cory Sanders,Safeties
11,,,,,,,,,Pittsburgh,,,Michael Stacchiotti,Head Strength and Conditioning Coach
0,,,,,,,,,Pittsburgh,,,Chris LaSala,"Associate Athletic Director, Football Administration (FB)"
1,,,,,,,,,Pittsburgh,,,John Ford Jr.,"Assistant Athletic Director, Football Operations"
2,,,,,,,,,Pittsburgh,,,Mark Pennington,Assistant Director of Football Operations
3,,,,,,,,,Pittsburgh,,,Graham Wilbert,Director of Player Personnel
4,,,,,,,,,Pittsburgh,,,Adam Caltury,Director of Recruiting
5,,,,,,,,,Pittsburgh,,,Karlo Zovko,Assistant Director of Player Personnel
6,,,,,,,,,Pittsburgh,,,Alex Kline,Assistant Director of Player Personnel
7,,,,,,,,,Pittsburgh,,,Peter Collins,Offensive Quality Control
8,,,,,,,,,Pittsburgh,,,Phil DeCapito,Defensive Quality Control
9,,,,,,,,,Pittsburgh,,,Jonathan DiBiaso,Offensive Graduate Assistant
10,,,,,,,,,Pittsburgh,,,DeVaughn Gordon,Associate Strength and Conditioning Coach (FB)
11,,,,,,,,,Pittsburgh,,,Michael Ray,Assistant Strength and Conditioning Coach (FB)
12,,,,,,,,,Pittsburgh,,,Ryan Ross,Assistant Strength and Conditioning Coach (FB)
13,,,,,,,,,Pittsburgh,,,Parker Showers,Assistant Strength and Conditioning Coach (FB)
14,,,,,,,,,Pittsburgh,,,Chris Hanks,Assistant Athletic Director / Head Football Athletic Trainer
15,,,,,,,,,Pittsburgh,,,Ryan Bohn,Athletic Trainer (FB)
16,,,,,,,,,Pittsburgh,,,Ada Weiss,Athletic Trainer (FB)
17,,,,,,,,,Pittsburgh,,,Sina D'Amico,Sports Dietitian (FB)
18,,,,,,,,,Pittsburgh,,,Danielle Kravits,Sports Nutrition Fellow (FB)
19,,,,,,,,,Pittsburgh,,,Chris Dountas,Director of Football Equipment Services
20,,,,,,,,,Pittsburgh,,,Danny Kozusko,Assistant Director of Football Equipment Services
21,,,,,,,,,Pittsburgh,,,Taylor Wilhelm,Director of Creative Media
22,,,,,,,,,Pittsburgh,,,Max Behr,Assistant Director of Creative Media
23,,,,,,,,,Pittsburgh,,,Chad Bogard,Director of Football Video Services
24,,,,,,,,,Pittsburgh,,,Nate Sexauer,Assistant Director of Football Video Services
25,,,,,,,,,Pittsburgh,,,Greg Daniels,Director of Broadcast and Video Production (FB)
26,,,,,,,,,Pittsburgh,,,Mitch Robinson,Assistant Director of Broadcast and Video Production (FB)
27,,,,,,,,,Pittsburgh,,,Sam Kukura,Recruiting Analyst
28,,,,,,,,,Pittsburgh,,,Sam Wheatley,Academic Counselor (FB)
29,,,,,,,,,Pittsburgh,,,Carter Pickering,Academic Counselor (FB)
30,,,,,,,,,Pittsburgh,,,Monica McNeil,Academic Counselor (FB)
31,,,,,,,,,Pittsburgh,,,E.J. Borghetti,"Executive Associate Athletic Director, Communications"
32,,,,,,,,,Pittsburgh,,,R.J. Sepich,"Director of Football Communications and Digital StrategyFB, WRES"
33,,,,,,,,,Pittsburgh,,,Vicki Kline,General Administrative Assistant to Coach Narduzzi
34,,,,,,,,,Pittsburgh,,,Lynnie Koontz,Administrative Assistant for Recruiting
