,Statistic,Image,#,Name,Academic Year,Pos.,Ht.,Wt.,Hometown,High School,Previous School,Title
3,,,,Marcus Hall-Oliver,,,,,,,,Safeties/Recruiting Coordinator
4,,,,Eddie Whitley Jr.,,,,,,,,Rovers
5,,,,John Miller,,,,,,,,Running Backs
6,,,,Damian Wroblewski,,,,,,,,Offensive Line/Associate Head Coach for Offense
7,,,,Grant Cain,,,,,,,,Special Teams Coordinator/Tight Ends/Assistant Head Coach
8,,,,Tino Sunseri,,,,,,,,Quarterbacks/Pass Game Coordinator
9,,,,Pat Kuntz,,,,,,,,Defensive Line
10,,,,Jarred Holley,,,,,,,,Cornerbacks
11,,,,Derek Owings,,,,,,,,Director of Strength & Conditioning
12,,,,Matt Transue,,,,,,,,Senior Director of Football Operations
13,,,,Andrew Burkett,,,,,,,,Director of Player Personnel
14,,,,Madi Harris,,,,,,,,Director of Recruiting Operations
15,,,,Matthew Biondi,,,,,,,,Offensive Graduate Assistant
16,,,,Alex Higgins,,,,,,,,Offensive Graduate Assistant
17,,,,Ben Harakel,,,,,,,,Defensive/Special Teams Analyst
18,,,,Logan McCormick,,,,,,,,Defensive Graduate Assistant
19,,,,Chaz LaPoint,,,,,,,,Defensive Graduate Assistant
0,,,,Nate Adams,,,,,,,,Strength & Conditioning
1,,,,Jeff Bourne,,,,,,,,Director of Athletics
2,,,,Chris Brooks,,,,,,,,Communications
3,,,,Patty Dorfer,,,,,,,,Administrative Assistant
4,,,,Adrian Guardado,,,,,,,,Strength & Conditioning
5,,,,Alaina Locus,,,,,,,,Athletic Trainer
6,,,,Jake Longenecker,,,,,,,,Fan Engagement
7,,,,Robert Marchand,,,,,,,,Equipment
8,,,,Kacie Poll,,,,,,,,Sports Dietitian
9,,,,Scooter Renkin,,,,,,,,Duke Club
10,,,,Isabella Schaetzle,,,,,,,,Academic Advisor
11,,,,Bryan Schneider,,,,,,,,Head Athletic Trainer
12,,,,Hillary Thibodeau,,,,,,,,Athletic Trainer
13,,,,Jacob Van Roekel,,,,,,,,Academic Advisor
14,,,,Kevin White,,,,,,,,Sport Administrator
