,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
37,,26.0,Walter Reynolds,S,Gr.,-,,"Detroit, Michigan / Detroit Jesuit",Ohio,Holy Cross,,,
38,,27.0,Jack Fries,S,R-Fr.,-,,"Cincinnati, Ohio /",Ohio,,,,
39,,28.0,Shane Bonner,DE,Gr.,5-11,219.0,"New Concord, Ohio / John Glenn",Ohio,,,,
40,,28.0,Rickey Hunt,RB,Fr.,-,,"Oklahoma City, Oklahoma / Millwood",Ohio,,,,
41,,30.0,Ben Johnson,S,R-Sr.,6-1,201.0,"Pickerington, Ohio / Pickerington North",Ohio,,,,
42,,31.0,Major Brown,WR,R-Jr.,6-1,207.0,"Gahanna, Ohio / Gahanna Lincoln",Ohio,,,,
43,,31.0,Justin Holloway,LS,Gr.,6-3,213.0,"Venice, Fla. / Venice",Ohio,,,,
44,,32.0,Bryce Houston,LB,Gr.,5-11,237.0,"Lewis Center, Ohio / Olentangy Orange",Ohio,,,,
45,,34.0,Dylan Stevens,LB,R-Jr.,5-10,200.0,"Powell, Ohio / Olentangy Liberty",Ohio,,,,
46,,35.0,Shay Taylor,LB,R-So.,6-3,214.0,"Mount Perry, Ohio / Sheridan High School",Ohio,,,,
47,,36.0,Cam Dorsey,S,R-Jr.,6-0,200.0,"Alpharetta, Ga. / Alpharetta",Ohio,,,,
48,,37.0,Xander Karagosian,S,R-Fr.,6-1,195.0,"Jackson, Ohio / Alexander and Jackson",Ohio,,,,
49,,37.0,Tyler Toledo,RB,R-So.,5-9,207.0,"Canal Winchester, Ohio / Canal Winchester",Ohio,,,,
50,,38.0,Keye Thompson,LB,Gr.,6-0,230.0,"Barberton, Ohio / Barberton",Ohio,,,,
51,,39.0,Mekah Ryder,CB,So.,6-0,173.0,"McKinney, Texas / McKinney High School",Ohio,,,,
52,,41.0,Devon Hunter,RB,R-So.,5-10,190.0,"Avon, Ohio / Avon",Ohio,Ball State,,,
53,,43.0,Jack Wilson,P,R-Jr.,5-10,218.0,"Lancefield, Victoria, Australia / Gisborne Secondary College (ProKick Australia)",Ohio,,,,
54,,44.0,Jeremiah Burton,DE,R-Sr.,6-1,251.0,"Reynoldsburg, Ohio / Reynoldsburg",Ohio,,,,
55,,45.0,Ben Bergfeld,LS,R-Fr.,5-9,240.0,"Davenport, Iowa / Davenport North",Ohio,,,,
56,,47.0,Bailey Russ,S,R-So.,6-1,182.0,"Cuyahoga Falls, Ohio / Walsh Jesuit",Ohio,,,,
57,,51.0,Davion Weatherspoon,OL,R-So.,6-1,292.0,"Harper Woods, Mich. / Harper Woods High School",Ohio,,,,
58,,53.0,Jay Amburgey,OL,R-Sr.,6-4,298.0,"Reynoldsburg, Ohio / Reynoldsburg",Ohio,,,,
59,,54.0,Joe Oakes,OL,R-Sr.,6-2,281.0,"Cincinnati, Ohio / Indian Hill",Ohio,,,,
60,,55.0,Rodney Mathews,DT,Gr.,6-2,295.0,"Memphis, Tenn. / Craigmont",Ohio,Hutchinson Community College,,,
61,,56.0,Ches Jackson,OL,Gr.,-,,"TIfton, Georgia /",Ohio,,,,
62,,60.0,Demond Arter,OL,R-Jr.,6-4,296.0,"Elkridge, Md. / St. John's (Washington DC)",Ohio,,,,
63,,61.0,Kaden Rogers,OL,R-So.,6-3,295.0,"Hamilton, Ohio / Ross High School",Ohio,,,,
64,,64.0,Shedrick Rhodes Jr.,OL,R-Jr.,6-4,311.0,"McDonough, Ga. / Eagle's Landing Christian Academy",Ohio,,,,
65,,65.0,Jake Skelly,OL,R-So.,6-4,265.0,"Columbus, Ohio / Bishop Harley High School",Ohio,,,,
66,,66.0,Christophe Atkinson,OL,R-Sr.,6-3,301.0,"Leesburg, Va. / Tuscarora",Ohio,,,,
67,,67.0,Kam Wright,OL,R-Fr.,6-4,315.0,"Granville, Ohio / Granville",Ohio,,,,
68,,69.0,Parker Titsworth,OL,R-Sr.,6-1,284.0,"Wexford, Pa. / North Allegheny",Ohio,,,,
69,,72.0,Kurt Danneker,OL,Gr.,6-3,334.0,"Linden, Pa. / Williamsport Area",Ohio,,,,
70,,73.0,Joseph Habinowski,OL,R-Jr.,6-5,297.0,"Pembroke Pines, Fla. / Chaminade-Madonna College Preparatory",Ohio,,,,
71,,74.0,Joseph Watson,OL,R-Fr.,6-0,270.0,"Unioto, Ohio / Unioto",Ohio,,,,
72,,75.0,Jarian Shelby,OL,R-Fr.,6-3,301.0,"Luling, La. / Hahnville High School",Ohio,,,,
73,,77.0,Jacob Dennison,OL,R-Jr.,6-5,302.0,"Mansfield, Ohio / Lexington",Ohio,Jacksonville State,,,
74,,80.0,Ryan McDole,WR,R-Fr.,6-4,205.0,"Cincinnati, Ohio / Turpin",Ohio,,,,
75,,81.0,Bralen Henderson,DT,R-So.,6-3,277.0,"Pittsburgh, Pa. / Central Catholic High School",Ohio,,,,
76,,81.0,Aramoni Rhone,WR,R-So.,6-5,194.0,"Orlando, Fla. / Plant City High School",Ohio,,,,
77,,82.0,Kyle Fullam,TE,R-Fr.,6-5,225.0,"Vandalia, Ohio / Butler Senior High School",Ohio,,,,
78,,83.0,Christian Hilton,WR,So.,-,,/,Ohio,,,,
79,,84.0,Michael Molnar,TE,R-Fr.,6-3,205.0,"Mason, Ohio / Mason",Ohio,,,,
80,,85.0,Jack Kenneally,TE,R-Fr.,-,,/,Ohio,,,,
81,,86.0,Tyler Foster,TE,R-Sr.,6-5,247.0,"Pickerington, Ohio / Pickerington",Ohio,,,,
82,,87.0,Will Kacmarek,TE,R-So.,6-6,252.0,"St. Louis, Mo. / Mary Institute and Saint Louis Country Day School",Ohio,,,,
83,,88.0,Caleb Gossett,WR,R-So.,6-3,198.0,"Lewis Center, Ohio / Olentangy",Ohio,Dayton,,,
84,,89.0,Kalos Farrier,DT,R-Jr.,6-2,328.0,"Cincinnati, Ohio / Gamble Montessori",Ohio,Hocking College,,,
85,,94.0,Bradley Weaver,DE,R-So.,6-4,248.0,"Hilliard, Ohio / Hilliard Darby High School",Ohio,,,,
86,,95.0,Dane Middlebrook,DT,R-Jr.,6-0,337.0,"Indianapolis, Ind. / Brownsburg",Ohio,,,,
87,,97.0,Rayyan Buell,DT,R-Sr.,6-2,276.0,"Hornell, N.Y. / Hornell Senior",Ohio,Northwest Mississippi CC,,,
88,,98.0,Jordon Jones,DT,R-Fr.,6-2,266.0,"Ashland, Ky. / Paul G. Blazer",Ohio,,,,
89,,99.0,Joey Woolard,DT,R-Jr.,6-1,282.0,"Grove City, Ohio / Grove City",Ohio,,,,
0,,,,,,,,,Ohio,,,Tim Albin,Head Coach
1,,,,,,,,,Ohio,,,Spence Nowinsky,Assistant Football Coach/Defensive Coordinator
2,,,,,,,,,Ohio,,,Scott Isphording,Offensive Coordinator/Quarterbacks
3,,,,,,,,,Ohio,,,Allen Rudolph,Co-Offensive Coordinator/Offensive Line
4,,,,,,,,,Ohio,,,Dwayne Dixon,Wide Receivers
5,,,,,,,,,Ohio,,,Tremayne Scott,Defensive Tackles
6,,,,,,,,,Ohio,,,John Hauser,Safeties Coach
7,,,,,,,,,Ohio,,,Brian Smith,Running Backs Coach and Passing Game Coordinator
8,,,,,,,,,Ohio,,,De'Angelo Smith,Cornerbacks/Director of Player Development
9,,,,,,,,,Ohio,,,Nate Faanes,Special Teams Coordinator/Linebackers
10,,,,,,,,,Ohio,,,Brian Metz,Tight Ends
11,,,,,,,,,Ohio,,,Jeremiah Covington,Assistant AD for Football Operations
12,,,,,,,,,Ohio,,,Kyle Pollock,Director of Recruiting and Video Operations
13,,,,,,,,,Ohio,,,Thomas Turnbaugh,Director of Video and Recruiting Services
14,,,,,,,,,Ohio,,,Will Fife,Director of Equipment
15,,,,,,,,,Ohio,,,Caleb Moon,Assistant Director of Equipment
16,,,,,,,,,Ohio,,,Kyle Obly,Graduate Assistant- Offense
17,,,,,,,,,Ohio,,,Jake Roney,Graduate Assistant - Offense
18,,,,,,,,,Ohio,,,Clay Finney,Graduate Assistant - Defense
19,,,,,,,,,Ohio,,,Danny Orrock,Graduate Assistant - Defense
20,,,,,,,,,Ohio,,,Elaine Goodfellow,Administrative Assistant
0,,,,,,,,,Ohio,,,Jake Miller,Director of Strength & Conditioning
1,,,,,,,,,Ohio,,,Sarah Newgarde,"Director of Athletics Communications (Football, Wrestling, Baseball)"
2,,,,,,,,,Ohio,,,Matthias Reiber,Head Football Athletic Trainer
3,,,,,,,,,Ohio,,,Jerry Lin,"Staff Athletic Trainer (Football, Swim & Dive)"
4,,,,,,,,,Ohio,,,"Jessica Arquette MS, RDN, LD",Ohio Athletics Sports Dietitian
5,,,,,,,,,Ohio,,,Kaitlyn Michener,Nutritionist
6,,,,,,,,,Ohio,,,Hannah Rastatter,Nutritionist
