,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Major,Image,Name,Title
109,,92.0,Gerrod Henderson,DL,6-2,275.0,Fr.,"Spring, Texas / Spring",Tulane,,,,
110,,93.0,Elijah Champaigne,DL,6-2,280.0,R-Fr.,"Tomball, Texas / Tomball Memorial",Tulane,,,,
111,,94.0,Eric Hicks Jr.,DL,6-3,290.0,R-So.,"Savannah, Ga. / Benedictine Military School",Tulane,Undeclared Business,,,
112,,95.0,Adonis Friloux,DL,6-1,310.0,So.,"Hahnville, La. / Hahnville High School",Tulane,,,,
113,,96.0,Casey Glover,P,6-5,205.0,R-Jr.,"Jericho, N.Y. / Friends Academy",Tulane,Marketing,,,
114,,97.0,Maxie Baudoin IV,DL,6-4,313.0,Fr.,"Youngsville, La. / Ascension Episcopal",Tulane,,,,
115,,98.0,Parker Petersen,DL,6-4,274.0,R-Fr.,"Nashville, Tenn. / Father Ryan",Tulane,,,,
116,,99.0,Alfred Thomas,DL,6-3,300.0,Sr.,"Montgomery, AL / Sidney Lanier High School",Tulane,Sociology,,,
0,,,,,,,,,Tulane,,,Willie Fritz,Head Coach
1,,,,,,,,,Tulane,,,Chris Hampton,Defensive Coordinator
2,,,,,,,,,Tulane,,,Jim Svoboda,Offensive Coordinator
3,,,,,,,,,Tulane,,,Slade Nagle,Tight Ends Coach
4,,,,,,,,,Tulane,,,Michael Mutz,Linebackers Coach
5,,,,,,,,,Tulane,,,Joshua Christian-Young,Defensive Backs Coach
6,,,,,,,,,Tulane,,,Robby Discher,Special Teams Coordinator
7,,,,,,,,,Tulane,,,John McMenamin,Wide Receivers Coach
8,,,,,,,,,Tulane,,,Derrick Sherman,Running Backs Coach
9,,,,,,,,,Tulane,,,Travian Robertson,Defensive Line Coach
10,,,,,,,,,Tulane,,,Eman Naghavi,Offensive Line Coach
11,,,,,,,,,Tulane,,,J.J McCleskey,"Analyst, Defense"
0,,,,,,,,,Tulane,,,Donn Landholm,"Director, Recruiting Operations"
1,,,,,,,,,Tulane,,,Shane Meyer,"Director, Football Operations"
2,,,,,,,,,Tulane,,,Wes Fritz,"Director, Player Personnel"
3,,,,,,,,,Tulane,,,Kurt Hester,"Director, Strength & Conditioning (FB)"
4,,,,,,,,,Tulane,,,Gabe Delatte,Director of Equipment
