,Statistic,No.,Full Name,Elig.,Pos.,Ht.,Wt.,Hometown/Previous School,Current School Name,Image,Name,Title
44,,10.0,Johnathan Hall,Fr.,S,6-0,210.0,"Katy, Texas / Katy HS",Utah,,,
45,,14.0,Kaimana Hanohano,R-Fr.,WR,6-2,198.0,"Mesa, Ariz. / Highland HS",Utah,,,
46,,79.0,Alex Harrison,Jr.,OL,6-4,319.0,"Bountiful, Utah / Viewmont HS",Utah,,,
47,,9.0,Mack Howard,Fr.,QB,6-2,188.0,"Columbus, Miss. / Oxford HS",Utah,,,
48,,30.0,Nick Howe,So.,CB,5-11,177.0,"North Salt Lake, Utah / Woods Cross HS",Utah,,,
49,,3.0,Ja'Quinden Jackson,So.,RB,6-2,226.0,"Dallas, Texas / Texas",Utah,,,
50,,29.0,Franky Jacobsen,Fr.,WR,5-10,174.0,"Salt Lake City, Utah / Utah State",Utah,,,
51,,48.0,Deven Johnson,So.,TE,6-4,240.0,"Salem, Utah / Salem Hills HS",Utah,,,
52,,13.0,Nate Johnson,R-Fr.,QB,6-1,192.0,"Clovis, Calif. / Clovis HS",Utah,,,
53,,15.0,Tao Johnson,R-Fr.,CB,6-1,186.0,"Idaho Falls, Idaho / Thunder Ridge HS",Utah,,,
54,,59.0,Falcon Kaumatule,Jr.,OL,6-8,303.0,"Las Vegas, Nev. / Bishop Gorman HS",Utah,,,
55,,13.0,Chase Kennedy,R-Fr.,DE,6-3,235.0,"Dallas, Texas / The Episcopal School of Dallas",Utah,,,
56,,75.0,Tyler Knaak,R-Fr.,OL,6-7,306.0,"Cottonwood Heights, Utah / Brighton HS",Utah,,,
57,,80.0,Brant Kuithe,R-Sr.,TE,6-2,220.0,"Katy, Texas / Cinco Ranch HS",Utah,,,
58,,68.0,Jaren Kump,Jr.,OL,6-5,308.0,"Riverton, Utah / Herriman HS",Utah,,,
59,,78.0,Sataoa Laumea,Jr.,OL,6-4,315.0,"Rialto, Calif. / Eisenhower HS",Utah,,,
60,,90.0,Taka Lautaha,So.,DT,6-2,302.0,"Ewa Beach, Hawaii / St. Francis HS",Utah,,,
61,,2.0,Kenzel Lawler,So.,CB,5-11,184.0,"Corona, Calif. / Eleanor Roosevelt HS",Utah,,,
62,,92.0,James LeBaron,R-Fr.,DT,6-3,261.0,"Draper, Utah / Corner Canyon HS",Utah,,,
63,,31.0,Alfredo Lira,So.,RB,5-7,192.0,"Guadalajara, Mexico / Tec De Monterrey Guadalajara",Utah,,,
64,,53.0,Johnny Maea,Sr.,OL,6-4,310.0,"Salt Lake City, Utah / East HS",Utah,,,
65,,33.0,Jocelyn Malaska,R-Fr.,CB,6-1,182.0,"Bethany, Okla. / Bethany HS",Utah,,,
66,,60.0,Shintaro Mann,Jr.,OL,5-11,295.0,"Provo, Utah / Timpview HS",Utah,,,
67,,23.0,Faybian Marks,Jr.,CB,5-10,190.0,"Richmond, Texas / George Ranch HS",Utah,,,
68,,0.0,Mikey Matthews,Fr.,WR,6-0,175.0,"Irvine, Calif. / Mission Viejo HS",Utah,,,
69,,12.0,Sidney Mbanasor,R-Fr.,WR,6-5,214.0,"Pflugerville, Texas / Pflugerville HS",Utah,,,
70,,4.0,Munir McClain,Jr.,TE,6-4,223.0,"Atlanta, Ga. / USC",Utah,,,
71,,6.0,Justin Medlock,R-Fr.,LB,6-0,219.0,"Missouri City, Texas / Manvel HS",Utah,,,
72,,20.0,Jett Meine,R-Fr.,WR,6-0,212.0,"Draper, Utah / Corner Canyon HS",Utah,,,
73,,62.0,Solatoa Moeai,Fr.,OL,6-5,357.0,"Laie, Hawaii / Punahou School",Utah,,,
74,,52.0,Michael Mokofisi,So.,OL,6-4,315.0,"Woods Cross, Utah / Woods Cross HS",Utah,,,
75,,43.0,Gavin Nawahine,So.,DE,6-2,246.0,"Meridian, Idaho / Rocky Mountain HS",Utah,,,
76,,34.0,Tiloi Nawahine,So.,CB,6-1,195.0,"Meridian, Idaho / Rocky Mountain HS",Utah,,,
77,,38.0,Ben Norton,Sr.,K,6-0,188.0,"Fishers, Ind. / Utah State",Utah,,,
78,,38.0,Brock Nowatzke,R-Fr.,S,6-0,201.0,"Santa Clara, Utah / Snow Canyon HS",Utah,,,
79,,32.0,Helaman Ofahengaue,R-Fr.,DE,6-2,221.0,"Lehi, Utah / Lehi HS",Utah,,,
80,,74.0,Keith Olson,R-Fr.,OL,6-6,307.0,"Napavine, Wash. / Napavine HS",Utah,,,
81,,81.0,Connor O'Toole,Jr.,DE,6-4,246.0,"Albuquerque, N.M. / La Cueva HS",Utah,,,
82,,10.0,Money Parks,Jr.,WR,5-10,171.0,"Aledo, Texas / Aledo HS",Utah,,,
83,,39.0,Jadon Pearson,Jr.,S,6-3,197.0,"Gilbert, Ariz. / Reedley College",Utah,,,
84,,77.0,Simote Pepa,So.,DT,6-3,330.0,"South Jordan, Utah / Bingham HS",Utah,,,
85,,5.0,Chris Reed,R-Fr.,WR,6-0,193.0,"Orlando, Fla. / Wekiva HS",Utah,,,
86,,19.0,Bryson Reeves,Jr.,S,6-1,195.0,"Montrose, Calif. / St. Francis HS",Utah,,,
87,,21.0,Karene Reid,Jr.,LB,6-0,227.0,"American Fork, Utah / Timpview HS",Utah,,,
88,,7.0,Cameron Rising,Sr.,QB,6-2,215.0,"Ventura, Calif. / Texas",Utah,,,
89,,6.0,Nate Ritchie,Fr.,S,6-2,198.0,"Cedar Hills, Utah / Lone Peak HS",Utah,,,
90,,8.0,Brandon Rose,R-Fr.,QB,6-2,207.0,"Temecula, Calif. / Murrieta Valley HS",Utah,,,
91,,37.0,Hunter Schroeder,Fr.,RB,5-9,200.0,"Mendon, Utah / Mountain Crest HS",Utah,,,
92,,49.0,Jason Siaosi,Sr.,LB,6-0,228.0,"Carlsbad, Calif. / Southern Virginia",Utah,,,
93,,21.0,Jamarcus Smith,So.,RB,6-0,188.0,"Salt Lake City, Utah / Jordan HS",Utah,,,
94,,24.0,"Darrien ""Bleu"" Stewart",So.,S,6-0,200.0,"Las Vegas, Nev. / Desert Pines HS",Utah,,,
95,,47.0,Miki Suguturaga,Jr.,TE,6-4,256.0,"Kaneohe, Hawaii / Punahou School",Utah,,,
96,,58.0,Junior Tafuna,Jr.,DT,6-3,304.0,"Taylorsville, Utah / Bingham HS",Utah,,,
