,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown / High School,Previous School,Image,Title
48,,35.0,Reginald Hughes,LB,6-2,230.0,Sr.*,1L,Ole Miss,"Tunica, Miss. / Rosa Fort",Northeast Mississippi CC,,
49,,36.0,Joshua Aka,WR,5-10,180.0,Sr.*,TR,Ole Miss,"Starkville, Miss. / Starkville",East Mississippi CC,,
50,,36.0,Ashanti Cistrunk,LB,6-1,230.0,Sr.,4L,Ole Miss,"Louisville, Miss. / Louisville",,,
51,,37.0,AJ Brown,S,6-1,195.0,Fr.,HS,Ole Miss,"Cordele, Ga. / Crisp County",,,
52,,37.0,Hayden Farrar,WR,6-1,175.0,Fr.,RS,Ole Miss,"Meridian, Miss. / Lamar",,,
53,,39.0,Joshua Pfeifer,WR,6-1,175.0,So.,SQ,Ole Miss,"Nashville, Tenn. / Father Ryan",,,
54,,40.0,Zach Johansen,S,6-1,190.0,Fr.,RS,Ole Miss,"Suwanee, Ga. / North Gwinnett",,,
55,,40.0,Matt Jones,RB,5-7,180.0,So.,1L,Ole Miss,"Jackson, Miss. / Jackson Prep",,,
56,,41.0,John Ross Ashley,DB,5-11,180.0,Fr.,HS,Ole Miss,"Vestavia Hills, Ala. / Vestavia Hills",,,
57,,41.0,Caden Davis,K,6-3,200.0,Sr.*,TR,Ole Miss,"Coppell, Texas / Coppell",Texas A&M,,
58,,42.0,Elijah Sabbatini,S,6-1,200.0,So.,1L,Ole Miss,"Biloxi, Miss. / Biloxi",,,
59,,42.0,Landon Thomason,TE,6-3,220.0,Fr.,RS,Ole Miss,"Austin, Texas / Vandegrift",,,
60,,43.0,Caden Costa,K,6-0,200.0,So.,1L,Ole Miss,"Mandeville, La. / Mandeville",,,
61,,43.0,Rayf Vinson,S,6-0,195.0,So.,SQ,Ole Miss,"Madison, Miss. / Madison-Ridgeland Academy",,,
