,#,First,Last,Height,lbs.,Position,Class,City,Current School Name,Hometown,Last School,Years
79,58,Aisea,Moa,6-3,245,Defensive End,FR,North Ogden,BYU,Utah,Weber HS,2022-2023
80,58,Lisala,Tai,6-7,330,Offensive Line,JR,Inglewood,BYU,California,Snow College,2022-2023
81,59,Logan,Lutui,6-1,255,Defensive End,JR,West Valley City,BYU,Utah,Weber State,2022-2023
82,60,Tyler,Little,6-7,295,Offensive Line,SO,Gridley,BYU,California,Butte College,2021-2023
83,61,Weylin,Lapuaho,6-4,310,Offensive Line,SO,South Jordan,BYU,Utah,Utah State,2023
84,62,Atunaisa,Mahe,6-1,315,Defensive Tackle,SR,West Jordan,BYU,Utah,West Jordan High School,2018-2023
85,63,Mac,Aloisio,6-6,380,Defensive Tackle,FR,Provo,BYU,Utah,Timpview High School,2023
86,64,Brayden,Keim,6-8,310,Offensive Line,JR,Sandy,BYU,Utah,Alta High School,2019-2023
87,65,Ian,Fitzgerald,6-5,305,Offensive Line,SR,Hawthorn Woods,BYU,Illinois,Missouri State,2023
88,66,Zoom,Esplin,6-8,265,Defensive End,FR,Encinitas,BYU,California,La Costa Canyon High School,2023
89,67,Brooks,Maile,6-4,315,Defensive Tackle,FR,St. George,BYU,Utah,Pine View High School,2022-2023
90,68,Peter,Falaniko,6-3,315,Offensive Line,FR,St. George,BYU,Utah,Pine View High School,2022-2023
91,70,Connor,Pay,6-5,312,Offensive Line,JR,Highland,BYU,Utah,Lone Peak HS,2020-2023
92,73,Vae,Soifua,6-4,296,Offensive Line,FR,Orem,BYU,Utah,Orem High School,2022-2023
93,74,Trevin,Ostler,6-5,330,Offensive Line,FR,Bountiful,BYU,Utah,Bountiful High School,2022-2023
94,75,Sam,Dawe,6-3,305,Offensive Line,FR,Spanish Fork,BYU,Utah,Idaho State / Spanish Fork HS,2022-2023
95,77,Jake,Griffin,6-6,285,Offensive Line,FR,Mesa,BYU,Arizona,Red Mountain High School,2023
96,78,Kingsley,Suamataia,6-6,315,Offensive Line,SO,Orem,BYU,Utah,Oregon,2022-2023
97,79,Kaden,Chidester,6-8,290,Offensive Line,FR,Richfield,BYU,Utah,Richfield High School,2023
98,80,Koa,Eldredge,6-0,195,Wide Receiver,FR,Honolulu,BYU,Hawaii,Punahou High School,2023
99,82,Parker,Kingston,6-0,180,Wide Receiver,FR,Layton,BYU,Utah,Roy High School,2022-2023
100,83,Isaac,Rex,6-6,255,Tight End,JR,San Clemente,BYU,California,San Clemente High School,2019-2023
101,84,Austin,Riggs,6-5,230,Deep Snapper,JR,Eagle,BYU,Idaho,Eagle High School,2020-2023
102,85,Anthony,Olsen,6-4,235,Tight End,FR,Salt Lake City,BYU,Utah,Olympus High School,2022-2023
103,86,Dom,Henry,5-11,175,Wide Receiver,FR,St. Augustine,BYU,Florida,Nease High School,2022-2023
104,87,Ethan,Erickson,6-5,240,Tight End,SO,Laie,BYU,Hawaii,Kahuku HS,2021-2023
105,88,Devin,Downing,6-2,190,Wide Receiver,FR,American Fork,BYU,Utah,American Fork High School,2023
106,89,Kade,Moore,5-11,185,Wide Receiver,SO,Lehi,BYU,Utah,Lehi HS,2020-2023
107,90,Joshua,Singh,6-0,275,Defensive Tackle,SO,Orem,BYU,Utah,Orem HS,2021-2023
108,91,Jackson,Cravens,6-2,305,Defensive Tackle,SR,Provo,BYU,Utah,Boise State,2023
109,92,Tyler,Batty,6-5,273,Defensive End,JR,Payson,BYU,Utah,Payson High School,2020-2023
110,93,Blake,Mangelson,6-5,260,Defensive End,JR,Nephi,BYU,Utah,Juab HS,2021-2023
111,94,John,Nelson,6-4,275,Defensive Tackle,JR,Salem,BYU,Utah,Salem Hills HS,2021-2023
112,95,Caden,Haws,6-2,305,Defensive Tackle,JR,Little Rock,BYU,Arkansas,Pulaski Academy,2019-2023
113,96,Nic,Harris,6-1,249,Deep Snapper,SO,Salt Lake City,BYU,Utah,Peru State College,2023
114,96,Bruce,Mitchell,6-4,300,Defensive Tackle,SO,Kamas,BYU,Utah,South Summit HS,2022-2023
115,97,Matthias,Dunn,6-0,175,Kicker,FR,Heber City,BYU,Utah,Wasatch High School,2023
116,98,Wyatt,Dawe,6-0,300,Defensive Tackle,SO,Pleasant Grove,BYU,Utah,Southern Utah University,2023
117,99,Alema,Pilimai,6-4,275,Defensive Tackle,SR,Tustin,BYU,California,Tustin High School,2016 | 2019-2023
118,99,Cash,Peterman,6-0,200,Kicker,SO,Chandler,BYU,Arizona,Chandler HS,2021-2023
