,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Custom Field 1,Hometown / High School,Previous School,Image,Title
113,,89.0,Tyler Lacy,DE,6-4,285.0,R-Sr.,,"Sachse, TX / Sachse",,,
114,,90.0,Braden Cassity,CW,6-2,240.0,R-Sr.,,"Austin, TX / Westlake",,,
115,,90.0,AJ Ridener,DT,6-1,300.0,Fr.,,"Jenks, OK / Jenks",,,
116,,91.0,Tyren Irby,DE,6-3,240.0,R-Sr.,*,"Lake Cormorant, MS / Lake Cormorant",Northwest Mississippi Community College,,
117,,92.0,Nathan Latu,DE,6-4,265.0,R-Sr.,,"Salt Lake City, UT / Olympus",Snow College,,
118,,93.0,Collin Clay,DT,6-3,310.0,R-Jr.,,"Oklahoma City, OK / Putnam City",Arkansas,,
119,,95.0,Jaleel Johnson,DE,6-4,240.0,Fr.,,"Oklahoma City, OK / Putnam City North",,,
120,,96.0,Kody Walterscheid,DE,6-6,280.0,R-Jr.,,"Muenster, TX / Muenster",,,
121,,98.0,Brendon Evers,DT,6-2,295.0,R-Sr.,*,"Bixby, OK / Bixby",,,
122,,99.0,Sione Asi,DT,6-1,310.0,R-Sr.,*,"Reno, NV / McQueen",Snow College,,
0,,,Mike Gundy,,,,,,,,,Head Coach
1,,,Joe Bob Clements,,,,,,,,,Linebackers
2,,,Charlie Dickey,,,,,,,,,Offensive Line
3,,,Kasey Dunn,,,,,,,,,Associate Head Coach/Offensive Coordinator/Receivers
4,,,Dan Hammerschmidt,,,,,,,,,Safeties
5,,,Derek Mason,,,,,,,,,Defensive Coordinator
6,,,Jason McEndoo,,,,,,,,,Tight Ends / Cowboy Backs
7,,,Tim Rattay,,,,,,,,,Quarterbacks
8,,,Greg Richmond,,,,,,,,,Defensive Line
9,,,John Wozniak,,,,,,,,,Running Backs
10,,,Rob Glass,,,,,,,,,Strength & Conditioning
0,,,Bill Clay,,,,,,,,,Defensive Analyst
1,,,Gary Gibbs,,,,,,,,,Defensive Analyst
2,,,Bradley Thomas,,,,,,,,,Offensive Analyst
3,,,Chris Thurmond,,,,,,,,,Offensive Analyst
4,,,Rod Johnson,,,,,,,,,Director of Football Operations
5,,,Jon Pickle,,,,,,,,,Assistant Director of Operations
6,,,Eddie Simpkins,,,,,,,,,Administrative Assistant / Prospect Analyst - QB
7,,,Todd Bradford,,,,,,,,,Director of Football Recruiting
8,,,Mariah Turner,,,,,,,,,Director of On-Campus Recruiting
9,,,Beni Tonga,,,,,,,,,Player Development Specialist
10,,,Joe Reynolds,,,,,,,,,Assistant Recruiting Director - Defense
11,,,Josh Gonzales,,,,,,,,,Assistant Recruiting Director - Offense
12,,,DJ Linton,,,,,,,,,Prospect Analyst - DL
13,,,Jordan Burton,,,,,,,,,Prospect Analyst - LB
14,,,Lorenzo Joe,,,,,,,,,Offense Quality Control
15,,,Michael Hunter,,,,,,,,,Defensive Graduate Assistant
16,,,J.W. Walsh,,,,,,,,,Offensive Quality Control
17,,,Zach Sallee,,,,,,,,,Offensive Quality Control
18,,,Richetti Jones,,,,,,,,,Director of Player Development
19,,,Zach Allen,,,,,,,,,Prospect Analyst - OL
20,,,Lauren Abbott,,,,,,,,,Sports Nutritionist
21,,,Cameron O'Neal,,,,,,,,,Prospect Analyst - RB
22,,,Tim Sanders,,,,,,,,,Offensive Analyst
23,,,Travis Britz,,,,,,,,,Defensive Line - Graduate Assistant
24,,,Brayden Kearsley,,,,,,,,,Offensive Line - Graduate Assistant
25,,,Joseph Foteh,,,,,,,,,Special Teams Analyst
26,,,Justin Gordon,,,,,,,,,Prospect Analyst - LB
