,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Current School Name,Instagram,Twitter
101,74.0,Drew Bobo,OL,6' 5'',290,R-Fr.,"Auburn, Ala. / Auburn",,Georgia,,
102,76.0,Miles Johnson,OL,6' 5'',320,Jr.,"Blue Ridge, Ga. / Fannin County",,Georgia,miles.johnson76,milesjohnson76
103,78.0,Chad Lindberg,OL,6' 6'',325,Jr.,"League City, Texas / Clear Creek",,Georgia,chadlindberg78,ChadLindberg78
104,78.0,Nazir Stackhouse,DL,6' 3'',320,Sr.,"Stone Mountain, Ga. / Columbia",,Georgia,i_am_naz,TheStackHouse_
105,79.0,Weston Wallace,OL,6' 4'',320,Jr.,"Eatonton, Ga. / Gatewood School",,Georgia,weston212,
106,80.0,Brandon Moody,WR,5' 7'',165,Jr.,"Monroe, Ga. / Monroe Area",Berry College,Georgia,,
107,81.0,David Lalaian,TE,6' 4'',225,Fr.,"Monroe, Ga. / Monroe Area",,Georgia,,
108,82.0,Logan Johnson,WR,5' 6'',155,R-So.,"Bogart, Ga. / Prince Avenue Christian School",,Georgia,,
109,83.0,Cole Speer,WR,5' 11'',185,So.,"Calhoun, Ga. / Calhoun",,Georgia,,
110,84.0,Ladd McConkey,WR,6' 0'',185,Jr.,"Chatsworth, Ga. / North Murray",,Georgia,ladd.mcconkey,laddmcconkey02
111,85.0,Drew Sheehan,TE,6' 2'',215,Sr.,"Woodstock, Ga. / Woodstock",Kennesaw State,Georgia,,
112,86.0,Dillon Bell,WR,6' 1'',210,So.,"Houston, Texas / The Kinkaid School",,Georgia,,
113,87.0,Mekhi Mews,WR,5' 8'',170,R-So.,"Grayson, Ga. / Central Gwinnett",,Georgia,,
114,88.0,Pearce Spurlin III,TE,6' 7'',240,Fr.,"Rosemary Beach, Fla. / South Walton",,Georgia,,
115,89.0,Braxton Hicks,WR,6' 2'',195,Jr.,"Tiger, Ga. / Rabun County",,Georgia,braxtonhicks35,BraxtonLeeHick1
116,90.0,Tramel Walthour,DL,6' 3'',280,Sr.,"Hinesville, Ga. / Liberty County",Hutchinson Community College,Georgia,mel90_,walthour_tramel
117,92.0,Brett Thorson,P,6' 2'',210,So.,"Melbourne, Australia / ProKick Australia",,Georgia,,
118,93.0,Tyrion Ingram-Dawkins,DL,6' 5'',300,R-So.,"Gaffney, S.C. / Gaffney",,Georgia,tyreeun,93saccs
119,94.0,Henry Bates,PK,5' 11'',170,R-Fr.,"Waycross, Ga. / Ware County",,Georgia,,
120,94.0,Jonathan Jefferson,DL,6' 3'',295,R-So.,"Douglasville, Ga. / Douglas County",,Georgia,uno.jon,Jon_thadon1
121,96.0,Zion Logue,DL,6' 5'',295,Sr.,"Lebanon, Tenn. / Lebanon",,Georgia,le96ndary_,tharealzbo0
122,97.0,Warren Brinson,DL,6' 4'',305,Sr.,"Savannah, Ga. / IMG Academy",,Georgia,warren,warrenbrinson17
123,98.0,Noah Jones,P,6' 0'',165,R-So.,"Cairo, Ga. / Cairo",,Georgia,noahjones.4,noahjones_44
124,99.0,Bear Alexander,DL,6' 3'',305,So.,"Terrell, Texas / IMG Academy",,Georgia,,
125,99.0,Jared Zirkel,PK,6' 3'',185,Jr.,"Kerrville, Texas / Tivy",,Georgia,jared_zirkel,JaredZirkel
126,,Liam Badger,PK,6' 0'',170,R-So.,"Cumming, Ga. / West Forsyth",Kennesaw State,Georgia,,
127,,Huntley King,P,5' 9'',170,R-So.,"Atlanta, Ga. / The Lovett School",,Georgia,,
128,,Collin Lark,DB,6' 0'',198,Jr.,"Dallas, Texas / Dallas Jesuit",,Georgia,,
129,,Izayah Reeves,WR,5' 11'',175,R-So.,"Long Island, N.Y. / Monocan",Charleston,Georgia,,
130,,Will Snellings,SN,6' 2'',220,Fr.,"Fayetteville, Ga. / Whitewater",,Georgia,,
