,Statistic,#,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Image,Title
41,,32.0,Zy Ford,LB,5-10,210.0,So.,"Maben, Miss. / East Webster High School",Louisiana Tech,,King_Bulldozer,king_bulldozer7,,
42,,32.0,Patrick Rea,P,6-3,180.0,So.,"Melbourne, Australia / St. Patrick's College Ballarat",Louisiana Tech,,,,,
43,,34.0,Joshua Cobbs,DB,6-2,206.0,R-So.,"West Monroe, La. / West Monroe HS",Louisiana Tech,,,,,
44,,34.0,Ryan Rivera,TE,6-3,240.0,R-Sr.,"Tracy, Calif / Kimball HS",Louisiana Tech,Cal Poly,,,,
45,,35.0,Jacob Barnes,K/P,5-9,193.0,R-Jr.,"Baton Rouge, La. / Woodlawn HS",Louisiana Tech,,_Jacob10__,jacob.barness,,
46,,37.0,Logan Smith,K,6-4,180.0,Fr.,"Benton, La. / Benton HS",Louisiana Tech,,,,,
47,,38.0,Arlind Bengu,P,6-0,200.0,R-So.,"Avon, Ohio / Avon HS",Louisiana Tech,,ArlindBengu,arlindbengu,,
48,,38.0,Qua'veon Turner,DB,5-9,177.0,R-So.,"Ferriday, La. / Ferriday HS",Louisiana Tech,ULM,9Reasonssss,9reasonssss,,
49,,40.0,Keveion'ta Spears,DL,6-4,297.0,R-So.,"Baton Rouge, La. / McKinley HS",Louisiana Tech,,keveionta,650.tay,,
50,,41.0,Joriell Washington,DB,6-2,211.0,R-So.,"Fort Myers, Fla. / Fort Myers Senior HS",Louisiana Tech,Illinois,,,,
51,,42.0,Ezekiel Durham-Campbell,DE,6-5,235.0,So.,"Kennesaw, Ga. / Marietta HS",Louisiana Tech,Lenoir Rhyne University,,,,
52,,47.0,DJ Johnson,DL,6-4,222.0,Jr.,"Atlanta, Ga. / South Gwinnett HS",Louisiana Tech,Illinois,,,,
53,,49.0,Aden Weaver,LS,6-1,210.0,Fr.,"Omaha, Texas / Pewitt HS",Louisiana Tech,,,,,
54,,52.0,Ean Burch,DS,6-0,185.0,R-So.,"Shreveport, La. / Loyola College Prep",Louisiana Tech,,,,,
55,,53.0,Erron Bean,OL,6-5,295.0,R-So.,"Shreveport, La. / Huntington HS",Louisiana Tech,,ErronBean2,_.bigbean__,,
56,,53.0,Jakobe Brock,TE,6-2,224.0,R-So.,"Pineville, La. / Tioga HS",Louisiana Tech,,,,,
57,,54.0,Mykel Janise,OL,6-4,265.0,R-Fr.,"Beaumont, Texas / West Brook HS",Louisiana Tech,Wyoming,,,,
58,,55.0,Landon Nelson,OL,6-3,300.0,Jr.,"Underwood, Iowa / Underwood HS",Louisiana Tech,Iowa Western CC,LandonM03,landon.nelson65,,
59,,59.0,Ray Kelly,OL,6-1,298.0,Jr.,"Ruston, La. / Ruston HS",Louisiana Tech,,,ray_kelly19,,
60,,62.0,Abraham Delfin,OL,6-1,312.0,Gr.,"Plaquemine, La. / Plaquemine HS",Louisiana Tech,,abraham62_,_abraham62,,
61,,65.0,Carson Bruno,OL,6-4,307.0,R-So.,"Shreveport, La. / C.E. Byrd HS",Louisiana Tech,,CarsonBruno2,carsonbruno3,,
62,,67.0,Brett Canis,OL,6-8,310.0,R-So.,"Midland, Texas / Midland HS",Louisiana Tech,Texas Tech,,,,
63,,68.0,Dakota White,OL,6-4,313.0,Jr.,"Katy, Texas / Katy HS",Louisiana Tech,,DakotaWhite58,thedakotawhitee,,
64,,69.0,Caleb Billiot,OL,6-3,265.0,R-So.,"Houma, La. / Terrebonne HS",Louisiana Tech,,,,,
65,,73.0,Kenneth Bannister,OL,6-6,320.0,R-So.,"New Orleans, La. / Edna Karr HS",Louisiana Tech,,,,,
66,,74.0,Jonah Brewster,OL,6-7,305.0,R-Jr.,"Frisco, Texas / Prestonwood Christian Academy",Louisiana Tech,,Brew_74_Jonah,jonah.brewster,,
67,,75.0,Jerren Gilbert,OL,6-3,306.0,Jr.,"Lake Charles, La. / Sam Houston HS",Louisiana Tech,,GilbertJerren,j.g72,,
68,,76.0,Biron Rossell,OL,6-4,300.0,R-Sr.,"West Memphis, Ark. / West Memphis Christian HS",Louisiana Tech,,biron_rossell,bunb.76,,
69,,78.0,Elijah Bowser,OL,6-5,333.0,Jr.,"Cedar Hill, Texas / Trinity Chrisitan School",Louisiana Tech,Navarro JC,,,,
70,,79.0,Bert Hale,OL,6-5,338.0,Jr.,"Epps, La. / Oak Grove HS",Louisiana Tech,,berthale99,berthale99,,
71,,80.0,Landon Crawford,WR,5-10,183.0,R-Fr.,"Shreveport, La. / Captain Shreve HS",Louisiana Tech,,,,,
72,,81.0,Eric Outley Jr.,WR,5-7,153.0,Fr.,"Ruston, La. / Ruston HS",Louisiana Tech,Grambling State,,,,
73,,82.0,Marlion Jackson,WR,6-2,194.0,So.,"Flowery Branch, Ga. / Cherokee Bluff HS",Louisiana Tech,,,,,
74,,83.0,Kendrick Rucker,WR,6-5,205.0,So.,"Shreveport, La. / Huntington HS",Louisiana Tech,,kendrickrucker3,,,
75,,84.0,Mattison Hall,WR,5-9,170.0,Fr.,"Shreveport, La. / Captain Shreve HS",Louisiana Tech,,,,,
76,,87.0,John Locke,TE,6-4,235.0,So.,"Helotes, Texas / SD O'Connor HS",Louisiana Tech,SD O'Connor HS,,,,
77,,88.0,Mykol Clark,DL,6-4,266.0,R-Jr.,"Fort Worth, Texas / Crowley HS",Louisiana Tech,,m_clark27,mykol_clark,,
78,,89.0,Zyion Claville,WR,6-2,187.0,So.,"Shreveport, La. / Huntington HS",Louisiana Tech,,cantguardzyi,,,
79,,96.0,Zion Nason,DL,6-2,268.0,Jr.,"Canton, Miss. / Ridgeland HS",Louisiana Tech,Mississippi Gulf Coast CC,,,,
80,,97.0,Jayden Gray,DL,6-3,254.0,R-So.,"Haslet, Texas / V.R. Eaton",Louisiana Tech,,,,,
81,,,Gabe Pugh,LS,6-5,273.0,R-Jr.,"Tuscaloosa, Ala. / North Ridge HS",Louisiana Tech,,,,,
0,,,Sonny Cumbie,,,,,,Louisiana Tech,,,,,Head Coach
1,,,Dan Sharp,,,,,,Louisiana Tech,,,,,"Assistant Head Coach, Special Teams"
2,,,Jake Brown,,,,,,Louisiana Tech,,,,,"Co-Offensive Coordinator, WRs"
3,,,Scott Parr,,,,,,Louisiana Tech,,,,,"Co-Offensive Coordinator, TEs"
4,,,Scott Power,,,,,,Louisiana Tech,,,,,"Defensive Coordinator, LBs"
5,,,Nathan Young,,,,,,Louisiana Tech,,,,,Offensive Line
6,,,Teddy Veal,,,,,,Louisiana Tech,,,,,Running Backs
7,,,Myles Carelock,,,,,,Louisiana Tech,,,,,Cornerbacks
8,,,Nate Johnson,,,,,,Louisiana Tech,,,,,Safeties
9,,,Jacori Greer,,,,,,Louisiana Tech,,,,,Defensive Line
10,,,Cortez Carter,,,,,,Louisiana Tech,,,,,Linebackers
11,,,Dave Scholz,,,,,,Louisiana Tech,,,,,Director of Football Sports Performance
12,,,Daniel Johnson,,,,,,Louisiana Tech,,,,,Assistant Director of Football Sports Peformance
13,,,Paul Turner,,,,,,Louisiana Tech,,,,,Offensive Analyst
14,,,Ty Barrett,,,,,,Louisiana Tech,,,,,Offensive Analyst
15,,,Gary Cioffi,,,,,,Louisiana Tech,,,,,Offensive Analyst
16,,,James Roberson,,,,,,Louisiana Tech,,,,,Defensive Analyst
17,,,Kimo von Oelhoffen,,,,,,Louisiana Tech,,,,,Defensive Analyst
18,,,Jay Gafford,,,,,,Louisiana Tech,,,,,Special Teams Assistant
19,,,Marquez Gollman,,,,,,Louisiana Tech,,,,,Graduate Assistant
20,,,Tyler Kelley,,,,,,Louisiana Tech,,,,,Graduate Assistant
21,,,Trey Nunez,,,,,,Louisiana Tech,,,,,Graduate Assistant
0,,,Jacob Martinez,,,,,,Louisiana Tech,,,,,Director of Football Operations
1,,,Ziad Qubti,,,,,,Louisiana Tech,,,,,Assistant to the Head Coach
2,,,Anthony Mauro,,,,,,Louisiana Tech,,,,,Director of Player Personnel
3,,,Jason Martin,,,,,,Louisiana Tech,,,,,Equipment Manager
4,,,Cam Ayers,,,,,,Louisiana Tech,,,,,Football Equipment Manager
5,,,Jude Holloway,,,,,,Louisiana Tech,,,,,Football Video Coordinator
6,,,Evan Dauterive,,,,,,Louisiana Tech,,,,,Head Football Athletic Trainer
7,,,Aimee Travis,,,,,,Louisiana Tech,,,,,Assistant Athletic Trainer
8,,,Hunter Corneliusen,,,,,,Louisiana Tech,,,,,Associate Director Strategic Communications
