,Image,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Opendorse,Instagram,Twitter,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
10,,7,Silas Bolden,WR,5' 8'',153,Jr.,"Rancho Cucamonga, Calif. / Rancho Cucamonga",Oregon State,,silasisaiahh,silasbolden_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,7,Alton Julian,DB,6' 2'',210,R-Sr.,"East Palo Alto, Calif. / Valley Christian",Oregon State,Alton Julian,smoove.07,TooSmoove0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,8,Jam Griffin,RB,5' 9'',212,R-Jr.,"Rome, Ga. / Rome",Oregon State,,j_griffin_6,J_Griffin_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,9,Ryan Franke,OLB,6' 3'',248,R-Jr.,"Camarillo, Calif. / Oaks Christian",Oregon State,,ryanjfranke,ryanfranke55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,9,Makiya Tongue,ILB,6' 2'',221,R-Jr.,"Baton Rouge, La. / University Lab",Oregon State,,makiyatongue,makiyatongue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,10,Andrew Chatfield Jr.,OLB,6' 2'',252,R-Sr.,"Plantation, Fla. / American Heritage",Oregon State,Andrew Chatfield,drew_chatfield,Drew_Chatfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,10,Tastean Reddicks,WR,5' 11'',184,Fr.,"Fort Lauderdale, Fla. / Dillard",Oregon State,,Ruleak_,TakeHimDeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,13,Jesiah Irish,WR,5' 11'',173,R-Sr.,"Snoqualmie, Wash. / Mount Si",Oregon State,Jesiah Irish,jesiahirish,jesiah_irish2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,13,Joe Swen,DB,6' 3'',195,R-Fr.,"Philadelphia, Pa. / Bishop Alemany (CA)",Oregon State,,joeswen_,josephswenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,14,John Dunmore,WR,6' 2'',183,R-Jr.,"Fort Lauderdale, Fla. / Chaminade-Madonna",Oregon State,John Dunmore,jdlive_,jdsunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,14,Kord Shaw,ILB,6' 3'',224,R-Fr.,"Ogden, Utah / Bonneville",Oregon State,,kordshaw,KordShaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,15,Sam Mason Jr.,DB,6' 0'',193,R-Fr.,"Covina, Calif. / Charter Oak",Oregon State,,sammasonjr,samm12_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,15,Dom Montiel,QB,6' 2'',209,R-Fr.,"Coos Bay, Ore. / Marshfield",Oregon State,,dom_montiel,Dom_Montiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,16,Carlos Mack Jr.,DB,6' 1'',206,R-Fr.,"Clovis, Calif. / Clovis",Oregon State,,losm_2,TheRealLosMack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,16,Jimmy Valsin III,WR,6' 2'',190,R-So.,"Arlington, Texas / Bowie",Oregon State,Jimmy Valsin,JimmyValsin,JimmyValsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,17,Ben Gulbranson,QB,6' 3'',214,R-So.,"Newbury Park, Calif. / Newbury Park",Oregon State,,Bengulbranson,Bengulbranson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,17,Nikko Taylor,OLB,6' 5'',242,Jr.,"Oceanside, Calif. / Blue Valley North",Oregon State,,NikkoTaylor,TaylorNikko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,18,Ian Massey,DB,6' 0'',218,R-Jr.,"Houston, Texas / Westfield",Oregon State,Ian Massey,junkie.3,EMoneyTFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,18,Jeremiah Noga,WR,6' 2'',192,R-So.,"Grants Pass, Ore. / Hidden Valley",Oregon State,,jeremiah_noga,JeremiahNoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,19,Montrel Hatten Jr.,WR,5' 11'',206,Fr.,"Carthage, Texas / Carthage",Oregon State,,Montrel_13,HattenMontrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,19,Skyler Thomas,DB,6' 2'',210,Jr.,"East Menlo Park, Calif. / Menlo Atherton/Heard County",Oregon State,,skylerthomas17,SkylerThomas03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
