,Statistic,#,Full Name,Pos.,Ht.,Wt.,Eligibility,Hometown / High School,Instagram,Twitter,Image,Name,Title
86,,81.0,Michael Masunas,TE,6-4,250.0,R-Fr.,"Tucson, Ariz. / Hamilton",masunasmichael,MasunasMichael,,,
87,,82.0,Brennan Parachek,TE,6-5,235.0,Fr.,"Dexter, Mich. / Dexter",,,,,
88,,83.0,Montorie Foster Jr.,WR,6-0,185.0,Sr.,"Cleveland, Ohio / St. Edward",foster.13_,MontorieF_Jr,,,
89,,84.0,Tyler Vroman,WR,6-3,185.0,R-Fr.,"Rockford, Mich. / Rockford",tyvroman,vroman_tyler,,,
90,,85.0,Cade McDonald,WR,5-11,195.0,R-Sr.,"Naperville, Ill. / Naperville Central",cademcd85,CadeMcdonald11,,,
91,,86.0,Aubrey Dawkins,WR,5-10,185.0,R-Jr.,"Verona, Wis. / Verona",dawk1ns_,aubreydawkins15,,,
92,,87.0,Jack Nickel,TE,6-4,245.0,R-Fr.,"Milton, Ga. / Milton",jacknickel_,JackNickel87,,,
93,,88.0,Ademola Faleye,TE,6-7,235.0,Jr.,"Brockton, Mass. / Brockton",,,,,
94,,89.0,Alex Watters,WR,6-0,185.0,R-Fr.,"East Lansing, Mich. / Lansing Catholic",alexwatters_13,alexwatters34,,,
95,,91.0,Alex VanSumeren,DL,6-3,300.0,R-Fr.,"Bay City, Mich. / Garber",alex_vansumeren,alexvansumeren,,,
96,,92.0,Mason Arnold,LS,6-0,230.0,R-So.,"Tampa, Fla. / Carrollwood Day",,,,,
97,,92.0,Evan Morris,TE,6-5,245.0,R-Sr.,"Elsie, Mich. / Ovid-Elsie",,Evanmorris1357,,,
98,,96.0,Ryan Eckley,P,6-2,195.0,R-Fr.,"Lithia, Fla. / Newsome",ryan.eckley,RyanEckley1,,,
99,,97.0,Maverick Hansen,DL,6-4,300.0,R-Sr.,"Farmington Hills, Mich. / Harrison",maveitron,maveitron,,,
100,,98.0,Avery Dunn,DL,6-4,245.0,R-Jr.,"Shaker Heights, Ohio / Shaker Heights",avery.dunnn,AveryDunn00,,,
101,,98.0,Stephen Rusnak,K,6-1,170.0,R-So.,"Clarkston, Mich. / Clarkston",stephenrusnak,stephenrusnak,,,
102,,99.0,Andrew Depaepe,DL,6-5,235.0,Fr.,"Bettendorf, Iowa / Pleasant Valley",,,,,
0,,,,,,,,,,,,Mel Tucker,Head Coach
1,,,,,,,,,,,,Chris Kapilovic,Assistant Head Coach/Offensive Line Coach/Run Game Coordinator
2,,,,,,,,,,,,Scottie Hazelton,Secchia Family Defensive Coordinator/Linebackers Coach
3,,,,,,,,,,,,Jay Johnson,Offensive Coordinator/Quarterbacks Coach
