,Statistic,#,FULL NAME,POS.,HT.,WT.,Yr.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,Image,Name,Title
71,,74.0,Jaden Perkins,OL,6-1,288.0,Rf.,"Bozeman, MT",Bozeman,,University Studies,,,
72,,75.0,Jacob Kettels,OT,6-4,290.0,So.,"Lynden, WA",Lynden,,Business Marketing,,,
73,,76.0,Marcus Wehr,OG,6-2,300.0,Jr.,"Billings, MT",Central,,Business Management,,,
74,,80.0,Treyton Pickering,TE,6-4,246.0,Sr.,"Sunburst, MT",Sunburst,,Sociology,,,
75,,81.0,Tayvian Williams,WR,5-10,175.0,Sr.,"Maple Valley, WA",Tahoma,Laney College,Business Management,,,
76,,82.0,Elijah Reynolds,TE,6-4,235.0,R-So.,"Red Lodge, MT",Red Lodge,,Civil Engineering,,,
77,,83.0,Dylan Snyder,WR,6-2,193.0,Rf.,"Butte, MT",Butte,,University Studies,,,
78,,84.0,Noah Smith,WR,6-3,195.0,Rf.,"Joshua, TX",Joshua,,,,,
79,,85.0,Aidan Garrigan,WR,6-3,202.0,So.,"Magnolia, TX",Magnolia,,Exercise Science,,,
80,,86.0,Zachary Dodson-Green,WR,6-1,170.0,Rf.,"Salem, OR",West Salem,,University Studies,,,
81,,87.0,Ryan Lonergan,TE,6-4,243.0,Jr.,"Bozeman, MT",Bozeman,,Sociology,,,
82,,88.0,Rylan Schlepp,TE,6-4,243.0,Rf.,"Bozeman, MT",Gallatin,,University Studies,,,
83,,89.0,Michael Hulverson,DE,6-2,245.0,Fr.,"Draper, UT",Juan Diego,,,,,
84,,91.0,Zac Crews,DE,6-4,223.0,Fr.,"Missoula, MT",Sentinel,,University Studies,,,
85,,92.0,Blake Schmidt,DT,6-2,292.0,Jr.,"San Diego, CA",Monte Vista,,Mechanical Engineering,,,
86,,94.0,David Alston,DE,6-4,257.0,Sr.,"St. Paul, MN",Woodbury,Nebraska,Business,,,
87,,95.0,Sebastian Valdez,DT,6-3,291.0,Jr.,"Spring Valley, CA",Monte Vista,,Civil Engineering,,,
88,,96.0,Paul Brott,DT,6-3,277.0,So.,"Billings, MT",West,,Health and Human Performance,,,
89,,97.0,Ethan Abbott,DL,6-5,270.0,Rf.,"Florence, MT",Florence-Carlton,,University Studies,,,
90,,98.0,Ben Seymour,DE,6-2,244.0,Sr.,"Valencia, CA",Valencia,College of the Canyons,Business,,,
0,,,,,,,,,,,,,Brent Vigen,Head Coach
1,,,,,,,,,,,,,Taylor Housewright,Offensive Coordinator/Quarterbacks
2,,,,,,,,,,,,,Willie Mack Garza,Defensive Coordinator/Defensive Backs
