,Statistic,#,Name,Pos.,Year,Ht.,Wt.,Hometown,Current School Name,Previous School,Image,Title
82,,92.0,Nick Norris,DL,Jr.,6-4,262.0,"Fort Morgan, Colo.",Northern Colorado,Fort Morgan HS,,
83,,93.0,Tava Finau,DL,Sr.,6-3,275.0,"Sacramento, Calif.",Northern Colorado,Colorado,,
84,,95.0,Kanaan Turnbull,DL,Sr.,6-4,230.0,"Loveland, Colo.",Northern Colorado,Colorado,,
85,,98.0,Joe Brown,DL,R-So.,6-2,330.0,"Flint, Mich.",Northern Colorado,Desert Pines HS,,
86,,99.0,Jax Brown,DL,R-So.,6-3,280.0,"Sulphur Springs, Texas",Northern Colorado,Little Elm HS,,
0,,,Ed Lamb,,,,,,Northern Colorado,,,Head Football Coach
1,,,Eddie Gonzales III,,,,,,Northern Colorado,,,Chief of Staff / Director of Football Operations
2,,,Blair Peterson,,,,,,Northern Colorado,,,Offensive Coordinator
3,,,Preston Hadley,,,,,,Northern Colorado,,,Defensive Coordinator
4,,,Justin Walterscheid,,,,,,Northern Colorado,,,Special Teams Coordinator
5,,,Mike Smith,,,,,,Northern Colorado,,,"Associate Head Coach, Running Game Coordinator | Running Backs"
6,,,Spencer Patterson,,,,,,Northern Colorado,,,Assistant Coach | Offensive Line
7,,,Micah Simon,,,,,,Northern Colorado,,,Assistant Coach | Receivers
8,,,Nick Nissen,,,,,,Northern Colorado,,,Assistant Coach | Tight Ends
9,,,James Pazak,,,,,,Northern Colorado,,,Assistant Coach | Linebackers
10,,,Aaron Fernandez,,,,,,Northern Colorado,,,Assistant Coach | Defensive Line
11,,,DJ Williams,,,,,,Northern Colorado,,,Assistant Coach | Cornerbacks
12,,,Scott Darnell,,,,,,Northern Colorado,,,Offensive Analyst
13,,,Daryl Moe,,,,,,Northern Colorado,,,Defensive Analyst
14,,,Mitch Williams,,,,,,Northern Colorado,,,Video Coordinator
15,,,Brandon Gamel,,,,,,Northern Colorado,,,Operations Assistant
16,,,Joe Koeltzow,,,,,,Northern Colorado,,,Defensive Graduate Assistant
