,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,Previous School,Name,Title
0,,,2.0,JoJo Belgrave,DE,6-3,255.0,R-Jr.,UT Martin,"Miami, Fla.",Pitt,,
1,,,2.0,Sam Franklin,RB,5-10,195.0,R-So.,UT Martin,"Little Rock, Ark.",Central HS,,
2,,,4.0,DeVonte Tanksley,WR,5-10,160.0,R-Jr.,UT Martin,"Belle Glade, Fla.",Catawba CC,,
3,,,6.0,Zoe Roberts,WR,5-11,185.0,Jr.,UT Martin,"Perry, Fla.",Taylor County HS,,
4,,,6.0,Jay Rogers,DT,6-3,290.0,R-Sr.,UT Martin,"Memphis, Tenn.",Northern Colorado,,
5,,,8.0,Jordan Castleberry,RB,5-8,185.0,R-Jr.,UT Martin,"Cleveland, Ohio",Maryland,,
6,,,8.0,Giovanni Davis,JACK,6-3,250.0,Jr.,UT Martin,"Miami Gardens, Fla.",Dr. Krop HS,,
7,,,9.0,Oshae Baker,S,5-10,195.0,Jr.,UT Martin,"Sanford, Fla.",Seminole HS,,
8,,,9.0,EJ Smoot,WR,6-1,180.0,Sr.,UT Martin,"Beggs, Okla.",Northeastern Oklahoma A&M,,
9,,,10.0,Cornelious Brown IV,QB,6-6,208.0,R-Jr.,UT Martin,"Birmingham, Ala.",Georgia State,,
10,,,10.0,Daylan Dotson,DE,6-3,280.0,Jr.,UT Martin,"Savannah, Ga.",Jenkins HS,,
11,,,11.0,Tevin Shipp,LB,6-2,230.0,R-Jr.,UT Martin,"Smyrna, Tenn.",Smyrna HS,,
12,,,11.0,Kody Sparks,QB,6-5,220.0,R-So.,UT Martin,"Murfreesboro, Tenn.",Bowling Green,,
13,,,12.0,Carson Evans,S,6-1,185.0,R-Jr.,UT Martin,"Memphis, Tenn.",First Assembly Christian,,
14,,,13.0,Jermaine Cooley,JACK,6-2,240.0,Sr.,UT Martin,"Dublin, Ga.",Dublin HS,,
