,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown,Previous School,Name,Title
15,,,14.0,Cal Camp,QB,6-3,205.0,R-Fr.,UT Martin,"Madison, Ga.",Morgan County HS,,
16,,,16.0,Jaylon Sharpe,LB,6-2,240.0,R-Jr.,UT Martin,"Charlotte, NC",Charlotte,,
17,,,17.0,Ajay Smith,WR,6-4,190.0,Sr.,UT Martin,"Detroit, Mich.",Independence CC,,
18,,,19.0,Jack Lucas,S,6-0,180.0,R-Jr.,UT Martin,"Louisville, Ky.",Louisville Male,,
19,,,20.0,"JaMichael McGoy, Jr.",CB,5-10,170.0,R-So.,UT Martin,"Chattanooga, Tenn.",Boyd-Buchanan HS,,
20,,,22.0,Kyler Pearson,WR,5-8,160.0,R-So.,UT Martin,"Tulsa, Okla.",Kansas,,
21,,,23.0,Antonio Jackson,S,6-1,185.0,R-So.,UT Martin,"Bessemer, Ala.",Hueytown HS,,
22,,,24.0,Chris Hunter,LB,6-1,230.0,R-Jr.,UT Martin,"Knoxville, Tenn.",Army Prep,,
23,,,25.0,Isaiah Abdullah,LB,6-3,220.0,R-Jr.,UT Martin,"Los Angeles, Calif.",Wyoming,,
24,,,26.0,Tyler Pugh,S,5-10,170.0,R-So.,UT Martin,"Loganville, Ga.",Grayson HS,,
25,,,27.0,Terayon Sweet,RB,5-11,200.0,R-So.,UT Martin,"San Bernardino, Calif.",Winner Circle Athletics Prep,,
26,,,28.0,Vincent Guy,CB,6-0,180.0,R-Jr.,UT Martin,"Memphis, Tenn.",Whitehaven HS,,
27,,,29.0,Kaleb Almo,CB,6-0,190.0,So.,UT Martin,"Memphis, Tenn.",PURE Youth Athletics Alliance,,
28,,,30.0,Orlandis Williamson,CB,5-10,170.0,R-So.,UT Martin,"Milan, Tenn.",Milan HS,,
29,,,31.0,De'Andre Kelly,RB,6-0,200.0,R-Fr.,UT Martin,"South Pittsburg, Tenn.",South Pittsburg HS,,
30,,,31.0,LaMarion Pierce,CB,6-0,175.0,R-Fr.,UT Martin,"Lewisburg, Tenn.",Marshall County HS,,
31,,,32.0,Bryce Dailey,JACK,6-4,245.0,R-Fr.,UT Martin,"Memphis, Tenn.",Christian Brothers HS,,
32,,,34.0,Jadien Deaton,S,6-0,200.0,R-Jr.,UT Martin,"New Albany, Miss.",Northeast Mississippi CC,,
33,,,36.0,Shamari Weir,LB,6-0,220.0,R-So.,UT Martin,"Fort Lauderdale, Fla.",Coconut Creek HS,,
34,,,38.0,Wyatt Gilbert,S,5-11,180.0,R-So.,UT Martin,"Fairfield, Ill.",Fairfield HS,,
35,,,38.0,Ed Osley,RB,6-0,200.0,R-Fr.,UT Martin,"Birmingham, Ala.",Clay-Chalkville HS,,
36,,,38.0,Cam Robertson,S,6-1,190.0,R-Fr.,UT Martin,"Memphis, Tenn.",Whitehaven HS,,
37,,,39.0,Khalik Ganaway,RB,5-8,175.0,R-Fr.,UT Martin,"Trenton, Tenn.",Peabody HS,,
38,,,41.0,AJ Robinson Jr.,S,5-10,180.0,R-Fr.,UT Martin,"Memphis, Tenn.",Whitehaven HS,,
39,,,42.0,Austin Bray,TE,6-6,230.0,So.,UT Martin,"Venice, Fla.",Venice HS,,
40,,,42.0,Kobe Okeke,LB,6-1,220.0,R-So.,UT Martin,"Smyrna, Tenn.",Birmingham Sports Academy,,
41,,,43.0,Michael Campbell,LB,6-1,210.0,R-Jr.,UT Martin,"Horn Lake, Miss.",Northwest Mississippi CC,,
42,,,44.0,Brett Kuczynski,LS,6-0,235.0,R-So.,UT Martin,"Lombard, Ill.",Louisville,,
43,,,45.0,Steven Ballard,LB,6-1,190.0,R-So.,UT Martin,"Milan, Tenn.",Milan HS,,
44,,,46.0,Barrett Powers,LS,6-3,250.0,R-Fr.,UT Martin,"Cornersville, Tenn.",Cornersville HS,,
45,,,47.0,Jackson Abel,P,5-8,210.0,R-Fr.,UT Martin,"Martin, Tenn.",Westview HS,,
46,,,48.0,Lewis Hudson,OL,6-2,240.0,R-Fr.,UT Martin,"Paris, Tenn.",Henry County HS,,
47,,,49.0,Erin Parker,TE,6-3,250.0,R-So.,UT Martin,"Memphis, Tenn.",Memphis Central HS,,
48,,,55.0,AJ Marquez,OL,6-6,285.0,R-So.,UT Martin,"Port Charlotte, Fla.",Port Charlotte HS,,
49,,,60.0,Greg Gyenis,OL,6-3,305.0,R-So.,UT Martin,"Tampa, Fla.",Jesuit HS,,
50,,,62.0,Josiah Tingley,OL,6-2,290.0,R-So.,UT Martin,"Cordova, Tenn.",Evangelical Christian HS,,
51,,,63.0,Branson Conner,OL,6-7,310.0,R-Fr.,UT Martin,"Memphis, Tenn.",Whitehaven HS,,
52,,,64.0,Zion Rucker,OL,6-4,300.0,R-So.,UT Martin,"Smyrna, Tenn.",Smyrna HS,,
53,,,66.0,Drake Carroll,OL,6-2,302.0,R-Jr.,UT Martin,"Alexandria, La.",East Central CC,,
54,,,68.0,Garrett Smith,OL,6-3,290.0,R-Fr.,UT Martin,"Portland, Tenn.",Portland HS,,
55,,,71.0,Logan Crouch,OL,6-6,315.0,R-Fr.,UT Martin,"Tullahoma, Tenn.",Tullahoma HS,,
56,,,72.0,Jarod Russell,OL,6-4,315.0,R-So.,UT Martin,"Murfreesboro, Tenn.",Riverdale HS,,
57,,,74.0,Mitchell Appleton,OL,6-5,300.0,Jr.,UT Martin,"De Soto, Mo.",De Soto HS,,
58,,,75.0,Nick Edwards,OL,6-5,325.0,R-So.,UT Martin,"Clarksville, Tenn.",Tennessee,,
59,,,76.0,Marcus James,DL,6-5,305.0,R-Fr.,UT Martin,"Memphis, Tenn.",Germantown HS,,
60,,,77.0,Lamar Morgan,OL,6-5,305.0,Sr.,UT Martin,"Detroit, Mich.",East Central CC,,
61,,,78.0,Jason Eaton,OL,6-8,315.0,R-So.,UT Martin,"Clarksville, Tenn.",Eastern Michigan,,
62,,,79.0,Gavin Olson,OL,6-4,290.0,Sr.,UT Martin,"Memphis, Tenn.",Memphis Harding Academy,,
63,,,80.0,Malik Baker,WR,5-11,190.0,R-Fr.,UT Martin,"Baltimore, Md.",St. Frances Academy,,
64,,,80.0,Robert Lilley-Sneed,WR,5-9,170.0,R-Jr.,UT Martin,"Nashville, Tenn.",Orange Coast College,,
65,,,81.0,DJ Nelson,TE,6-5,230.0,R-So.,UT Martin,"York, Ala.",Selma HS,,
66,,,84.0,Airius Trice,WR,6-1,160.0,R-So.,UT Martin,"Shelbyville, Tenn.",Bethel,,
67,,,85.0,Jaden Gibbs,WR,6-4,185.0,R-Jr.,UT Martin,"Knoxville, Tenn.",Farragut HS,,
68,,,88.0,Parker Floyd,TE,6-5,245.0,R-Sr.,UT Martin,"Gatesville, Texas",Incarnate Word,,
69,,,91.0,Tyson Strickland,NT,6-2,270.0,R-So.,UT Martin,"Cordova, Tenn.",Tennessee Valley Prep,,
70,,,93.0,Jarid Johnson,DT,6-2,310.0,Sr.,UT Martin,"Pascagoula, Miss.",Pearl River CC,,
71,,,94.0,Christian Dowell,NT,6-2,280.0,Jr.,UT Martin,"Memphis, Tenn.",Christian Brothers HS,,
72,,,95.0,Elijah Young,JACK,6-0,225.0,R-Fr.,UT Martin,"Gleason, Tenn.",Gleason HS,,
73,,,96.0,Grayson Campbell,P,5-11,170.0,R-Fr.,UT Martin,"Lebanon, Tenn.",Lebanon HS,,
74,,,96.0,Myles Saulsberry,NT,6-2,285.0,R-Fr.,UT Martin,"Memphis, Tenn.",Lausanne Collegiate HS,,
75,,,97.0,Toby Camp,DT,6-3,250.0,R-So.,UT Martin,"Attalla, Ala.",Etowah HS,,
76,,,97.0,Jarel Savage,NT,6-3,225.0,R-Fr.,UT Martin,"Memphis, Tenn.",Cordova HS,,
77,,,98.0,Charles Perkins,DE,6-3,280.0,R-Fr.,UT Martin,"Memphis, Tenn.",Memphis Academy of Health Sciences HS,,
78,,,98.0,Ryan Young,K,6-1,150.0,R-Fr.,UT Martin,"Nashville, Tenn.",Lipscomb Academy,,
79,,,,Ygenio Booker,WR,5-11,200.0,Gr.,UT Martin,"Brooksville, Fla.",Tulane,,
80,,,,Jonquavous Brown,RB,5-11,205.0,R-Jr.,UT Martin,"Grovetown, Ga.",Ventura College,,
81,,,,Marlon Cook,WR,6-2,210.0,R-Sr.,UT Martin,"Forestville, Md.",Shepherd University,,
82,,,,Na'Drian Dizadare,LB,6-2,225.0,R-Jr.,UT Martin,"Shreveport, La.",Oklahoma State,,
83,,,,Jeremiah Edwards,WR,5-10,160.0,R-Jr.,UT Martin,"Nashville, Tenn.",Chattanooga,,
84,,,,Joshua Hastings,S,6-1,185.0,R-So.,UT Martin,"Cordova, Tenn.",Memphis,,
85,,,,Noah Hayes,OL,6-5,305.0,Gr.,UT Martin,"Oxon Hill, Md.",Arkansas Pine Bluff,,
86,,,,Celeycan Hill,CB,6-4,175.0,Jr.,UT Martin,"Brandon, Miss.",Holmes CC,,
87,,,,Jevon Johnson,WR,6-1,170.0,R-Fr.,UT Martin,"Kennesaw, Ga.",Mississippi Prep,,
88,,,,Will Morris,QB,6-0,190.0,R-Fr.,UT Martin,"Meridian, Miss.",Lamar HS,,
89,,,,Tyler Mullins,S,5-11,185.0,Sr.,UT Martin,"Grovetown, Ga.",Ohio,,
90,,,,Devonte Murray,DL,6-3,210.0,R-So.,UT Martin,"Detroit, Mich.",Notre Dame College,,
91,,,,Matt Myers,QB,6-4,210.0,Gr.,UT Martin,"West Seneca, NY",Buffalo,,
92,,,,"Michael Pleas, Jr.",JACK,6-3,245.0,Jr.,UT Martin,"Tallahassee, Fla.",Jackson State,,
93,,,,Derrick Small,DL,6-1,210.0,R-Fr.,UT Martin,"Cordova, Tenn.",Cordova HS,,
94,,,,Christian Stapleton,OL,6-1,225.0,R-Fr.,UT Martin,"Murfreesboro, Tenn.",Riverdale HS,,
95,,,,Jacob Stevenson,S,5-11,175.0,Jr.,UT Martin,"Gulfport, Miss.",Coahoma CC,,
96,,,,Vance Van Every,OL,6-2,302.0,Jr.,UT Martin,"Hernando, Miss.",Ohio,,
97,,,,Asa Wondeh,WR,6-0,170.0,Sr.,UT Martin,"Vacaville, Calif.",Eastern New Mexico,,
98,,,,Cameron Wright,WR,6-3,210.0,R-So.,UT Martin,"Batesville, Miss.",Memphis,,
0,,,,,,,,,UT Martin,,,Jason Simpson,Head Coach
1,,,,,,,,,UT Martin,,,Chris Polizzi,Assistant Head Coach / Defensive Coordinator / Secondary
2,,,,,,,,,UT Martin,,,Kevin Bannon,Offensive Coordinator / Offensive Line
3,,,,,,,,,UT Martin,,,Brandon Butcher,Run Game Coordinator / Linebackers
4,,,,,,,,,UT Martin,,,Travis Partridge,Pass Game Coordinator / Quarterbacks
5,,,,,,,,,UT Martin,,,Antonio Clifton,Cornerbacks
6,,,,,,,,,UT Martin,,,Devin Santana,Defensive Line
7,,,,,,,,,UT Martin,,,TJ Jefferson,Jacks / Special Teams Assistant
8,,,,,,,,,UT Martin,,,TJ Minnifee,Tight Ends
9,,,,,,,,,UT Martin,,,JaVaughn Craig,Running Backs
10,,,,,,,,,UT Martin,,,Mason Petrino,Wide Receivers
11,,,,,,,,,UT Martin,,,Chris Royal,Defensive Assistant | Nickels
0,,,,,,,,,UT Martin,,,Chris Bell,Director of Football Operations & Recruiting
1,,,,,,,,,UT Martin,,,Tyson Gale,Head Strength and Conditioning Coach
2,,,,,,,,,UT Martin,,,Tony Lester,Assistant Strength and Conditioning Coach
3,,,,,,,,,UT Martin,,,Fabian Hillman,Assistant Strength and Conditioning Coach
4,,,,,,,,,UT Martin,,,Houston Downey,Equipment Manager
5,,,,,,,,,UT Martin,,,McKinney Baker,Video Coordinator
6,,,,,,,,,UT Martin,,,Lenon James,Defensive Student Assistant / Asst. Recruiting Coordinator
7,,,,,,,,,UT Martin,,,Evan Johnson,Offensive Student Assistant
