,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Image,Name,Title
61,,60.0,Kobe Tuitele,OL,6-0,290.0,So.,"Pago Pago, American Samoa / Tafuna HS",Morgan State,,,
62,,62.0,Angelo Lloyd,OL,6-6,320.0,Fr.,"Waldorf, Md. / Fields of Dreams Academy",Morgan State,,,
63,,64.0,Camauri Barney,OL,6-2,320.0,Fr.,"Baltimore, Md. / Lake Clifton HS",Morgan State,,,
64,,67.0,Ja'Noy Sumner,OL,6-0,340.0,Rf.,"Waycross, Ga. / Ware County HS",Morgan State,,,
65,,71.0,Chase Carter,OL,6-4,330.0,So.,"Lakewood, Calif. / Lakewood HS",Morgan State,,,
66,,72.0,Treyvon Branch,OL,6-3,290.0,So.,"White Plains, Md. / St. John's College HS",Morgan State,,,
67,,73.0,Rikelvin Santiago Espinal,OL,6-6,345.0,Jr.,"Sadsburyville, Pa. / Coatesville H.S.",Morgan State,,,
68,,74.0,Daniel Casillas,OL,6-2,315.0,Fr.,"Kissimmee, Fla. / Tohopekaliga HS",Morgan State,,,
69,,75.0,Dexter Carr Jr.,OL,6-3,295.0,Jr.,"Stafford, Va. / Colonial Forge HS",Morgan State,,,
70,,76.0,Chris Anthony,OL,6-4,290.0,Gr.,"Massillon, Ohio / Washington HS",Morgan State,,,
71,,80.0,Eric McKeown,OL,6-5,275.0,So.,"Ashburn, Va. / Stone Bridge HS",Morgan State,,,
72,,81.0,Maurice Crutchfield,WR,-,,Fr.,/,Morgan State,,,
73,,82.0,"Joseph ""Jojo"" Kennerly",WR,5-9,170.0,Fr.,"Deerfield, Fla. / Deerfield Beach HS",Morgan State,,,
74,,83.0,Zeke Long,WR,6-1,175.0,Fr.,"Prosper, Texas / McKinney Christian Academy",Morgan State,,,
75,,84.0,Kenny Prince Jr.,WR,5-10,175.0,Fr.,"Laurel, Md. / St. Vincent Pallotti HS",Morgan State,,,
76,,86.0,Myles Wright,TE,6-3,240.0,Gr.,"Baltimore, Md. / St. Frances Academy",Morgan State,,,
77,,87.0,James Reddick III,TE,6-4,275.0,So.,"Marietta, Ga. / Hillgrove HS",Morgan State,,,
78,,88.0,Treston Davis,TE,6-5,240.0,Fr.,"Oldtown, Md. / Fort Hill HS",Morgan State,,,
79,,89.0,Habaccuc Regnis,WR,6-4,210.0,So.,"Silver Spring, Md. / Kennedy HS",Morgan State,,,
80,,90.0,Ayo Meyers,DL,6-1,290.0,Fr.,"Baltimore, Md. / Mergenthaler Vo-Tech HS",Morgan State,,,
81,,91.0,Merinio Dendoe,DL,6-3,300.0,Gr.,"Amsterdam, The Netherlands / Bijmer HS",Morgan State,,,
82,,92.0,Blanche Gold,DL,6-3,217.0,Fr.,"Springdale, Md / C.H. Flowers HS",Morgan State,,,
83,,93.0,Kamren Lark,DT,6-1,300.0,So.,"Norcross, Ga. / Norcross HS",Morgan State,,,
84,,94.0,Chibuikem Oguayo,DL,6-3,220.0,Fr.,"Elkville, Md. / High Point HS",Morgan State,,,
85,,95.0,Brandon King,DL,6-0,290.0,Jr.,"Ruleville, Miss. / Cleveland Central HS",Morgan State,,,
86,,96.0,Darrius Outlaw,DL,6-5,280.0,Jr.,"Owings Mill, Md. / Jireh Prep HS",Morgan State,,,
87,,97.0,Reginald Barnes,DL,6-0,270.0,So.,"Pascagoula, Miss. / Pascagoula HS",Morgan State,,,
88,,98.0,Nana Asante,LB,6-7,210.0,So.,"Burtonsville, Md. / Fork Union Military Academy",Morgan State,,,
89,,99.0,Ted Windom Jr.,DL,6-4,300.0,So.,"Jackson, Miss. / Richland HS",Morgan State,,,
0,,,,,,,,,Morgan State,,Damon Wilson,Head Coach
1,,,,,,,,,Morgan State,,Antone' Sewell,Assistant Head Coach/Defensive Coordinator
2,,,,,,,,,Morgan State,,B.T. Sherman,Offensive Coordinator
3,,,,,,,,,Morgan State,,Moses Ware,Wide Receivers/Pass Game Coordinator
4,,,,,,,,,Morgan State,,David Fant Jr.,Running Backs Coach
5,,,,,,,,,Morgan State,,Tory Woodbury,Tight Ends/Special Teams Coordinator
