,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
52,,81.0,Justyz Tuggle,WR,5-9,180.0,So.,"Detroit, Mich. / Detroit Central HS",,,
53,,82.0,Jalen Jackson,WR,6-0,185.0,R-Fr.,"Sterling, Va. / Potomac Falls HS",,,
54,,83.0,Jaquan Haynes,WR,5-10,165.0,Fr.,"Plantation, Fla. / Plantation HS",,,
55,,87.0,DeWayne Wakefield,TE,6-3,240.0,So.,"Jacksonville, Fla. / Riverside HS",,,
56,,88.0,Kevin Deceus,WR,6-2,180.0,Fr.,"Florida City, Fla. / Jones HS",,,
57,,91.0,Nicholai Daniel,K,6-2,200.0,So.,"Dacula, Ga. / Dacula HS",,,
58,,92.0,Judas McKenzie,DL,6-2,270.0,R-Sr.,"Ft. Myers, Fla. / Dunbar HS",,,
59,,95.0,Frank Wilson,DT,6-4,280.0,So.,"St. Louis, Mo. / East St. Louis HS",,,
60,,96.0,Mason Hall,DT,6-3,295.0,Jr.,"Powder Springs, Ga. / McEachern HS",,,
61,,98.0,Jessie Alincy,DT,6-0,300.0,So.,"Ft. Lauderdale, Fla. / Deerfield Beach HS",,,
62,,,Jaiden Bivens,RB,5-10,175.0,So.,"Tampa, Fla. / Cambridge Christian HS",,,
63,,,Christopher Dillihay,WR,5-10,170.0,Fr.,"Montgomery, Ala. / Robert E. Lee HS",,,
64,,,Jimmy Greaves Jr.,LB,6-0,221.0,Fr.,"Clewiston, Fla. / Clewiston HS",,,
65,,,Trevaris Hammond,OL,6-3,265.0,So.,"Decatur, Ga. / Columbia HS",Missouri Valley College,,
66,,,Jordan Johnson,CB,6-0,185.0,Fr.,"Cedartown, Ga. / Cedartown HS",,,
67,,,Louis Kirchgessner,WR,6-0,160.0,Jr.,"Tampa, Fla. / Robinson HS",,,
68,,,Christian Loving,OL,6-3,245.0,R-So.,"Hamilton, Ala. / Hamilton HS",Catawba,,
69,,,Dominiq Ponder,QB,6-5,205.0,Fr.,"/ Naples, Fla.",Myrtle Beach Collegiate Academy (S.C.),,
70,,,Omari Stewart,WR,5-8,155.0,Fr.,"Sharpsburg, Ga. / Trinity Christian HS",,,
0,,,Raymond Woodie Jr.,,,,,,,,Head Coach
1,,,DJ McCarthy,,,,,,,,Assistant Head Coach / Special Teams Coordinator / Tight Ends
2,,,Robert Wimberly,,,,,,,,Defensive Coordinator / Linebackers
3,,,Joe Gerbino,,,,,,,,Co-Offensive Coordinator / Quarterbacks
4,,,Donte’ Pimpleton,,,,,,,,Co-Offensive Coordinator / Running Backs
5,,,David Stuckman,,,,,,,,Pass Game Coordinator / Safeties
6,,,Nick Collins,,,,,,,,Cornerbacks
7,,,Brandon Washington,,,,,,,,Offensive Line
8,,,Demetrius Coley,,,,,,,,Defensive Line
9,,,Tavarius Jackson,,,,,,,,Nickels / Outside Linebackers
10,,,Chad Lucas,,,,,,,,Wide Receivers
0,,,Shelton Gaffney,,,,,,,,Football Strength & Conditioning
1,,,Jeff Fagan,,,,,,,,General Manager
2,,,Tim Weston,,,,,,,,Director of Football Operations
3,,,Myron Dillard,,,,,,,,Director of Recruiting
4,,,Rickey Layman,,,,,,,,Director of Football Video
5,,,Jean Dessein,,,,,,,,Operations Assistant / Analyst (Defense)
