,Statistic,#,Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Current School Name,Image,Title
0,,1.0,Vhito DeCapria,,-,,R-Sr.,/ Friends of Jaclyn,Penn,,
1,,1.0,Jaden Key,DB,6-2,185.0,Sr.,"Neptune, N.J. / Red Bank Catholic",Penn,,
2,,2.0,Liam O'Brien,QB,6-0,200.0,So.,"Boulder, Colo. / Deerfield Academy",Penn,,
3,,3.0,Jonathan Melvin,LB,6-1,225.0,Sr.,"Hampton, Va. / Kecoughtan",Penn,,
4,,4.0,Kendren Smith,DB,6-1,205.0,Sr.,"Charlotte, N.C. / Mallard Creek",Penn,,
5,,4.0,Sage Webb,WR,6-0,175.0,So.,"Pounding Mill, Va. / Richlands",Penn,,
6,,5.0,Logan Nash,DB,5-10,185.0,Sr.,"Richmond Heights, Ohio / St. Edward",Penn,,
7,,8.0,CJ Tremble,DB,5-11,180.0,Jr.,"Jacksonville, Fla. / Episcopal School of Jacksonville",Penn,,
8,,9.0,Grant Parker,DB,6-0,195.0,Jr.,"Beltsville, Md. / Gonzaga College HS",Penn,,
9,,9.0,Aidan Sayin,QB,6-2,195.0,Jr.,"Carlsbad, Calif. / Carlsbad",Penn,,
10,,10.0,Ryan Zanelli,QB,6-2,185.0,Sr.,"Santa Ana, Calif. / La Habra",Penn,,
11,,11.0,Alex Haight,WR,6-2,185.0,So.,"Delhi, N.Y. / Deerfield Academy",Penn,,
12,,13.0,Kadari Machen,LB,6-0,205.0,So.,"Silver Spring, Md. / Gonzaga College HS",Penn,,
13,,13.0,Julien Stokes,WR,5-7,180.0,Jr.,"Newbury Park, Calif. / Grace Brethren",Penn,,
14,,14.0,Maurcus McDaniel,WR,6-0,190.0,Sr.,"King of Prussia, Pa. / Episcopal Academy",Penn,,
15,,14.0,Jake Peterson,LB,6-3,225.0,Jr.,"Spring, Texas / The John Cooper School",Penn,,
16,,16.0,Ryan O'Connell,LB,6-2,220.0,So.,"Fairfield, Conn. / Fairfield Prep",Penn,,
17,,16.0,Bisi Owens,WR,6-4,200.0,So.,"Cooksville, Md. / Glenelg",Penn,,
18,,17.0,Will Seiler,DL,6-4,290.0,Sr.,"Atlanta, Ga. / The Lovett School",Penn,,
19,,17.0,Sterling Stokes,WR,6-4,205.0,Sr.,"Oakland, Calif. / Bishop O'Dowd",Penn,,
20,,18.0,Nick Fryhoff,DL,6-5,240.0,Jr.,"Tustin, Calif. / Foothill",Penn,,
21,,18.0,Jared Richardson,WR,6-2,205.0,So.,"Blakeslee, Pa. / Bethlehem Catholic",Penn,,
22,,19.0,Malone Howley,WR,6-4,200.0,Sr.,"Portsmouth, R.I. / Signal Mountain (TN)",Penn,,
23,,19.0,Jack Plank,DL,6-3,235.0,Sr.,"Kensington, Md. / Georgetown Prep",Penn,,
24,,20.0,Jacob Cisneros,RB,5-10,190.0,Jr.,"Anthem, Ariz. / Boulder Creek",Penn,,
25,,21.0,Anthony Bell,DB,6-2,195.0,Sr.,"Easton, Pa. / The Hun School",Penn,,
26,,22.0,Jack Kosick,DB,6-2,200.0,Jr.,"Huntington Beach, Calif. / Edison",Penn,,
27,,23.0,Jack Fairman,LB,6-1,225.0,Sr.,"Bloomfield Hills, Mich. / Cranbrook-Kingswood School",Penn,,
28,,24.0,Jordan Niles,RB,5-8,190.0,Sr.,"Clearwater, Fla. / Clearwater Central Catholic",Penn,,
29,,25.0,Shiloh Means,DB,5-11,195.0,Sr.,"Indianapolis, Ind. / Indianapolis Cathedral",Penn,,
30,,25.0,Isaac Shabay,RB,5-9,190.0,So.,"Colleyville, Texas / Colleyville Heritage",Penn,,
31,,27.0,Aaron Jones,RB,5-9,205.0,Jr.,"Bethesda, Md. / Walter Johnson",Penn,,
32,,28.0,David Okechukwu,DB,6-2,190.0,So.,"Washington, D.C. / Archbishop Carroll",Penn,,
33,,29.0,Francesco Barone,DB,6-1,190.0,So.,"Colts Neck, N.J. / The Hun School",Penn,,
34,,30.0,Julian Talley,DB,5-9,185.0,Jr.,"Hatfield, Pa. / St. Joseph's Prep",Penn,,
35,,31.0,Lawson Nash,DB,5-11,195.0,Sr.,"Richmond Heights, Ohio / St. Edward",Penn,,
36,,32.0,Chandler McGruder,RB,5-8,195.0,Sr.,"Indianapolis, Ind. / IMG Academy",Penn,,
37,,33.0,Walter Soefker,DB,5-10,195.0,Sr.,"Memphis, Tenn. / Choate Rosemary Hall",Penn,,
38,,36.0,Isaiah Jordan,LB,5-10,225.0,Sr.,"Rockville, Md. / St. John's College HS",Penn,,
39,,37.0,Gabe Wright,DB,5-11,190.0,Sr.,"Stockbridge, Ga. / Eagle's Landing Christian Academy",Penn,,
40,,38.0,Aidan Nash,LB,6-3,210.0,Sr.,"Philadelphia, Pa. / St. Joseph's Prep",Penn,,
41,,39.0,Sam Carlson,DL,6-4,240.0,Sr.,"Novato, Calif. / Tamalpais/Deerfield Academy",Penn,,
42,,41.0,Bryce Myers,TE,6-3,220.0,Jr.,"Bridgewater, N.J. / Bridgewater-Raritan",Penn,,
43,,43.0,Max Matolcsy,LB,6-0,220.0,Jr.,"Pittsburgh, Pa. / Plum Senior",Penn,,
44,,44.0,Mike Fraraccio,TE,6-4,240.0,Jr.,"Sarasota, Fla. / Riverview",Penn,,
45,,44.0,John Lista,LB,6-1,200.0,So.,"Fair Haven, N.J. / Rumson-Fair Haven",Penn,,
46,,45.0,Jake Davis,LB,6-2,210.0,So.,"Wall, N.J. / Wall",Penn,,
47,,46.0,Alec Wills,DB,5-11,160.0,So.,"Carson, Calif. / Los Alamitos",Penn,,
48,,47.0,Mitzseen Joseph,DL,6-2,225.0,Sr.,"Palm Beach County, Fla. / Suncoast Community",Penn,,
49,,48.0,Jack Iuliano,DL,6-3,245.0,Sr.,"Port Chester, N.Y. / Rye",Penn,,
50,,49.0,Bennett Smith,TE,6-5,230.0,Sr.,"Charlotte, N.C. / Charlotte Latin School",Penn,,
51,,50.0,Jake Ligos,OL,6-3,305.0,Sr.,"Long Valley, N.J. / West Morris Central",Penn,,
52,,51.0,Paul Jennings,DL,6-4,260.0,Jr.,"Ambler, Pa. / La Salle College HS",Penn,,
53,,55.0,Matthew Leyes,LS,6-1,175.0,So.,"Holly, Mich. / Grand Blanc",Penn,,
54,,55.0,Bo Sprague,OL,6-4,280.0,Jr.,"Leawood, Kan. / Rockhurst",Penn,,
55,,56.0,Callum Abernethy,OL,6-4,275.0,Sr.,"Greenwich, Conn. / Greenwich",Penn,,
56,,57.0,Nicholas Ostlund,DL,6-3,255.0,Jr.,"Dana Point, Calif. / St. Margaret's Episcopal School",Penn,,
57,,58.0,Bryce Hall,DL,6-3,240.0,Jr.,"Southfield, Mich. / Cranbrook-Kingswood School",Penn,,
58,,59.0,Liam Kearney,OL,6-3,280.0,Sr.,"Pittsburgh, Pa. / Pittsburgh Central Catholic",Penn,,
59,,62.0,Michael Gavin,DL,6-3,270.0,So.,"West Chester, Pa. / The Hun School",Penn,,
60,,63.0,Griffin Jackstadt,OL,6-4,280.0,Sr.,"Barnegat, N.J. / Barnegat",Penn,,
61,,64.0,Jake Bingham,OL,6-3,270.0,So.,"Virginia Beach, Va. / The Hun School",Penn,,
62,,65.0,Cameron Polemeni-Hegarty,OL,6-4,295.0,Sr.,"Goldens Bridge, N.Y. / Choate Rosemary Hall",Penn,,
63,,66.0,Cameron Wilson,OL,6-4,275.0,So.,"Lovettsville, Va. / Gonzaga College HS",Penn,,
64,,67.0,Maxwell Freeman,OL,6-3,295.0,So.,"Alpharetta, Ga. / West Forsyth",Penn,,
65,,72.0,Will Bergin,OL,6-3,290.0,Jr.,"Cheshire, Conn. / Cheshire Academy",Penn,,
66,,73.0,Jack Purcell,OL,6-5,290.0,Sr.,"Glen Mills, Pa. / Episcopal Academy",Penn,,
67,,74.0,Netinho Olivieri,OL,6-5,270.0,So.,"Newton, Mass. / Dexter Southfield",Penn,,
68,,76.0,Scott Dochat,DL,6-3,235.0,Jr.,"Clifton Park, N.Y. / Shenendehowa",Penn,,
69,,78.0,Carter Janki,DL,6-5,240.0,So.,"Redding, Conn. / Joel Barlow",Penn,,
70,,80.0,Clay Petry,WR,6-2,190.0,Jr.,"San Diego, Calif. / Helix Charter",Penn,,
71,,81.0,Davis Ellis,WR,6-0,190.0,Jr.,"Jacksonville, Fla. / The Bolles School",Penn,,
72,,82.0,Kobe Comizio,WR,5-10,180.0,Jr.,"Greenwich, Conn. / Greenwich",Penn,,
73,,84.0,Justin Cayenne,TE,6-3,240.0,Jr.,"Ponte Vedra, Fla. / The Bolles School",Penn,,
74,,86.0,Patrick Hawkins,TE,6-5,220.0,So.,"Santa Ana, Calif. / Foothill",Penn,,
75,,87.0,Joshua Casilli,WR,6-0,190.0,Sr.,"McMurray, Pa. / Peters Township",Penn,,
76,,88.0,Sulayman Adeoye,DL,6-4,220.0,Jr.,"Mission Hills, Calif. / Notre Dame HS",Penn,,
77,,91.0,Charlie Mossy,DL,6-4,235.0,Sr.,"Rancho Sante Fe, Calif. / The Bishop's School",Penn,,
78,,92.0,Ryan Mannelly,DL/LS,6-3,230.0,Sr.,"Atlanta, Ga. / Marist",Penn,,
79,,93.0,Graham Gotlieb,K,5-11,165.0,Sr.,"Boca Raton, Fla. / Pine Crest School",Penn,,
80,,94.0,Brady Ioannidis,DL,6-4,230.0,So.,"Kitchener, Ontario / Christ School",Penn,,
81,,94.0,Sam Smith,K,5-10,190.0,So.,"Gaithersburg, Md. / Quince Orchard",Penn,,
82,,95.0,Santiago Sturla,P/K,6-2,210.0,So.,"Blue Bell, Pa. / La Salle College HS",Penn,,
83,,96.0,Travis McFarling,DL,6-4,280.0,Sr.,"Flower Mound, Texas / Flower Mound",Penn,,
84,,97.0,Joey Slackman,DL,6-4,295.0,Sr.,"Commack, N.Y. / Commack",Penn,,
85,,98.0,Micah Morris,DL,6-2,285.0,Sr.,"Pittsburgh, Pa. / Fox Chapel Area",Penn,,
0,,,Ray Priore,,,,,,Penn,,George A. Munger Head Coach
1,,,Bob Benson,,,,,,Penn,,Associate Head Coach/Defensive Coordinator
2,,,Dan Swanstrom,,,,,,Penn,,"Offensive Coordinator/Clarence S. Rockwell, VMD Quarterbacks Coach"
3,,,Jon Dupont,,,,,,Penn,,Linebackers
4,,,Hank Hughes,,,,,,Penn,,Defensive Line
5,,,Kyle Metzler,,,,,,Penn,,Offensive Line
6,,,Sean Reeder,,,,,,Penn,,Tight Ends
7,,,Rick Ulrich,,,,,,Penn,,Wide Receivers
8,,,Eric Franklin,,,,,,Penn,,Corner Backs
9,,,David Sims,,,,,,Penn,,Running Backs
10,,,Brian Fallon,,,,,,Penn,,Director of Player Development
0,,,Rudy Fuller,,,,,,Penn,,Sport Administrator
1,,,Josh Liddick,,,,,,Penn,,Athletic Communications
2,,,Victor Szwanki,,,,,,Penn,,Head Football Athletic Trainer
3,,,Miguel Rivera,,,,,,Penn,,Strength and Conditioning
4,,,Taryn Ficken,,,,,,Penn,,Athletic Trainer
5,,,Alexa Gasser,,,,,,Penn,,Athletic Trainer
6,,,Langston Livingston,,,,,,Penn,,Student-Athlete Success (CSAS)
7,,,Drew Flack,,,,,,Penn,,Equipment Manager
