,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown,Current School Name,High School,Previous School,Image,Name,Title
2,,,,,,,,,McNeese State,,,,Adam Neugebauer,Offensive Coordinator/Quarterbacks
3,,,,,,,,,McNeese State,,,,Tony Pecoraro,Defensive Coordinator
4,,,,,,,,,McNeese State,,,,Thomas Reese,Assistant Coach - Special Teams Coordinator/RBs
5,,,,,,,,,McNeese State,,,,Dwight Jackson,Assistant Coach - LBs
6,,,,,,,,,McNeese State,,,,Mike Johnson,Assistant Coach - DBs
7,,,,,,,,,McNeese State,,,,Roy Roundtree,Assistant Coach - WR
8,,,,,,,,,McNeese State,,,,Ryan Nehlen,Assistant Coach - TE
9,,,,,,,,,McNeese State,,,,Marco Sanchez,Defensive Assistant
10,,,,,,,,,McNeese State,,,,Chris St. John,Defense Quality Control
11,,,,,,,,,McNeese State,,,,Ty Hinson,Offense Quality Control
0,,,,,,,,,McNeese State,,,,Kelsey Curry,Director of Football Operations
1,,,,,,,,,McNeese State,,,,Phillip Chartier,Equipment Manager
2,,,,,,,,,McNeese State,,,,Raymond Donovan,Video Coordinator
3,,,,,,,,,McNeese State,,,,Hunter Martin,Assistant AD for Sports Medicine
4,,,,,,,,,McNeese State,,,,Hannah Hampton,Assistant Athletic Trainer (Football)
5,,,,,,,,,McNeese State,,,,Luke Cody,Assistant Athletic Trainer (Football)
6,,,,,,,,,McNeese State,,,,Laurryn Benton,Student Manager
7,,,,,,,,,McNeese State,,,,Matthew Bonnette,Senior Associate AD for Athletics Communications
8,,,,,,,,,McNeese State,,,,Megan Soileau,Director of Student Athlete Services
