,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
51,,66.0,Riley Bell,OL,6-3,300.0,R-Fr.,"Tallapoosa, Ga.",Mercer,Haralson County HS,,,,
52,,68.0,Nate Howard,OL,6-7,315.0,R-Jr.,"Forsyth, GA",Mercer,Mary Persons HS,South Alabama,,,
53,,71.0,Israel Mukwiza,OL,6-2,320.0,R-Jr.,"Bronx , NY",Mercer,Archer HS,Alabama A&M,,,
54,,72.0,Caleb Carter,OL,6-3,270.0,R-Fr.,"Easley, SC",Mercer,Wren HS,,,,
55,,73.0,John Thomas,OL,6-3,300.0,Sr.,"Marietta, GA",Mercer,Hillgrove HS,,,,
56,,74.0,Luke Barlow,OL,6-2,280.0,R-So.,"Savannah, Ga.",Mercer,Benedictine Military School,,,,
57,,74.0,Tim Maddox,OL,6-2,290.0,R-So.,"Columbus, GA",Mercer,Northside HS,,,,
58,,77.0,Mac Johnson,OL,6-3,255.0,R-So.,"Waycross, GA",Mercer,Ware County HS,,,,
59,,78.0,Peyton Bumpers,OL,6-4,275.0,R-So.,"Marietta, GA",Mercer,Harrison HS,,,,
60,,80.0,Kendall Harris,WR,6-1,185.0,Fr.,"Concord, NC",Mercer,Cox Mill HS,,,,
61,,81.0,Scooter Risper,WR,5-10,165.0,Gr.,"Macon, GA",Mercer,Westside-Macon HS,West Georgia University,,,
62,,82.0,Andrew May,TE,6-4,230.0,R-Jr.,"Evans, Ga.",Mercer,Lakeside HS,,,,
63,,85.0,Sawyer Burt,TE,6-4,243.0,R-Fr.,"Fort Payne, Ala",Mercer,Fort Payne HS,,,,
64,,88.0,Tyzen Wilkerson,TE,6-2,248.0,R-So.,"Decatur, GA",Mercer,Grayson HS,,,,
65,,89.0,Ian Garcia,P,6-0,200.0,R-Fr.,"Windermere, FL",Mercer,Foundation Academy,,,,
66,,91.0,Jordan Swain,DL,6-3,255.0,R-Jr.,"Brunswick, GA",Mercer,Glynn Academy,,,,
67,,92.0,Barrett Schmidlkofer,KAT,6-2,221.0,R-Fr.,"Senoia, GA",Mercer,Starr’s Mill High School,,,,
68,,94.0,Savio Frazier,DL,6-2,285.0,Jr.,"Hampton, Ga.",Mercer,Dutchtown HS,,,,
69,,96.0,Arias Nash,DL,6-3,265.0,So.,"Charlotte, NC",Mercer,Stuart Cramer HS,,,,
70,,98.0,Chris Hill,DL,6-2,284.0,R-Jr.,"Statesboro, GA",Mercer,Statesboro HS,,,,
71,,99.0,Caden Camese,DL,6-3,290.0,So.,"Bellevue, NE",Mercer,Bellevue West High School,,,,
72,,,Bryce Addison,K,5-9,165.0,R-Fr.,"Saint Augustine, FL",Mercer,Pedro Menendez HS,,,,
73,,,Sam Albee,TE,6-5,225.0,Fr.,"Roswell, GA",Mercer,Fellowship Christian School,,,,
74,,,Kody Arnold,P,5-10,170.0,Fr.,"Brunswick, GA",Mercer,Glynn Academy HS,,,,
75,,,Amarii Atchison,OL,6-7,280.0,Fr.,"Douglasville, GA",Mercer,Alexander HS,,,,
76,,,Jason Berko,OL,6-2,275.0,R-Fr.,"Watkinsville, GA",Mercer,Oconee County HS,,,,
