,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Image,Name,Title
51,,63.0,Cooper Smith,OL,6-3,341.0,So.,"Portsmouth, N.H. / St. John's Prep",New Hampshire,,,
52,,64.0,Brendan Graham,OL,6-6,250.0,R-Fr.,"Hudson, N.H. / Alvirne High School",New Hampshire,,,
53,,66.0,Dylan Poirier,OL,6-4,311.0,Jr.,"North Kingstown, R.I. / North Kingstown",New Hampshire,,,
54,,67.0,Justin Fevrier,DT,6-4,340.0,R-Fr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",New Hampshire,,,
55,,68.0,Nathan Roach,OL,6-2,272.0,R-Fr.,"Manchester, N.H. / Buckingham Browne & Nichols",New Hampshire,,,
56,,69.0,Mason Davis,OL,6-3,295.0,So.,"Peabody, Mass. / St. John's Prep",New Hampshire,,,
57,,70.0,Jack Wilson,OL,6-3,274.0,R-Fr.,"Westford, Mass. / Milton Academy",New Hampshire,,,
58,,71.0,Jason Trotta,OL,6-4,295.0,Fr.,"Hazlet, N.J. / Raritan High School",New Hampshire,,,
59,,72.0,David Perry Jr.,OL,6-5,343.0,Sr.,"Springfield, Va. / West Springfield",New Hampshire,,,
60,,73.0,Matt O'Neill,OL,6-4,309.0,Sr.,"Weymouth, Mass. / Weymouth",New Hampshire,,,
61,,75.0,Beau Riley,OL,6-7,333.0,R-Fr.,"Sebring, Fla. / Sebring High School",New Hampshire,,,
62,,76.0,Dylan Maciulewicz,OL,6-4,288.0,So.,"Erie, Pa. / McDowell",New Hampshire,,,
63,,77.0,Tyler Shannon,OL,6-3,278.0,So.,"Port Jefferson Station, N.Y. / Comsewogue",New Hampshire,,,
64,,78.0,Jake Cuddire,OL,6-2,269.0,R-Fr.,"Peabody, Mass. / St. John's Prep (MA)",New Hampshire,,,
65,,81.0,Huck Flanagan,DE,6-4,231.0,R-Fr.,"Pomfret Center, Conn. / The Woodstock Academy",New Hampshire,,,
66,,82.0,Noah Cundiff,WR,6-2,185.0,R-Fr.,"Palm Coast, Fla. / Matanzas High School",New Hampshire,,,
67,,84.0,Kyle Lepkowski,TE,6-4,256.0,Sr.,"Adamstown, Md. / Tuscarora",New Hampshire,,,
68,,85.0,Colby Ramshaw,TE,6-5,240.0,R-Fr.,"Londonderry, N.H. / Londonderry High School",New Hampshire,,,
69,,86.0,Peyton Strickland,TE,6-3,246.0,R-Fr.,"Goffstown, N.H. / Goffstown High School",New Hampshire,,,
70,,87.0,Sam Brecker,WR,5-10,167.0,R-Fr.,"Malvern, Pa. / Malvern High School",New Hampshire,,,
71,,87.0,Chris Donnelly,DE,6-3,255.0,Sr.,"Park Ridge, N.J. / Don Bosco Prep",New Hampshire,,,
72,,88.0,Drew Danson,TE,6-3,248.0,Fr.,"Wrentham, Mass. / King Phillip Regional",New Hampshire,,,
73,,89.0,Cam Peach,WR,6-0,182.0,Jr.,"South Hamilton, Mass. / Hamilton Wenham / Bridgton Academy",New Hampshire,,,
74,,91.0,Cameron Garner-Young,DT,6-2,266.0,R-Fr.,"Laurel, Md. / St. Vincent Pallotti High School",New Hampshire,,,
75,,92.0,Neil Politano,DT,6-3,302.0,Jr.,"Jacksonville, Fla. / Bishop Kenny",New Hampshire,,,
76,,93.0,Tim Bonagura,DT,6-1,272.0,So.,"Fremont, N.H. / St. Thomas Aquinas",New Hampshire,,,
77,,95.0,Pierce DeVaughn,DE,6-4,267.0,Gr.,"Plano, Texas / Prestonwood Christian / UConn",New Hampshire,,,
78,,96.0,T.J. Farrell,DE,6-5,253.0,R-Fr.,"Walpole, Mass. / Walpole High School",New Hampshire,,,
79,,97.0,Zach Garron,DE,6-3,221.0,So.,"Bedford, N.H. / Bedford / Bridgton Academy",New Hampshire,,,
80,,98.0,Nathan Kapongo,DT,6-4,278.0,Jr.,"Westbrook, Maine / Portland",New Hampshire,,,
81,,99.0,Luke Teskey V,DE,6-3,247.0,R-Fr.,"New Westminster, B.C. / Mater Dei Catholic High School",New Hampshire,,,
0,,,,,,,,,New Hampshire,,Rick Santos,Head Coach
1,,,,,,,,,New Hampshire,,Garrett Gillick,Associate Head Coach / Defensive Coordinator
2,,,,,,,,,New Hampshire,,Brian Scott,Offensive Coordinator / OL
3,,,,,,,,,New Hampshire,,Ed Borden,"Assistant Coach, TE / Recruiting Coordinator"
4,,,,,,,,,New Hampshire,,Drew Belcher,"Assistant Coach, QB / Pass Game Coordinator"
5,,,,,,,,,New Hampshire,,Garrett McLaughlin,"Assistant Coach, DE / Special Teams Coordinator"
6,,,,,,,,,New Hampshire,,Casey DeAndrade,"Assistant Coach, DB / Defensive Pass Game Coordinator"
7,,,,,,,,,New Hampshire,,Tommy Herion,"Assistant Coach, RB"
8,,,,,,,,,New Hampshire,,Luke Carrezola,"Assistant Coach, DL"
