,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,School,Current School Name,Hometown / High School,Image,Name,Title
48,,56.0,Reid Englert,DL,6-3,260.0,Sr.,CC,Columbia,"Ridgefield, Conn. / Ridgefield H.S.",,,
49,,57.0,David Bartholomew,DL,6-5,265.0,Sr.,CC,Columbia,"Fredonia, N.Y. / St. Francis H.S.",,,
50,,60.0,John Iannuzzi,OL,6-4,310.0,Jr.,CC,Columbia,"Belmont, Mass. / Dexter Southfield H.S.",,,
51,,61.0,Augustus Rice,OL,6-5,310.0,Jr.,CC,Columbia,"Waller, Texas / Waller H.S.",,,
52,,64.0,James Lill,OL,6-5,280.0,So.,CC,Columbia,"Webster, N.Y. / Avon Old Farms School / Webster Schroeder H.S.",,,
53,,66.0,Ryan Carr,OL,6-4,275.0,So.,CC,Columbia,"Lansdale, Pa. / La Salle College H.S.",,,
54,,68.0,Braeden Bellmer,OL,6-4,295.0,Sr.,CC,Columbia,"Puyallup, Wash. / Puyallup H.S.",,,
55,,71.0,Judge Niland,OL,6-3,280.0,Jr.,CC,Columbia,"El Paso, Texas / Lake Travis H.S.",,,
56,,72.0,Ben Corniello,DL,6-2,275.0,Sr.,CC,Columbia,"Madison, Conn. / Daniel Hand H.S.",,,
57,,73.0,Pat Colicchio,OL,6-3,285.0,Jr.,CC,Columbia,"Bernardsville, N.J. / Bergen Catholic H.S.",,,
58,,74.0,Zach Mills,OL,6-3,290.0,Sr.,CC,Columbia,"Jacksonville, Fla. / Williston Northampton Preparatory School / Mandarin H.S.",,,
59,,75.0,Noah Jordan,OL,6-5,300.0,So.,CC,Columbia,"Leonardtown, Md. / St. Mary's Ryken H.S.",,,
60,,76.0,Patrick Passalacqua,DL,6-2,285.0,Jr.,SEAS,Columbia,"Old Tappan, N.J. / Northern Valley Regional H.S.",,,
61,,78.0,Andrew Pruske,OL,6-2,285.0,Sr.,CC,Columbia,"San Antonio, Texas / Winston Churchill H.S.",,,
62,,79.0,Ewan Clarke,OL,6-5,320.0,So.,CC,Columbia,"Alexandria, Va. / St. Stephen's & St. Agnes School",,,
63,,81.0,Dominic Busby,TE,6-3,235.0,Sr.,CC,Columbia,"Bloomfield, N.J. / Seton Hall Prep",,,
64,,82.0,James Knox,DL,6-4,250.0,Sr.,CC,Columbia,"Sandy Hook, Conn. / Newtown H.S.",,,
65,,83.0,Andrew Donovan,P,6-0,190.0,Sr.,CC,Columbia,"Darien, Conn. / Darien H.S.",,,
66,,83.0,Jack Larsen,TE,6-3,240.0,Jr.,CC,Columbia,"West Orange, N.J. / Seton Hall Prep",,,
67,,84.0,Savon Rawlins,DL,6-4,240.0,Sr.,CC,Columbia,"Brooklyn, N.Y. / The Lawrenceville School (N.J.)",,,
68,,86.0,Edan Stagg,WR,6-1,180.0,So.,CC,Columbia,"Baton Rouge, La. / University Lab School",,,
