,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown,High School,College,Image,Name,Title
51,,64.0,Dominic DeBerry,OL,6-4,285.0,So.,SQ,Portland State,"Santa Clarita, CA",Sierra Canyon,,,,
52,,69.0,Logan Bruce,OL,6-4,320.0,So.,1V,Portland State,"Lake Stevens, WA",Lake Stevens,Washington,,,
53,,70.0,Braylon Cornell,OL,6-6,285.0,Fr.,RS,Portland State,"West Linn, OR",West Linn,,,,
54,,71.0,Sebastian Sias,OL,6-3,320.0,Sr.,1V,Portland State,"Utqiagvik, AK",Barrow,Butte JC,,,
55,,72.0,Jake Cooper,OL,6-5,260.0,Fr.,RS,Portland State,"Milwaukie, OR",Milwaukie,,,,
56,,73.0,Hezephaniah Po Ching,OL,6-2,300.0,Fr.,RS,Portland State,"Vancouver, WA",Skyview,,,,
57,,75.0,D'Angalo Titialii,OL,6-2,320.0,Jr.,2V,Portland State,"Auburn, WA",Eastside Catholic,,,,
58,,76.0,Pedro Timoteo,OL,6-3,335.0,So.,1V,Portland State,"Anchorage, AK",East Anchorage,Fresno State,,,
59,,77.0,Jaylen Larry,OL,6-3,275.0,Jr.,RS,Portland State,"Pasadena, CA",Oaks Christian HS • Milford Prep,UMass,,,
60,,78.0,Richard Estrella,OL,6-4,305.0,Jr.,2V,Portland State,"Eugene, OR",Churchill,,,,
61,,82.0,Malcolm Tatum,WR,6-3,200.0,So.,1V,Portland State,"Tualatin, OR",Tualatin,,,,
62,,84.0,Elias Spence,TE,6-4,225.0,Jr.,2V,Portland State,"Medford, OR",North Medford,,,,
63,,86.0,Jaylen Lynch,WR,6-2,175.0,Fr.,RS,Portland State,"Murrieta, CA",Orange Lutheran,,,,
64,,87.0,Taylor Evans,WR,6-0,190.0,So.,1V,Portland State,"Simi Valley, CA",Crespi Carmelite,,,,
65,,89.0,Tanner Beaman,TE,6-3,220.0,Fr.,RS,Portland State,"Vancouver, WA",Skyview,,,,
66,,90.0,George Triplett,P,5-10,190.0,Sr.,1V,Portland State,"Elkins, WV",Elkins,Princeton,,,
67,,93.0,Martin Salazar,DL,5-10,285.0,Jr.,2V,Portland State,"Watts, CA",Mater Dei,,,,
68,,94.0,Jessie Brown,DT,6-2,280.0,So.,1V,Portland State,"Bremerton, WA",Olympic,,,,
69,,95.0,Rob Silva,DL,6-0,300.0,Fr.,RS,Portland State,"Lodi, CA",Camas (WA) HS,,,,
70,,96.0,Slade Shufelt,DL,6-3,230.0,So.,1V,Portland State,"Hillsboro, OR",Hillsboro,,,,
71,,97.0,Gianni Smith,K,6-1,205.0,Jr.,2V,Portland State,"Oak Park, CA",Oak Park,,,,
72,,98.0,Michael MacNeill,DL,6-1,280.0,Fr.,RS,Portland State,"Salinas, CA",Salinas,,,,
73,,99.0,Fyodor Henrichs-Tarasenkov,K,6-4,200.0,Fr.,RS,Portland State,"Vancouver, WA",Skyview,,,,
74,,99.0,Dino Kahaulelio,DT,6-0,285.0,Sr.,1V,Portland State,"Santa Rosa, CA",Cardinal Newman,City College of San Francisco,,,
75,,,"Tupulea ""Bam"" Afalava",DL,6-3,240.0,Fr.,HS,Portland State,"Puyallup, WA",Emerald Ridge,,,,
76,,,Jermaine Braddock,WR,6-1,190.0,Sr.,TR,Portland State,"Covina, CA",Charter Oak,San Jose State,,,
77,,,Jaden DaCosta,DB,6-1,195.0,Fr.,HS,Portland State,"Inglewood, CA",Inglewood,,,,
78,,,Eric Denham,WR,5-11,200.0,Fr.,HS,Portland State,"Bellflower, CA",St. John Bosco,,,,
79,,,Gabe Downing,QB,6-0,185.0,Fr.,HS,Portland State,"Olympia, WA",Olympia,,,,
80,,,Elijah Eason,DL,6-5,235.0,Fr.,HS,Portland State,"Fresno, CA",Bullard,,,,
81,,,Spencer Elliott,DL,6-2,235.0,Fr.,HS,Portland State,"Bend, OR",Summit,,,,
82,,,Austin Goetz,DE,6-2,225.0,Fr.,HS,Portland State,"Tigard, OR","Tigard, OR",,,,
83,,,Jonah Hayes,OL,6-4,310.0,So.,TR,Portland State,"Vancouver, WA",Evergreen,Utah State,,,
84,,,Dallas Holliday,OL,6-3,315.0,Sr.,TR,Portland State,"Sherman Oaks, CA",Oaks Christian,Boise State,,,
