,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous College,Image,Name,Title
73,,,Cassius Harris,WR,6-2,172.0,Fr.,"Tazewell, Va.",Tazewell,,,,
74,,,Jamar Hodges,DL,6-3,230.0,Fr.,"Petersburg, Va.",Petersburg,,,,
75,,,Nathan McNeel,OL,6-4,260.0,Fr.,"Richmond, Va.",Mills E. Godwin,,,,
76,,,Matthew Traynor,,6-1,170.0,Fr.,"Marietta, Ga.",George Walton,,,,
77,,,Jordan Wilkes,LB,6-0,220.0,Fr.,"Harrisburg, N.C.",Hickory Ridge,,,,
0,,,,,,,,,,,,Russ Huesman,Head Coach
1,,,,,,,,,,,,Justin Wood,Assistant Head Coach/Defensive Coordinator/Linebackers
2,,,,,,,,,,,,Adam Ross,Co-Offensive Coordinator/Offensive Line
3,,,,,,,,,,,,Winston October,Co-Offensive Coordinator/Wide Receivers
4,,,,,,,,,,,,Drew Anthony,Safeties/Special Teams Coordinator
5,,,,,,,,,,,,Trey Caso,Tight Ends/Offensive Recruiting Coordinator
6,,,,,,,,,,,,Chris Ellis,Defensive Ends
7,,,,,,,,,,,,Justin Poindexter,Running Backs
8,,,,,,,,,,,,Jacob Huesman,Quarterbacks
9,,,,,,,,,,,,Jameson Zacharias,Cornerbacks
10,,,,,,,,,,,,Rob Noel,Defensive Line
11,,,,,,,,,,,,Alex Day,Football Video Coordinator
12,,,,,,,,,,,,Dave Legg,Director of Football Operations & Recruiting Coordinator
13,,,,,,,,,,,,Scott Brincks,Director of Strength & Conditioning/Football
14,,,,,,,,,,,,Zach Zechman,Student Assistant Coach
