,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,Twitter,Instagram,Image,Name,Title
0,,1.0,Eddie Morales III,Gr.,DB,5-9,185.0,"Farmingdale, NJ",Monmouth,Howell,moraleseddie3,eddie_morales3,,,
1,,2.0,Tyrese Wright,Sr.,DB,6-0,215.0,"Bridgeport, CT",Monmouth,Capital Prep Harbor School,ReeseTwoReal,_reese2.0,,,
2,,4.0,Remi Johnson,So.,LB,6-2,230.0,"Springfield, VA",Monmouth,Lake Braddock Secondary,RemiJ2334,remi2334,,,
3,,5.0,Da'Quan Grimes,Gr.,LB,5-11,225.0,"Gaithersburg, MD",Monmouth,Damascus,DaquanGrimes5,daquangrimes5,,,
4,,6.0,Juwon Farri,R-Sr.,RB,5-10,205.0,"Germantown, MD",Monmouth,Northwest,jyozaki23,jwonn__,,,
5,,7.0,Thomas Joe-Kamara,Jr.,DB,6-1,210.0,"Dayton, NJ",Monmouth,South Brunswick / Temple,ThomasJoeKamar1,_t.j7__,,,
6,,8.0,Darrion Carrington,Gr.,WR,6-2,205.0,"Lakewood, NJ",Monmouth,Toms River North / Yale,DCarrington01,rf.dcarr,,,
7,,9.0,Ugo Obasi,Gr.,WR,6-1,200.0,"Baltimore, MD",Monmouth,Milford Mill Academy / Virginia,Ugoobas1,ugoobas1,,,
8,,10.0,Frankie Savino,So.,QB,6-1,200.0,"Emerson, NJ",Monmouth,Emerson,frankie7savino,frankie7savino,,,
9,,11.0,Tony Muskett,Jr.,QB,6-2,210.0,"Springfield, VA",Monmouth,West Springfield,TonyMuskett,tonymuskett11,,,
10,,12.0,Enzo Arjona,Fr.,QB,6-0,195.0,"Upper Saddle River, NJ",Monmouth,Northern Highlands,Enzoqb12,enzo_qb13,,,
11,,13.0,Jason Antwi,5th,DB,6-1,210.0,"Irvington, NJ",Monmouth,Irvington,Jaayboogie3,jaay.boogie,,,
12,,13.0,Johnny Gilchrist,So.,QB,5-11,185.0,"Moosic, PA",Monmouth,Riverside,jgilchrist3,jgilchristiii,,,
13,,14.0,Alex Bryant,Jr.,WR,5-11,175.0,"Ocean, NJ",Monmouth,Ocean Township,alexbryant4_,alexbrynt,,,
14,,14.0,Christian Solino,Fr.,QB,6-3,185.0,"Bloomsbury, NJ",Monmouth,Saint Joseph,csolino_13,christian_solino,,,
15,,15.0,Dymere Miller,Jr.,WR,6-0,180.0,"Coatesville, PA",Monmouth,Coatsville / Salisbury School,miller_dymere,dymere.miller,,,
16,,16.0,Jaylen Dotson,So.,DB,5-10,180.0,"Middletown, MD",Monmouth,Good Counsel,jaylendotson_,jaylenldotson,,,
17,,17.0,Mike Reid,Jr.,DB,6-2,205.0,"Owings Mills, MD",Monmouth,Owings Mills,MSR4six,m1kereid7,,,
18,,18.0,Assanti Kearney,Sr.,WR,6-2,220.0,"Reisterstown, MD",Monmouth,Franklin,AssantiiKearney,assantiikearney,,,
19,,19.0,John Manfre Jr.,Sr.,WR,6-3,195.0,"Freehold, NJ",Monmouth,Freehold Twp,JohnnyManfre,johnnymanfre,,,
20,,20.0,Jaden Shirden,So.,RB,5-9,185.0,"West Haven, CT",Monmouth,St. Joseph's / Cheshire Academy,shirden_20,jrock__20,,,
21,,21.0,Davis Smith,Sr.,DB,6-1,190.0,"Haddonfield, NJ",Monmouth,Haddonfield Memorial,dm_smith21,_1of21,,,
22,,22.0,Dante Kiett,Sr.,DB,6-2,190.0,"Pennsauken, NJ",Monmouth,Eastern Regional,dantkiett,_danttt,,,
23,,23.0,Jyair Thomas,Sr.,DB,6-0,210.0,"Owings Mills, MD",Monmouth,Boys Latin,jyairt19,jyairthomas,,,
24,,24.0,John England,So.,DB,6-1,175.0,"Columbia, MD",Monmouth,Hammond,Johnnn3x,Johnnn3x,,,
25,,24.0,Jaylen Tucker,So.,RB,5-10,210.0,"Jersey City, NJ",Monmouth,Lincoln,,kiing.tuck,,,
26,,25.0,Jude Umunakwe,Jr.,DB,6-1,180.0,"Bronx, NY",Monmouth,Capitol Prep Harbor,JudeUmunakwe,judeumunakwe,,,
27,,26.0,Owen Wright,Gr.,RB,5-11,225.0,"Bethesda, MD",Monmouth,Georgetown Prep / William & Mary,OwenWright_23,owenwright25,,,
28,,27.0,Justin Nyers,So.,LS,6-0,210.0,"Manalapan, NJ",Monmouth,Manalapan,justinnyers19,justinnyers19,,,
29,,28.0,Jamir Barnes,Jr.,RB,5-10,200.0,"Wyncote, PA",Monmouth,Cheltenham,Jbarnes8_,jamirrbarnes,,,
30,,29.0,Austin Castorina,Jr.,RB,5-9,205.0,"Sparta, NJ",Monmouth,Sparta,aucaaustin,austcas_6,,,
31,,30.0,Makhi Green,Fr.,RB,5-9,170.0,"West Orange, NJ",Monmouth,West Orange,MakhiGreen_,m2khi,,,
32,,31.0,Phil Rawlings,Fr.,DB,6-1,200.0,"Upper Marlboro, MD",Monmouth,St. John's Catholic High School,4Side_,4side_,,,
33,,32.0,Owen Bill,Fr.,WR,6-1,205.0,"Flemington, NJ",Monmouth,Hunterdon Central,owenbill3,owenbilll,,,
34,,33.0,Justin Bennin,So.,DB,6-2,210.0,"Gainesville, VA",Monmouth,Battlefield,j_bennin,justin.bennin,,,
35,,34.0,Isaiah Bishop,Sr.,LB,6-2,240.0,"Boyds, MD",Monmouth,Northwest,isaiahkayvonn,isaiah_kayvonn,,,
36,,35.0,Sam Korpoi,Fr.,LB,6-1,200.0,"Laurel, MD",Monmouth,Paint Branch,KKorpoi,,,,
37,,36.0,Dre Tucker,Sr.,WR,6-1,180.0,"Cinnaminson, NJ",Monmouth,Camden Catholic,_atucker12,,,,
38,,37.0,Kadeem McKnight,So.,DB,6-0,190.0,"Hartford, CT",Monmouth,Capital Prep,kadeemmcknight1,5forever.deem,,,
39,,38.0,Jabril Shakur,Sr.,DB,5-11,180.0,"Atlantic City, NJ",Monmouth,Pleasantville,brillzyy_,brillzyy,,,
40,,39.0,Jordan Gray,Sr.,WR,6-1,200.0,"Maplewood, NJ",Monmouth,Abraham Clark / Lincoln,,_flashy12,,,
41,,40.0,Hayden Hall,Fr.,P,6-4,170.0,"Darien, CT",Monmouth,Darien / IMG Academy,HayHall2022,,,,
42,,40.0,Damir McCrary,Fr.,LB,6-0,215.0,"Camden, NJ",Monmouth,Woodrow Wilson,MccraryDamir,b.b.mir,,,
43,,41.0,Eric Bernstein,Jr.,K,6-2,215.0,"East Meadow, NY",Monmouth,East Meadow / Towson / Rutgers,EricBernstein48,eric_bernstein,,,
44,,41.0,Jake Frye,Fr.,LB,6-1,230.0,"Aldie, VA",Monmouth,St. Paul VI Catholic,jakeefrye,jakeefrye,,,
45,,42.0,Connor Farrell,Fr.,DL,6-2,230.0,"Toms River, NJ",Monmouth,Donovan Catholic,ConnorFarr44,connor_farrell_,,,
46,,43.0,Matthew Griffin,Gr.,LB,6-1,215.0,"Falls Church, VA",Monmouth,J.E.B. Stuart,MattyGriffin3,matthewlgriffin,,,
47,,44.0,Ben Joseph,Sr.,LB,6-1,225.0,"Stamford, CT",Monmouth,St. Luke's School,_Bjoseph15,_benjoe44,,,
48,,45.0,Charlie Sasso,Fr.,LB,6-0,225.0,"Wall, NJ",Monmouth,Wall,CharlieSasso,charlie.sasso,,,
49,,46.0,Cory Englehardt,Sr.,TE,6-4,230.0,"Brick, NJ",Monmouth,Brick Township,englehardt_cory,coryenglehardt,,,
50,,47.0,Daniel Gutin,So.,LB,6-3,220.0,"Park Ridge, NJ",Monmouth,Park Ridge / Southeastern University,DanielGutin10,danielgutin10,,,
51,,48.0,Vincenzo Rea,So.,K,6-4,215.0,"Manalapan, NJ",Monmouth,Manalapan,CenzoRea8,viincennzo,,,
