,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
0,,0.0,Zach Mathis,WR,6-6,205.0,Sr.,"Tampa, Fla.",North Dakota State,Berkeley Prep HS,,,
1,,1.0,Courtney Eubanks,CB,5-10,187.0,Jr.,"St. Petersburg, Fla.",North Dakota State,Admiral Farragut Academy,,,
2,,2.0,Kellen Entz,WR,6-2,207.0,Fr.,"West Fargo, N.D.",North Dakota State,Sheyenne HS,,,
3,,2.0,Dawson Weber,S,6-2,190.0,Sr.,"Elk Grove, Calif.",North Dakota State,Pleasant Grove HS,,,
4,,4.0,Kobe Johnson,RB,5-9,188.0,Sr.,"Lawrenceville, Ga.",North Dakota State,Discovery HS,,,
5,,5.0,Bryce Lance,WR,6-3,200.0,RFr.,"Marshall, Minn.",North Dakota State,Marshall HS,,,
6,,6.0,Destin Talbert,CB,6-0,187.0,Sr.,"Darien, Ill.",North Dakota State,Hinsdale South HS,,,
7,,6.0,Cedric Wall,WR,6-1,186.0,Fr.,"Rosemount, Minn.",North Dakota State,Rosemount HS,,,
8,,7.0,Cam Miller,QB,6-1,212.0,Jr.,"Solon, Iowa",North Dakota State,Solon HS,,,
9,,8.0,Barika Kpeenu,RB,5-10,204.0,RFr.,"Fargo, N.D.",North Dakota State,West Fargo Sheyenne HS,,,
10,,10.0,Dom Jones,S,6-3,197.0,Jr.,"Duluth, Ga.",North Dakota State,Peachtree Ridge HS,,,
11,,12.0,Braylon Henderson,WR,5-9,177.0,Jr.,"Wylie, Texas",North Dakota State,Plano East HS,,,
12,,13.0,Anthony Coleman,CB,5-10,178.0,Jr.,"Grimes, Iowa",North Dakota State,Johnston HS,,,
13,,14.0,Nathan Hayes,QB,6-3,202.0,Fr.,"West Chicago, Ill.",North Dakota State,St. Charles East HS,,,
14,,14.0,Enock Sibomana,LB,5-10,204.0,RFr.,"Fargo, N.D.",North Dakota State,Fargo South HS,,,
