,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
60,,64.0,Christopher Alvarado,G,6-1,280.0,R-Jr.,"San Diego, CA / Helix",,,,
61,,65.0,Chase Kamin,OL,6-4,270.0,So.,"Santa Barbara, CA / Santa Barbara",Ventura College,,,
62,,66.0,Luke Bolin,OT,6-5,280.0,Fr.,"San Diego, CA / Saint Augustine",,,,
63,,67.0,Andrew Young,DL,6-2,220.0,Fr.,"El Cajon, CA / Christian",,,,
64,,68.0,Nick Struempf,OL,6-3,285.0,Fr.,"Danville, CA / Monte Vista",,,,
65,,70.0,Julian Rodriguez,OL,6-6,275.0,So.,"Sacramento, CA / Christian Brothers",,,,
66,,71.0,Mark Mahoney,OL,6-6,261.0,R-So.,"San Diego, CA / St. Augustine",,,,
67,,72.0,Jack D'Ambra,OL,6-3,290.0,Fr.,"Wildomar, CA / Vista Murrieta",,,,
68,,73.0,Evans Bowling,OL,6-6,235.0,So.,"El Paso, TX / Cathedral",,,,
69,,74.0,Matt Shapiro,OL,6-5,290.0,Fr.,"Danville, CA / San Ramon Valley",,,,
70,,75.0,Charlie Stone,OL,6-1,270.0,So.,"Austin, TX / Regents",Rice,,,
71,,76.0,Chris Wilson,LB,6-3,225.0,R-So.,"Arcadia, CA / Arcadia HS",Utah,,,
72,,77.0,Malachi Cooper,DL,6-4,260.0,So.,"San Diego, CA / Serra",,,,
73,,78.0,Alijah Brown,DE,6-4,220.0,Fr.,"Oakland, CA / Bishop O'Dowd",,,,
74,,79.0,Nicolas Bisogno,C,6-2,280.0,R-Jr.,"Corona, CA / Santiago",,,,
75,,80.0,Marques Johnson,WR,6-1,190.0,Fr.,"Henderson, NV / Liberty",,,,
76,,81.0,Derek Kline,TE,6-5,240.0,R-Sr.,"Reno, NV / Desert Vista",,,,
77,,82.0,Jack Moll,WR,6-2,195.0,Fr.,"Longmont, CO / Longmont",,,,
78,,83.0,Conor Lawlor,WR,6-1,175.0,Fr.,"San Diego, CA / Scripps Ranch",,,,
79,,84.0,Cole Monach,WR,6-1,185.0,Fr.,"San Juan Capistrano, CA / San Juan Hills",,,,
80,,85.0,Jack Giguiere,TE,6-3,220.0,So.,"Napa, CA / Napa",,,,
81,,86.0,Adam Criter,WR,6-3,195.0,Fr.,"Downers Grove, IL / St. Francis",,,,
82,,87.0,Vance Jefferson,WR,6-0,185.0,So.,"Poway, CA / Poway",,,,
83,,88.0,Brad McClure,TE,6-7,235.0,So.,"Indio, CA / Xavier College Prep",,,,
84,,89.0,Ja'seem Reed,WR,6-2,230.0,So.,"Thousand Oaks, CA / Westlake",,,,
85,,90.0,Landon Colvin,DE,6-2,220.0,R-So.,"Boulder, CO / Fairview",,,,
86,,91.0,Brian Coburn,DL,6-4,230.0,So.,"Salem, OR / McKay",,,,
87,,92.0,Jonathan Greaves,DT,6-3,265.0,R-So.,"Mission Hills, CA / Bishop Alemany",,,,
88,,93.0,Jacob Saewitz,DL,6-2,230.0,R-So.,"Carlsbad, CA / La Costa Canyon",,,,
89,,95.0,Will Buck,DT,6-0,285.0,R-Jr.,"Sacramento, CA / Capital Christian",,,,
90,,96.0,Hreinson Vanover,DT,6-2,260.0,Fr.,"Draper, UT / Corner Canyon",,,,
91,,97.0,Muhindo Kapapa,DL,6-2,275.0,Gr.,"Fairfield, CA / Armijo",,,,
92,,98.0,Jack Hemmert,DT,5-11,200.0,Fr.,"Carmichael, CA / Jesuit",,,,
93,,99.0,Hunter Lysholm,DL,6-4,260.0,Fr.,"Castaic, CA / Sierra Canyon",,,,
0,,,,,,,,,,,Dale Lindsey,Head Coach
1,,,,,,,,,,,Bobby Jay,Defensive Coordinator / Cornerbacks
2,,,,,,,,,,,Cory White,Offensive Coordinator/Running Backs Coach
3,,,,,,,,,,,Ben Barton,Special Teams Coordinator / Defensive Backs
4,,,,,,,,,,,Matt Christian,Quarterbacks Coach
5,,,,,,,,,,,Anthony Lawrence,Wide Receivers Coach
6,,,,,,,,,,,Matt Aponte,Tight Ends Coach
7,,,,,,,,,,,Austen Jacobs,Offensive Line Coach
8,,,,,,,,,,,Garrett Robinson,Defensive Line Coach
9,,,,,,,,,,,Steve Irvin,Linebackers Coach
10,,,,,,,,,,,Aaron Laut,Defensive Tackles Coach
11,,,,,,,,,,,Cody Tescher,Director of Football Operations
12,,,,,,,,,,,Mike Rish,Admin. Assistant
0,,,,,,,,,,,Eli Bisnett-Cobb,Director of Sports Medicine / Head Athletic Trainer
1,,,,,,,,,,,Mark Lamoreaux,Director of Athletic Performance
