,Statistic,No.,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Image,Name,Title
23,,12.0,Blaine McAllister,QB,So.,6-3,200.0,"Milton, Ga. / The Lovett School",,,
24,,13.0,Anthony Bland,WR,Jr.,6-2,200.0,"Stillwater, Okla. / Stillwater",,,
25,,14.0,Austin Carbone,RB,Sr.,5-8,155.0,"Richardson, Texas / Lloyd V. Berkner",,,
26,,15.0,Blaine Hipa,QB,Fr.,6-1,180.0,"Kailua, Hawaii / Chandler",,,
27,,16.0,Kai Colón,QB,Fr.,6-3,205.0,"Middletown, N.Y. / Minisink Valley",,,
28,,17.0,Mason Armstead,DB,So.,6-1,180.0,"Omaha, Neb. / Creighton Prep",,,
29,,17.0,Christopher Paige,WR,So.,6-1,180.0,"Honolulu, Hawaii / Punahou School",,,
30,,18.0,Noah Billings,DB,Fr.,5-10,185.0,"McKinney, Texas / Parish Episcopal",,,
31,,18.0,Blake Stenstrom,QB,Jr.,6-4,225.0,"Highlands Ranch, Colo. / Valor Christian",,,
32,,19.0,Ken Lim,DB,Sr.,5-11,190.0,"Thorofare, N.J. / West Deptford",,,
33,,20.0,Payton Tally,DB,So.,6-1,185.0,"Cypress, Texas / Cy-fair High",,,
34,,21.0,Ryan Butler,RB,Fr.,5-11,225.0,"Plainfield, N.J. / Bergen Catholic",,,
35,,21.0,Larkin Ison,LB,Sr.,6-1,210.0,"Augusta, Ga. / Westminster School",,,
36,,22.0,Jalen Newman,DB,So.,6-0,180.0,"Matthews, N.C. / Weddington",,,
37,,23.0,Glenie Cross III,DB,Fr.,5-10,180.0,"Detroit, Mich. / Oak Park",,,
38,,24.0,Nasir Cook,DB,So.,5-9,170.0,"Gallatin, Tenn. / Montgomery Bell Academy",,,
39,,25.0,Matthew Mahoney,WR,So.,6-1,190.0,"West Des Moines, Iowa / Valley",,,
40,,25.0,Pierson Tobia,DB,So.,6-0,185.0,"Park Ridge, N.J. / Bergen Catholic",,,
41,,26.0,D’Shawn Jones,DB,Fr.,5-9,180.0,"Pacoima, Calif. / Sierra Canyon",,,
42,,27.0,Carson Bobo,TE,Sr.,6-5,250.0,"Birmingham, Ala. / Oak Mountain",,,
