,Statistic,No.,Image,Name,Yr.,Pos.,Hgt.,Wgt.,Current School Name,Hometown,Previous School,High School,Title
68,,75.0,,Ramier Lewis,Fr.,OL,6-7,340.0,Alabama A&M,"Clearwater, Fla.",,,
69,,76.0,,Carson Vinson,So.,OL,6-6,305.0,Alabama A&M,"Cary, N.C.",,Panther Creek HS,
70,,77.0,,Thomas Durisseau,R-Fr.,OL,5-11,235.0,Alabama A&M,"Westlake Village, Calif.",Moorepark College,Oaks Christian School,
71,,78.0,,Nevell Brown,So.,OL,6-4,280.0,Alabama A&M,"West Palm Beach, Fla.",,Palm Beach Lakes HS,
72,,79.0,,Bruce Crenshaw,Fr.,OL,6-0,270.0,Alabama A&M,"Mobile, Ala.",,Blount HS,
73,,80.0,,Amarion Sanders,So.,WR,6-0,185.0,Alabama A&M,"Sacramento, Calif.",,Sacramento Charter HS,
74,,82.0,,Nesha Robertson Jr.,Fr.,WR,5-10,175.0,Alabama A&M,"Peoria, Ill.",,Peoria HS,
75,,84.0,,Donovan Payne,R-Fr.,TE,6-4,200.0,Alabama A&M,"Denton, Texas",Northern Colorado,Horn HS,
76,,85.0,,Tavares Rickerson Jr.,Fr.,WR,6-3,207.0,Alabama A&M,"Miami, Fla.",,Dade Christian HS,
77,,88.0,,Bryson Clark,So.,TE,6-2,210.0,Alabama A&M,"Delray Beach, Fla.",,Atlantic HS,
78,,90.0,,Dennis McGowan,Fr.,DT,6-2,305.0,Alabama A&M,"Huntsville, Ala.",,,
79,,92.0,,Aleem Glass,Fr.,DE,6-3,250.0,Alabama A&M,"St. Louis, Mo.",,,
80,,93.0,,Dorian Wesley,R-So.,DT,6-5,280.0,Alabama A&M,"Flat Rock, Mich.",Toledo,,
81,,94.0,,Kristopher Wilkins,Sr.,DT,6-2,305.0,Alabama A&M,"Manvel, Texas",Texas State Univ.,,
82,,96.0,,Kameron Sands,Fr.,DT,6-0,275.0,Alabama A&M,"Little Elm, Texas",,Memorial HS,
83,,98.0,,Gregory Lunn,So.,DT,5-11,294.0,Alabama A&M,"Eglin, Fla.",,,
0,,,,Connell Maynor,,,,,Alabama A&M,,,,Head Football Coach
1,,,,Kienus Boulware,,,,,Alabama A&M,,,,Defensive Coordinator/Linebackers Coach
2,,,,Jason Mai,,,,,Alabama A&M,,,,Quarterbacks Coach
3,,,,Fred Farrier,,,,,Alabama A&M,,,,Running Backs Coach/Recruiting Coordinator
4,,,,Marvin Bohannon,,,,,Alabama A&M,,,,Safeties Coach
5,,,,Bryant Foster,,,,,Alabama A&M,,,,
6,,,,Adam Goggans,,,,,Alabama A&M,,,,Defensive Ends Coach
7,,,,Markus Lawrence,,,,,Alabama A&M,,,,Offensive Line Coach
8,,,,Cedric Pearl,,,,,Alabama A&M,,,,Defensive Tackles Coach
9,,,,Bobby Turner,,,,,Alabama A&M,,,,Tight Ends and Fullbacks Coach/Pro Football Liaison
10,,,,Richard Wilson,,,,,Alabama A&M,,,,Kickers Coach
11,,,,Elgie Hurd,,,,,Alabama A&M,,,,Defensive Graduate Assistant
0,,,,Dedrick Bartie,,,,,Alabama A&M,,,,Head Strength and Conditioning Coach
