,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,High School,Current School Name,Hometown,Image,Title
52,,55.0,Zachary Lytle,DL,6-4,245.0,So.,St. Paul's,Dartmouth,"Winnipeg, Manitoba",,
53,,56.0,Josh Greene,LS,5-11,230.0,Sr.,The Benjamin School,Dartmouth,"Palm Beach Gardens, Fla.",,
54,,57.0,Joe Onuwabhagbe,DL,6-2,230.0,Fr.,Hebron,Dartmouth,"Carrollton, Texas",,
55,,58.0,John Ballowe,LB,6-1,225.0,So.,Collegiate School,Dartmouth,"Richmond, Va.",,
56,,59.0,Nick Marinaro,OL,6-1,275.0,So.,Benilde-St. Margaret's,Dartmouth,"Wayzata, Minn.",,
57,,60.0,Nicholas Schwitzgebel,OL,6-1,290.0,Jr.,St. Ignatius,Dartmouth,"Cleveland, Ohio",,
58,,61.0,Cayman Duncan,OL,6-6,280.0,So.,Kinkaid School,Dartmouth,"Spring, Texas",,
59,,62.0,James Coslet,OL,6-2,275.0,So.,Watchung Hills,Dartmouth,"Millington, N.J",,
60,,63.0,Kyle Brown,OL,6-4,285.0,Jr.,Marcellus,Dartmouth,"Marcellus, N.Y.",,
61,,64.0,Tristan Holmbeck,OL,6-3,275.0,So.,Springside Chestnut Hill,Dartmouth,"Philadelphia, Pa.",,
62,,65.0,Luke Dehmel,LB,6-2,220.0,Fr.,Darien,Dartmouth,"Darien, Conn.",,
63,,66.0,Maxwell Wentz,OL,6-4,300.0,Fr.,Huntington,Dartmouth,"Huntington, W.Va.",,
64,,70.0,James Morrison,OL,6-6,240.0,So.,St. Joe's,Dartmouth,"Mahwah, N.J.",,
65,,72.0,Vasean Washington,OL,6-5,280.0,Fr.,Springfield,Dartmouth,"Springfield, Ohio",,
66,,73.0,Thomas Hartnett,OL,6-3,290.0,Jr.,Central Catholic,Dartmouth,"Pittsburgh, Pa.",,
67,,74.0,Michael Betsy,OL,6-4,280.0,Fr.,Don Bosco Prep,Dartmouth,"Upper Saddle River, N.J.",,
68,,75.0,Delby Lemieux,OL,6-4,255.0,Fr.,Duxbury,Dartmouth,"Duxbury, Mass.",,
69,,77.0,Ethan Sipe,OL,6-5,260.0,Jr.,Ensworth School,Dartmouth,"Nashville, Tenn.",,
70,,79.0,Konstantin Spörk,OL,6-5,285.0,So.,Abteigymnasium Brauweiler/Fork Union (Va.),Dartmouth,"Pulheim, Germany",,
71,,80.0,Remington Gall,WR,6-5,220.0,So.,Avon,Dartmouth,"Avon, Ind.",,
72,,81.0,Jarmone Sutherland,WR,5-11,185.0,Jr.,Isidore Newman School,Dartmouth,"New Orleans, La.",,
73,,82.0,Jackson Gerard,WR,6-2,200.0,So.,St. Francis,Dartmouth,"West Chicago, Ill.",,
74,,83.0,Daniel Haughton,WR,6-0,185.0,Fr.,Charlotte Latin,Dartmouth,"Matthews, N.C.",,
75,,84.0,Painter Richards-Baker,WR,6-2,175.0,So.,Christ School,Dartmouth,"Hillsborough, N.C.",,
76,,85.0,Jackson Namian,WR,6-1,195.0,So.,St. Albans School,Dartmouth,"Silver Spring, Md.",,
77,,86.0,Ivan Hoyt,WR,6-1,190.0,Fr.,Cornerstone Christian,Dartmouth,"Boerne, Texas",,
78,,87.0,Jack Dyett,TE,6-5,240.0,Jr.,Brentwood School,Dartmouth,"Los Angeles, Calif.",,
79,,90.0,Hank Knez,DL,6-4,265.0,Sr.,Glenbard West,Dartmouth,"Glen Ellyn, Ill.",,
80,,91.0,Ejike Adele,DL,6-1,265.0,So.,Westminster School,Dartmouth,"Atlanta, Ga.",,
81,,92.0,Dario Arazi,DE,6-6,265.0,Jr.,Brooklyn Tech,Dartmouth,"Brooklyn, N.Y.",,
82,,93.0,Jabari Johnson,DE,6-3,235.0,Fr.,University Laboratory School,Dartmouth,"Zachary, La.",,
83,,94.0,Charles Looes,DL,6-3,270.0,Sr.,Pascack Valley,Dartmouth,"Hillsdale, N.J.",,
84,,95.0,Dakota Quiñonez,DL,6-1,275.0,Fr.,James F. Byrnes,Dartmouth,"Moore, S.C.",,
85,,96.0,Isaiah Golonka,DL,6-2,240.0,So.,Canterbury School,Dartmouth,"Huntsville, Ala.",,
86,,97.0,Jaylin Rainey,DL,6-2,285.0,Sr.,White Station,Dartmouth,"Cordova, Tenn.",,
87,,98.0,Gannon McCorkle,DE,6-3,260.0,Jr.,Arundel/Phillips Exeter,Dartmouth,"Odenton, Md.",,
88,,99.0,Marquist Allen,DT,6-4,275.0,Jr.,Davis Senior,Dartmouth,"Woodland, Calif.",,
0,,,Buddy Teevens,,,,,,Dartmouth,,,Robert L. Blackman Head Football Coach
1,,,Sammy McCorkle,,,,,,Dartmouth,,,Associate Head Coach - Secondary/Special Teams
2,,,Don Dobes,,,,,,Dartmouth,,,Assistant Coach - Defensive Coordinator/Linebackers
3,,,Kevin Daft,,,,,,Dartmouth,,,Assistant Coach - Offensive Coordinator/Quarterbacks
4,,,Keith Clark,,,,,,Dartmouth,,,Assistant Coach - Offensive Line
5,,,Duane Brooks,,,,,,Dartmouth,,,Assistant Coach - Defensive LIne
6,,,Dave Shula,,,,,,Dartmouth,,,Assistant Coach - Wide Receivers
7,,,Danny O'Dea,,,,,,Dartmouth,,,Assistant Coach - Running Backs
8,,,Wendy Laurent,,,,,,Dartmouth,,,Assistant Coach - Tight Ends
9,,,Joe Castellitto,,,,,,Dartmouth,,,Assistant Coach - Nickels
10,,,Dino Cauteruccio Jr.,,,,,,Dartmouth,,,Senior Director of Football Operations
11,,,Curt Oberg,,,,,,Dartmouth,,,Special Assistant to the Head Coach
12,,,Keeon Shaw,,,,,,Dartmouth,,,Offensive Quality Control
13,,,David Coleman,,,,,,Dartmouth,,,Defensive Quality Control
0,,,Landan Yount,,,,,,Dartmouth,,,Director of Football Recruitment and External Relations
1,,,Spencer Brown,,,,,,Dartmouth,,,Holekamp Family Director of Strength & Conditioning
2,,,Ben Schuler,,,,,,Dartmouth,,,Head Athletic Trainer
3,,,Mike Bissaillon,,,,,,Dartmouth,,,Athletics Equipment Manager
4,,,Rick Bender,,,,,,Dartmouth,,,Athletics Communications Contact
5,,,Richard Whitmore,,,,,,Dartmouth,,,Sport Administrator
6,,,Patty Anderson,,,,,,Dartmouth,,,Faculty Advisor
7,,,Nathaniel Dominy,,,,,,Dartmouth,,,Faculty Advisor
8,,,Jim Feyrer,,,,,,Dartmouth,,,Faculty Advisor
