,Statistic,#,Full Name,Academic Year,Pos.,Hometown / High School,Ht.,Wt.,Current School Name,Custom Field 1,Custom Field 2,Custom Field 3,Image,Name,Title
78,,98.0,Cole Baker,So.,K/P,"Wrenthem, MA / Cheshire Academy/King Philip Regional H.S.",5-11,200.0,Maine,,,,,,
79,,99.0,Nicolas Kalume,R-Fr.,DL,"London, Ontario / St. Andre Bessete Catholic Secondary/Football North",6-3,225.0,Maine,,,,,,
80,,,Keegan Andrews,Fr.,QB,"Kennebunk, ME / Bridgton Academy",6-0,175.0,Maine,,,,,,
81,,,Chris Bacon,Fr.,DL,"Hicksville, N.Y. / Holy Trinity",6-3,231.0,Maine,,,,,,
82,,,Ta'kai Chisolm,Fr.,DL,"Edison, N.J. / St. Joseph Regional",6-3,213.0,Maine,,,,,,
83,,,Na'Cire Christmas,Fr.,DB,"Woodbury, N.J. / St. Augustine Prep",6-0,180.0,Maine,,,,,,
84,,,Jaykob Dow,Fr.,OL,"Hermon, ME / Hermon",6-5,255.0,Maine,,,,,,
85,,,Caden Drezek,Fr.,QB,"Seymour, Conn. / Seymour",6-3,215.0,Maine,,,,,,
86,,,Pius Ejindu,Fr.,OL,"Lynn, MA / Saint John's Prep School",6-3,320.0,Maine,,,,,,
87,,,Jaxon Gross,Fr.,DL,"Bucksport, ME / Brewer",6-1,225.0,Maine,,,,,,
88,,,Anthony Iliano,Fr.,OL,"Cleveland, OH / Benedictine",6-4,280.0,Maine,,,,,,
89,,,Kevin Jackson,Fr.,WR,"Springfield, MA / Springfield Central",5-11,180.0,Maine,,,,,,
90,,,Tristen Kenan,Fr.,RB,"Baltimore, MD / Dunbar",5-11,190.0,Maine,,,,,,
91,,,Jake Kucera,Fr.,TE,"North Haledon, N.J. / DePaul Catholic",6-4,230.0,Maine,,,,,,
92,,,Nick Laughlin,Fr.,WR,"Cape Elizabeth, ME / Cape Elizabeth",5-10,180.0,Maine,,,,,,
93,,,Michael Lewinski,Fr.,K/P,"Wells, ME / Wells",6-0,215.0,Maine,,,,,,
94,,,Jack Lillie,Fr.,OL,"Boulder, CO / Fairview",6-4,275.0,Maine,,,,,,
95,,,Amari Mack,Fr.,DB,"Jeannette, PA / Greensburg Central Catholic",5-10,173.0,Maine,,,,,,
96,,,BJ Mayes,Fr.,LB,"Aurora, IL / Taft School",6-2,220.0,Maine,,,,,,
97,,,Jabari Odoemenem,Fr.,LB,"Woodbridge, VA / Woodbridge",6-1,230.0,Maine,,,,,,
98,,,Kye Pressley,Fr.,DL,"Hammonton, N.J. / Hammonton",6-2,220.0,Maine,,,,,,
99,,,Blake Thomas,Fr.,WR,"Seacaucus, N.J. / DePaul Catholic",6-3,190.0,Maine,,,,,,
100,,,Jared Tynes,Fr.,DL,"North Brunswick, N.J. / North Brunswick",6-1,215.0,Maine,,,,,,
101,,,Devin Vaught,Fr.,DB,"Charlotte, N.C. / Mallard Creek",6-0,185.0,Maine,,,,,,
