,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
71,,82.0,VJ Wilkins,R-Fr.,WR,5-10,160.0,"Pfafftown, N.C. / Reagan HS",Campbell,,,
72,,83.0,Luke Sutton,R-Jr.,WR,5-8,170.0,"Concord, N.C. / Cox Mill HS / Western Carolina",Campbell,,,
73,,84.0,Davyn Reid,R-Fr.,WR,5-10,170.0,"Mooresville, N.C. / Mooresville HS",Campbell,,,
74,,87.0,Tyler Rekdal,R-Fr.,TE,6-6,250.0,"Woodbridge, Va. / Hylton HS",Campbell,,,
75,,89.0,Chaney Fitzgerald,So.,WR,5-10,190.0,"Kernersville, N.C. / Glenn HS",Campbell,,,
76,,90.0,JT Whitmore,Sr.,DL,6-3,250.0,"Charlotte, N.C. / Mallard Creek HS",Campbell,,,
77,,94.0,DJ Jackson,Gr.,DL,6-0,330.0,"Atlanta, Ga. / Hapeville Charter HS / Eastern Michigan",Campbell,,,
78,,95.0,Paul Hutson III,So.,DL,6-1,295.0,"Norfolk, Va. / IMG Academy (Fla.)",Campbell,,,
79,,97.0,Jorell Baum,R-Sr.,DL,6-4,250.0,"Elizabeth City, N.C. / Northeastern HS / Old Dominion",Campbell,,,
80,,,Donta Armstrong,Fr.,,-,,/,Campbell,,,
81,,,Keevan Bailey,Fr.,,-,,/,Campbell,,,
82,,,Baraka Beckett,Fr.,,-,,/,Campbell,,,
83,,,Ryan Bullard,Fr.,,-,,/,Campbell,,,
84,,,Marquez Casey,Fr.,,-,,/,Campbell,,,
85,,,Bobby Clearly,Fr.,,-,,/,Campbell,,,
86,,,Tyler Feldkamp,Fr.,,-,,/,Campbell,,,
87,,,Isaiah Greene,Fr.,,-,,/,Campbell,,,
88,,,Elijah Hawk,Fr.,,-,,/,Campbell,,,
89,,,Javonte Kinsey,Fr.,,-,,/,Campbell,,,
90,,,Tre Moore,Fr.,,-,,/,Campbell,,,
91,,,Joseph Pace,Fr.,,-,,/,Campbell,,,
92,,,Jasiah Provillon,Fr.,,-,,/,Campbell,,,
93,,,Lakeem Rudolph,Fr.,,-,,/,Campbell,,,
94,,,Antoine Sampah,Fr.,,-,,/,Campbell,,,
95,,,Jonathan Streeter,Fr.,,-,,/,Campbell,,,
96,,,George Wilson,Fr.,,-,,/,Campbell,,,
0,,,,,,,,,Campbell,,Mike Minter,Head Coach
1,,,,,,,,,Campbell,,Steven Williams,Assistant Head Coach / Special Teams Coordinator
