,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown,Current School Name,High School,Major,Image,Title
44,,46.0,Jackson Marx,LS,Jr.,6-1,210.0,"Bettendorf, Iowa",South Dakota,Alleman Catholic HS,,,
45,,47.0,Joshua Crownover,LB,So.,6-4,245.0,"Tyndall, S.D.",South Dakota,Bon Homme HS,Criminal Justice,,
46,,48.0,Justin Stallworth,LB,So.,6-4,215.0,"Park Forest, Ill.",South Dakota,Marian Catholic HS,Pre-Business,,
47,,49.0,Brock Mogensen,LB,Sr.,6-2,230.0,"Farmington, Minn.",South Dakota,Farmington HS,Kinesiology & Sport Mgmt.,,
48,,50.0,Chris Dixon,DL,R-Fr.,6-2,315.0,"Toronto, Ontario",South Dakota,St. Thomas More HS (CT),,,
49,,51.0,Dominic Caggiano,DL,So.,6-3,245.0,"Runnells, Iowa",South Dakota,Southeast Polk HS,Medical Biology,,
50,,52.0,Mosai Newsom,DL,Jr.,6-5,295.0,"Waverly, Iowa",South Dakota,Waverly-Shell Rock HS,,,
51,,54.0,Nick Gaes,DL,Jr.,6-4,270.0,"Alta, Iowa",South Dakota,Alta-Aurelia HS,Kinesiology & Sport Mgmt.,,
52,,55.0,Earl Miller Jr.,DL,So.,6-4,285.0,"Riviera Beach, Fla.",South Dakota,American Heritage Delray HS,Pre-Business,,
53,,56.0,Bryce Henderson,OL,So.,6-8,300.0,"North Aurora, Ill.",South Dakota,Aurora Christian Schools,Political Science,,
54,,57.0,Josh Larsen,OL,R-Fr.,6-2,270.0,"Harrisburg, S.D.",South Dakota,Harrisburg HS,,,
55,,58.0,Trevor Shohoney,OL,Sr.,6-3,315.0,"Franklin, Wis.",South Dakota,Franklin HS,Elementary Education,,
56,,61.0,Blake Holden,DL,Jr.,6-3,290.0,"Watertown, S.D.",South Dakota,Watertown HS,Secondary Education,,
57,,62.0,Paxton Swanson,OL,So.,6-5,290.0,"Springfield, Neb.",South Dakota,Platteview HS,Pre-Business,,
58,,63.0,Jordan Larsen,OL,R-Fr.,6-3,280.0,"Harrisburg, S.D.",South Dakota,Harrisburg HS,,,
59,,64.0,Ben Kohls,OL,So.,6-3,305.0,"Sioux Falls, S.D.",South Dakota,Roosevelt HS,History,,
60,,65.0,Caden Ellingson,OL,So.,6-7,305.0,"Tea, S.D.",South Dakota,Tea Area HS,Pre-Business,,
61,,66.0,Isaac Erbes,OL,Sr.,6-5,330.0,"Urbandale, Iowa",South Dakota,Urbandale HS,Kinesiology & Sport Mgmt.,,
62,,67.0,Brady Koupal,OL,R-Fr.,6-5,250.0,"Brandon, S.D.",South Dakota,Brandon Valley HS,,,
63,,68.0,Sam Kohls,OL,So.,6-4,320.0,"Sioux Falls, S.D.",South Dakota,Roosevelt HS,Pre-Business,,
64,,71.0,Joe Cotton,OL,R-Fr.,6-5,300.0,"Sioux Falls, S.D.",South Dakota,Roosevelt HS,,,
65,,73.0,Cody Fayette,OL,So.,6-5,295.0,"Wichita, Kan.",South Dakota,Maize South HS,Pre-Business,,
66,,74.0,Noah Smith,OL,R-Fr.,6-2,320.0,"Lawrence, Kan.",South Dakota,Lawrence HS,,,
67,,76.0,Joey Lombard,OL,Jr.,6-5,325.0,"Anoka, Minn.",South Dakota,Anoka HS,Business Admin.,,
68,,77.0,Cliff Johnson,OL,Jr.,6-5,305.0,"Lake Andes, S.D.",South Dakota,Andes Central HS,Kinesiology & Sport Mgmt.,,
69,,78.0,Gerrit Poncius,OL,So.,6-7,285.0,"Buffalo, Minn.",South Dakota,Buffalo HS,Pre-Business,,
70,,82.0,JJ Galbreath,TE,Jr.,6-3,220.0,"Arvada, Colo.",South Dakota,Ralston Valley HS,Criminal Justice,,
71,,85.0,Tysen Boze,WR,R-Fr.,6-2,190.0,"Dublin, Ohio",South Dakota,Dublin Scioto HS,,,
72,,87.0,Jacob Remmert,TE,So.,6-5,225.0,"Cedar Falls, Iowa",South Dakota,Cedar Falls HS,Kinesiology & Sport Mgmt.,,
73,,88.0,Jacob Cheeseman,WR,So.,6-0,190.0,"Salem, S.D.",South Dakota,McCook Central HS,Medical Biology,,
74,,89.0,Zach Witte,TE,So.,6-6,250.0,"Sioux Falls, S.D.",South Dakota,Christian HS,Pre-Business,,
75,,90.0,Mi'Quise Grace,DL,R-Fr.,6-4,240.0,"Cincinnati, Ohio",South Dakota,Princeton HS,,,
76,,91.0,Brendan Webb,DL,Sr.,6-4,255.0,"Buhler, Kan.",South Dakota,Buhler HS,Psychology,,
77,,92.0,Micah Roane,DL,Sr.,6-4,250.0,"Chaska, Minn.",South Dakota,Chaska HS,Kinesiology & Sport Mgmt.,,
78,,93.0,Will Dunn,DL,Jr.,6-3,280.0,"Oklahoma City, Okla.",South Dakota,Heritage Hall HS,Pre-Business,,
79,,94.0,Okey Egbuziem,DL,Jr.,6-1,320.0,"Clovis, Calif.",South Dakota,Buchanan HS,,,
80,,96.0,Jack Hagy,DL,Jr.,6-4,240.0,"Wimberley, Texas",South Dakota,St. Michael's Catholic Acad.,Pre-Business,,
81,,99.0,Marcus Simmons Jr.,DL,So.,6-1,250.0,"Germantown, Md.",South Dakota,St. John's College,,,
0,,,Bob Nielson,,,,,,South Dakota,,,,Head Coach
1,,,Travis Johansen,,,,,,South Dakota,,,,Associate HC/Defensive Coord.
2,,,Josh Davis,,,,,,South Dakota,,,,Offensive Coordinator
3,,,Dante Warren,,,,,,South Dakota,,,,Running Backs
4,,,Miles Taylor,,,,,,South Dakota,,,,Def. Pass Game Coord./DBs
5,,,Elijah Hodge,,,,,,South Dakota,,,,Inside Linebackers
6,,,Adam Cox,,,,,,South Dakota,,,,Outside LBs
7,,,Jeff Nady,,,,,,South Dakota,,,,Offensive Line
8,,,Craig Bagnell,,,,,,South Dakota,,,,Wide Receivers
9,,,Rob Snyder,,,,,,South Dakota,,,,Defensive Line
10,,,Tim Morrison,,,,,,South Dakota,,,,Tight Ends
11,,,Hayden Meister,,,,,,South Dakota,,,,Director of Operations
12,,,Josh Rosenthal,,,,,,South Dakota,,,,Director of Player Personnel/NFL Liaison
13,,,Clete McLeod,,,,,,South Dakota,,,,Head Strength and Conditioning Coach
