,Statistic,Image,Name,Name.1,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown/Previous School,Title
57,,,Maika,Heck,TE,6-4,232.0,Jr.,Idaho State,"Stockton, Calif. / St. Mary's HS",
58,,,Preston,Helwege,TE,6-7,244.0,Jr.,Idaho State,"Seattle, Wash. / Odea HS",
59,,,Connor,Slack,K,5-11,177.0,So.,Idaho State,"Pocatello, Idaho / Century HS",
60,,,Mike,Davis,TE,6-4,266.0,Sr.,Idaho State,"Nampa, Idaho / Columbia HS",
61,,,Nick,Larriva,LB,6-4,240.0,Jr.,Idaho State,"Santa Ana, Calif. / Santa Ana HS",
62,,,Josiah,Sagale,DL,6-2,302.0,So.,Idaho State,"Oceanside, Calif. / El Camino CC",
63,,,David,Rowe,DL,6-5,270.0,Jr.,Idaho State,"Rexburg, Idaho / Madison HS",
64,,,De'Qua,Lang,DL,6-3,315.0,Jr.,Idaho State,"Pocatello, Idaho / Century HS",
65,,,Andre,Appiah,CB,5-9,182.0,Fr.,Idaho State,/,
66,,,Aaron,Blancas,WR,5-9,172.0,Fr.,Idaho State,/,
67,,,Jordan,Cooke,QB,6-4,192.0,Fr.,Idaho State,/,
68,,,Tanner,Hall,RB,5-10,200.0,Fr.,Idaho State,/,
69,,,Vicente,Hughes,OL,6-2,315.0,Fr.,Idaho State,/,
70,,,Alfred,Jordan Jr.,WR,5-8,169.0,Fr.,Idaho State,/,
71,,,KY,McClure,QB,6-2,250.0,Fr.,Idaho State,/,
72,,,Damien,Moun,WR,5-10,168.0,Fr.,Idaho State,/,
73,,,Messiyah,Moye,WR,5-9,275.0,Fr.,Idaho State,/,
74,,,Heath,Owens,WR,5-8,175.0,Fr.,Idaho State,/,
75,,,Alex,Ramirez,OL,6-1,310.0,Fr.,Idaho State,/,
76,,,Adonijah,Richards,CB,5-9,177.0,Fr.,Idaho State,/,
77,,,Adrian,Rodriguez,LB,6-0,230.0,Fr.,Idaho State,/,
78,,,Emmitt,Sallee,LB,6-0,230.0,Fr.,Idaho State,/,
79,,,Mathew,Sanchez,S,6-0,195.0,Fr.,Idaho State,/,
80,,,Herman,Smith,S,5-11,195.0,Fr.,Idaho State,/,
81,,,Aiden,Taylor,RB,5-10,214.0,Fr.,Idaho State,/,
82,,,Talin,Togiai,OL,6-4,316.0,So.,Idaho State,"Rigby, Idaho / BYU",
83,,,Mason,Young,S,5-10,198.0,Fr.,Idaho State,/,
0,,,Cody Hawkins,,,,,,Idaho State,,Head Coach
1,,,Josh Runda,,,,,,Idaho State,,Defensive Coordinator
2,,,Mark Weber,,,,,,Idaho State,,Offensive Line Coach
3,,,Jacob Thomas,,,,,,Idaho State,,Running Backs / Run Game Coordinator
4,,,Jesse Thompson,,,,,,Idaho State,,Director of Football Operations / Special Teams
5,,,Josh Mondt,,,,,,Idaho State,,Offensive Flex (QB / WR)
6,,,Nick Alaimalo,,,,,,Idaho State,,Inside Receivers
7,,,Scott Thiessen,,,,,,Idaho State,,Safeties Coach
8,,,Korey Rush,,,,,,Idaho State,,Defensive Line Coach
9,,,Devin Holiday,,,,,,Idaho State,,Corners
10,,,Kody Hensley,,,,,,Idaho State,,Chief of Staff
11,,,Paea Moala,,,,,,Idaho State,,Director of Video Technology
12,,,Dustin Enslinger,,,,,,Idaho State,,"Head Athletic Trainer (FB, MBB, Golf)"
13,,,Brandon Stephens,,,,,,Idaho State,,Director of Strength & Conditioning
