,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,0.0,Neno Lemay,WR,5-10,180.0,So.,"New Roads, La.",Nicholls State,West Feliciana,,,,
1,,1.0,Terry Matthews,WR,5-9,165.0,Jr.,"New Orleans, La.",Nicholls State,Dutchtown,Ellsworth Community College,,,
2,,3.0,John Carrington III,RB,5-9,185.0,Sr.,"San Antonio, Texas",Nicholls State,Cornerstone Christian,,,,
3,,4.0,Marquese Albert,RB,5-7,185.0,R-Jr.,"New Orleans, La.",Nicholls State,John Curtis,Idaho,,,
4,,5.0,David Robinson Jr.,WR,6-3,200.0,Sr.,"Raceland, La.",Nicholls State,Central Lafourche,,,,
5,,6.0,Jordan Jackson,DB,5-10,170.0,Sr.,"Prairieville, La.",Nicholls State,Dutchtown,,,,
6,,7.0,Brandon Lairy,LB,6-0,195.0,Sr.,"West Point, Miss.",Nicholls State,West Point,East Mississippi CC,,,
7,,9.0,Lee Negrotto,TE,6-3,225.0,Jr.,"Pass Christian, Miss.",Nicholls State,St. Stanislaus,,,,
8,,10.0,Leonard Kelly,QB,6-1,195.0,Jr.,"New Orleans, La.",Nicholls State,Edna Karr,,,,
9,,10.0,Hayden Shaheen,LB,6-0,215.0,R-So.,"Baton Rouge, La.",Nicholls State,Catholic,,,,
10,,11.0,Quinton Sharkey,LB,6-0,210.0,Sr.,"Houston, Texas",Nicholls State,L. V. Hightower,Kilgore College,,,
11,,12.0,Jakob Foss,QB,6-2,205.0,R-So.,"Huntsville, Ala.",Nicholls State,Grissom,Southern Illinois,,,
12,,13.0,Mike Gray Jr.,WR,5-9,160.0,R-So.,"New Orleans, La.",Nicholls State,Hahnville,,,,
13,,14.0,Pat McQuaide,QB,6-0,190.0,So.,"Solon, Ohio",Nicholls State,Solon,Mississippi Gulf Coast CC,,,
14,,15.0,Kendarius Smith,DB,5-10,185.0,Jr.,"Meridian, Miss.",Nicholls State,Fort Walton Beach,East Mississippi,,,
15,,16.0,Christian Arceneaux,QB,6-5,215.0,R-Fr.,"Bourg, La.",Nicholls State,South Terrebonne,,,,
16,,17.0,Tank McMath,WR,6-2,200.0,So.,"New Orleans, La.",Nicholls State,Edna Karr,,,,
17,,17.0,Ma’Lyk Smith,DB,6-0,170.0,R-Fr.,"New Orleans, La.",Nicholls State,John Curtis,,,,
18,,18.0,Markeyvrick Eddie,DB,6-1,190.0,Jr.,"New Iberia, La.",Nicholls State,Westgate,Jackson State,,,
19,,19.0,Collin Guggenheim,RB,5-11,205.0,Jr.,"Kenner, La.",Nicholls State,John Curtis,,,,
20,,20.0,Jake Dalmado,RB,5-11,200.0,R-So.,"Mandeville, La.",Nicholls State,Hannan,,,,
21,,20.0,Kershawn Fisher,LB,6-2,230.0,Jr.,"Slidell, La.",Nicholls State,Northshore,Louisiana Tech,,,
22,,21.0,Malik Woodery,DB,5-11,180.0,Jr.,"New Orleans, La.",Nicholls State,Archbishop Rummel,,,,
23,,22.0,Tyreke Boyd,DB,5-10,180.0,Jr.,"Lafayette, La.",Nicholls State,Comeaux,,,,
24,,23.0,Jason Barnes Jr.,WR,5-8,150.0,R-Fr.,"Baker, La.",Nicholls State,University,,,,
25,,24.0,Chancellor Hitchens,DB,6-2,185.0,Jr.,"Baton Rouge, La.",Nicholls State,McKinley,ULM,,,
26,,25.0,Elijah Reames,LB,6-2,215.0,Sr.,"Baton Rouge, La.",Nicholls State,Catholic,,,,
27,,26.0,Dalen Gondron,RB,5-8,195.0,R-So.,"Lafayette, La.",Nicholls State,Lafayette Christian Academy,,,,
28,,26.0,Keontae Williams,DB,6-0,195.0,Jr.,"Lafayette, La.",Nicholls State,Acadiana,,,,
29,,27.0,Maurquel Price,DB,6-3,180.0,Jr.,"Thibodaux, La.",Nicholls State,Thibodaux,,,,
30,,28.0,Willie Butler Jr.,DB,5-11,185.0,So.,"Mobile, Ala.",Nicholls State,Saraland,,,,
31,,29.0,Devonte' Mathews,DB,6-0,195.0,Jr.,"Phenix City, Ala.",Nicholls State,Central,West Georgia,,,
32,,30.0,Corey Warren Jr.,RB,5-10,225.0,R-So.,"Pearl River, La.",Nicholls State,Pearl River,,,,
33,,30.0,Elijah Winters,DB,5-11,190.0,So.,"Ponchatoula, La.",Nicholls State,Ponchatoula,,,,
34,,31.0,Tyler Morton,DB,5-10,165.0,Jr.,"St. Rose, La.",Nicholls State,Destrehan,,,,
35,,32.0,Shawn Hall,DB,5-10,175.0,Sr.,"Lutcher, La.",Nicholls State,Assumption,,,,
36,,33.0,Kyler Paul,WR,5-10,190.0,R-Fr.,"Patterson, La.",Nicholls State,Patterson,,,,
37,,33.0,Logan Scott,DB,5-8,160.0,Jr.,"Prairieville, La.",Nicholls State,Dutchtown,,,,
38,,34.0,Paxton Martin,DB,6-0,180.0,R-So.,"Lafayette, La.",Nicholls State,Tuerlings Catholic,Highland CC,,,
39,,35.0,Ethan Lee,DB,5-11,185.0,So.,"Thibodaux, La.",Nicholls State,E.D. White,,,,
40,,35.0,Jaylon Spears,RB,5-10,200.0,R-So.,"New Orleans, La.",Nicholls State,Brother Martin,,,,
41,,36.0,Hayden Seneca,LB,6-0,205.0,R-So.,"Berwick, La.",Nicholls State,Berwick,,,,
42,,37.0,Hugh Gregory Hamer,DB,5-10,175.0,R-So.,"Morgan City, La.",Nicholls State,Central Catholic,,,,
43,,38.0,Kylan Dupre,K/P,5-10,200.0,So.,"Geismar, La.",Nicholls State,Catholic,,,,
44,,39.0,Connor Orgeron,LB,6-0,200.0,R-Fr.,"New Orleans, La.",Nicholls State,John Curtis,,,,
45,,40.0,Cohen Barrilleaux,OL,6-2,260.0,R-Fr.,"Ponchatoula, La.",Nicholls State,Ponchatoula,,,,
46,,40.0,William Bryant,K/P,5-9,170.0,R-Fr.,"Destrehan, La.",Nicholls State,Destrehan,,,,
47,,43.0,Nathan Hebb,TE,6-2,225.0,Jr.,"Morgan City, La.",Nicholls State,Central Catholic,,,,
48,,44.0,Eli Ennis,LB,6-2,205.0,So.,"Ohatchee, Ala.",Nicholls State,Ohatchee,,,,
49,,45.0,Alex Villavaso,DL,6-0,220.0,So.,"Houma, La.",Nicholls State,Vandebilt Catholic,,,,
50,,46.0,Gavin Lasseigne,K,5-11,190.0,Sr.,"Raceland, La.",Nicholls State,Central Lafourche,,,,
51,,47.0,Braydon Johnson,LB,6-1,215.0,R-Fr.,"Ponchatoula, La.",Nicholls State,Ponchatoula,,,,
52,,48.0,Hayden Asprion,P,5-11,155.0,R-Fr.,"Ponchatoula, La.",Nicholls State,St. Thomas Aquinas,,,,
53,,48.0,Luke Ydarraga,DL,6-3,230.0,R-Fr.,"Watson, La.",Nicholls State,Live Oak,Arkansas State,,,
54,,49.0,Jacob Parker,TE,5-11,220.0,Sr.,"New Orleans, La.",Nicholls State,Warren Easton,,,,
55,,50.0,Jackson McFarland,LS,5-10,205.0,R-So.,"Winnfield, La.",Nicholls State,Winnfield,,,,
56,,51.0,Joe Mason,DL,6-3,235.0,Jr.,"Shreveport, La.",Nicholls State,Green Oaks,Louisiana Tech,,,
57,,52.0,Kaiden Jones,LB,6-0,215.0,So.,"St. Rose, La.",Nicholls State,St. Charles Catholic,,,,
58,,53.0,Jake Newchurch,LB,6-0,205.0,R-Fr.,"Thibodaux, La.",Nicholls State,E.D. White,Arkansas Monticello,,,
59,,54.0,Marcus Dickey,DL,6-3,245.0,R-Fr.,"Biloxi, Miss.",Nicholls State,Biloxi,,,,
60,,56.0,Rasheed Lovelace,DL,6-3,285.0,R-Fr.,"Pensacola, Fla.",Nicholls State,Pine Forest,,,,
61,,57.0,Hayden Cormier,LB,6-1,210.0,R-Fr.,"Lafayette, La.",Nicholls State,Ascension Episcopal,,,,
62,,57.0,Jeremiah James,OL,6-2,290.0,Sr.,"New Orleans, La.",Nicholls State,De La Salle,,,,
63,,58.0,Kylin White,LB,6-0,230.0,R-So.,"Boutte, La.",Nicholls State,John Curtis,,,,
64,,59.0,Lance Rockwood Jr.,LB,6-1,240.0,Jr.,"Houma, La.",Nicholls State,Ellender,ULM,,,
65,,60.0,Jordan Aaron,OL,6-2,290.0,Jr.,"Columbia, Miss.",Nicholls State,Columbia,Pearl River CC,,,
66,,61.0,Moses Clark,DL,5-9,300.0,R-Fr.,"LaPlace, La.",Nicholls State,St. Charles Catholic,,,,
67,,61.0,Reed Lambert,OL,6-4,235.0,Jr.,"New Roads, La.",Nicholls State,Catholic of Pointe Coupee,,,,
68,,62.0,Seth Trahan,OL,6-2,280.0,R-So.,"Houma, La.",Nicholls State,Vandebilt Catholic,,,,
69,,65.0,Christian Mannino,DL,6-2,285.0,R-So.,"Baton Rouge, La.",Nicholls State,Catholic,,,,
70,,66.0,Sameij Scott,OL,6-2,275.0,R-Fr.,"Convent, La.",Nicholls State,Lutcher,,,,
71,,67.0,Owen Melville,OL,6-2,285.0,Jr.,"New Orleans, La.",Nicholls State,Jesuit,,,,
72,,68.0,Robbie Pizzolato,OL,6-4,320.0,R-So.,"Metairie, La.",Nicholls State,John Curtis,Tyler JC,,,
73,,69.0,Ty Quibodeaux,OL,6-0,275.0,R-Fr.,"Prairieville, La.",Nicholls State,Dutchtown,Arkansas Monticello,,,
74,,71.0,Evan Roussel,OL,6-2,290.0,Jr.,"Lutcher, La.",Nicholls State,St. Charles Catholic,,,,
75,,72.0,Cohen Troxclair,OL,6-2,246.0,R-Fr.,"Ponchatoula, La.",Nicholls State,Ponchatoula,,,,
76,,73.0,Colby Orgeron,OL,6-5,280.0,Jr.,"New Orleans, La.",Nicholls State,John Curtis,Highland CC,,,
77,,74.0,DeAndre' Keller,OL,6-3,270.0,Jr.,"Vacherie, La.",Nicholls State,St. James,,,,
78,,75.0,Mark Barthelemy,OL,6-4,310.0,Sr.,"Opelousas, La.",Nicholls State,Opelousas,Tyler JC,,,
79,,76.0,Ryan Bernard,OL,6-2,275.0,R-Fr.,"Mandeville, La.",Nicholls State,Lakeshore,,,,
80,,78.0,Jaden Ben,OL,6-4,285.0,Jr.,"Violet, La.",Nicholls State,Chalmette,,,,
81,,79.0,Cru Blanchard,OL,6-1,345.0,R-So.,"Napoleonville, La.",Nicholls State,Assumption,,,,
82,,80.0,Scrappy Osby,WR,5-11,180.0,R-Fr.,"Ponchatoula, La.",Nicholls State,Ponchatoula,,,,
83,,81.0,Treylin Whaley,WR,6-5,195.0,R-Fr.,"Glynn, La.",Nicholls State,Livonia,,,,
84,,82.0,Brandon Hubicz,TE,6-3,210.0,Jr.,"Baton Rouge, La.",Nicholls State,Catholic,LSU,,,
85,,83.0,Dany’e Brooks,WR,5-11,180.0,R-So.,"New Orleans, La.",Nicholls State,Edna Karr,,,,
86,,84.0,Navell Chopin,WR,6-3,195.0,Jr.,"Gonzales, La.",Nicholls State,East Ascension,HBU,,,
87,,86.0,Tyren Montgomery,WR,6-1,185.0,Jr.,"Spring, Texas",Nicholls State,The Woodlands College Park,Lonestar College,,,
88,,88.0,Connor Venitis,TE,6-5,,Jr.,"Lafayette, La.",Nicholls State,Southside,Lamar,,,
89,,89.0,Logan Wilcox,TE,6-3,245.0,Jr.,"Raceland, La.",Nicholls State,Central Lafourche,,,,
90,,91.0,Zack Bernard,DL,6-1,265.0,Jr.,"Mandeville, La.",Nicholls State,Lakeshore,,,,
91,,94.0,Nick Williams,DL,6-2,290.0,R-Fr.,"Baton Rouge, La.",Nicholls State,University,,,,
92,,95.0,Dillion Davis,DL,6-2,270.0,Jr.,"Donaldsonville, La.",Nicholls State,Ascension Catholic,,,,
93,,97.0,Dane Whalen,DL,5-10,280.0,Jr.,"Osage City, Kan.",Nicholls State,Osage City,Highland CC,,,
94,,98.0,Perry Ganci,DL,6-2,260.0,Sr.,"New Orleans, La.",Nicholls State,Jesuit,,,,
95,,99.0,JaQuan Fank,DL,6-2,220.0,R-Fr.,"Pensacola, Fla.",Nicholls State,Pine Forest,,,,
0,,,,,,,,,Nicholls State,,,,Tim Rebowe,Head Coach
1,,,,,,,,,Nicholls State,,,,Rob Christophel,Offensive Coordinator
2,,,,,,,,,Nicholls State,,,,Tommy Rybacki,Defensive Coordinator
3,,,,,,,,,Nicholls State,,,,Toren Joseph,Safeties
4,,,,,,,,,Nicholls State,,,,Tylan Martin,Running Backs
5,,,,,,,,,Nicholls State,,,,Darion Monroe,Cornerbacks
6,,,,,,,,,Nicholls State,,,,Sean Murphy,Wide Receivers
7,,,,,,,,,Nicholls State,,,,Brian Wallace,Special Teams Coordinator and Defensive Line
8,,,,,,,,,Nicholls State,,,,Stone Paul,Special Teams/Defensive Analyst
9,,,,,,,,,Nicholls State,,,,Andrew Neupert,Tight Ends
