,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown/Previous School,Image,Title
50,,44.0,Carter Sullivan,DL,6-3,231.0,So.,1V,Sacramento State,"Antelope, Calif. / Antelope HS",,
51,,45.0,Xavier Williams,DL,6-4,294.0,So.,1V,Sacramento State,"Gustine, Calif. / Atwater HS",,
52,,46.0,Darian Pollard,NB,6-1,209.0,So.,1V,Sacramento State,"Stockton, Calif. / Lincoln HS",,
53,,48.0,Dylan Jorge,LB,6-0,220.0,Jr.,2V,Sacramento State,"Folsom, Calif. / Folsom HS",,
54,,50.0,Oge Feo,LB,6-1,227.0,So.,1V,Sacramento State,"Waianae, Hawaii / Bethel HS",,
55,,51.0,David Dean,OL,6-3,300.0,Jr.,JC,Sacramento State,"Lake Washington, Wash. / Fresno City JC",,
56,,52.0,Ivan Garza,OL,6-5,290.0,Jr.,2V,Sacramento State,"Delano, Calif. / Robert F. Kennedy HS",,
57,,53.0,Jordan Stanley,OL,6-4,265.0,Sr.,1V,Sacramento State,"Brentwood, Calif. / Heritage HS",,
58,,54.0,Riley Hernandez,DL,6-2,228.0,Rs.,RS,Sacramento State,"Bakersfield, Calif. / Liberty HS",,
59,,55.0,Jett Stanley,DL,6-4,284.0,Sr.,3V,Sacramento State,"Brentwood, Calif. / Heritage HS",,
60,,56.0,Brandon Knott,DL,6-3,270.0,Jr.,2V,Sacramento State,"Sacramento, Calif. / Inderkum HS",,
61,,57.0,Zach Corbitt,LB,6-2,220.0,So.,1V,Sacramento State,"Folsom, Calif. / Vista Del Lago HS",,
62,,58.0,Mitchell Wolfe,LB,6-3,228.0,So.,1V,Sacramento State,"Sumner, Wash. / Sumner HS",,
63,,59.0,Nathan Mejia,OL,6-3,295.0,So.,1V,Sacramento State,"Arcadia, Calif. / Cathedral HS",,
64,,60.0,AJ Campos,LS,6-2,224.0,So.,1V,Sacramento State,"Upland, Calif. / Upland HS",,
65,,61.0,Matt Bautista,OL,6-1,260.0,Jr.,JC,Sacramento State,"Williams, Calif. / Feather River JC",,
66,,62.0,Kenndel Riley,OL,6-3,320.0,So.,1V,Sacramento State,"Lincoln, Calif. / Capital Christian HS",,
67,,63.0,Maximillian Haro,OL,6-3,300.0,Fr.,RS,Sacramento State,"San Pablo, Calif. / Salesian HS",,
68,,64.0,Brandon Sousa,OL,6-4,291.0,Fr.,RS,Sacramento State,"Pleasanton, Calif. / Foothill HS",,
69,,65.0,Cade Gretlein,OL,6-4,290.0,Fr.,HS,Sacramento State,"Bakersfield, Calif. / Liberty HS",,
70,,67.0,Christopher Kent,LS,6-1,240.0,Jr.,1V,Sacramento State,"Simi Valley, Calif. / Southern Utah",,
71,,68.0,Kinnick Manley,LS,6-3,205.0,So.,JC,Sacramento State,"Firestone, Colo. / Dodge City JC",,
72,,70.0,Justin Davis,OL,6-6,375.0,Fr.,RS,Sacramento State,"Camarillo, Calif. / Oaks Christian HS",,
73,,71.0,Troy Stiefel,OL,6-5,290.0,Sr.,3V,Sacramento State,"Yorba Linda, Calif. / Yorba Linda HS",,
74,,72.0,Sawyer Hays,OL,6-6,281.0,So.,1V,Sacramento State,"Sacramento, Calif. / Christian Brothers HS",,
75,,73.0,Tyler Henry,DL,6-3,302.0,Fr.,RS,Sacramento State,"Vallejo, Calif. / De La Salle HS",,
76,,74.0,Aidan Meek,OL,6-5,282.0,So.,1V,Sacramento State,"Bakersfield, Calif. / Garces Memorial HS",,
77,,76.0,Jackson Slater,OL,6-4,303.0,Jr.,2V,Sacramento State,"Bellevue, Wash. / Newport HS",,
78,,77.0,Tyler Perez,OL,6-5,299.0,So.,1V,Sacramento State,"Chino Hills, Calif. / Chino Hills HS",,
79,,79.0,Kaden Richardson,OL,6-3,279.0,Jr.,2V,Sacramento State,"Folsom, Calif. / UC Davis",,
80,,80.0,Ashar Granger,WR,6-1,197.0,Fr.,RS,Sacramento State,"Riverside, Calif. / JW North HS",,
81,,81.0,Tao McClinton,WR,6-4,198.0,Sr.,3V,Sacramento State,"Seattle, Wash. / Sammamish HS",,
82,,82.0,Coleman Kuntz,TE,6-3,220.0,So.,1V,Sacramento State,"Beaumont, Calif. / Etiwanda HS",,
83,,83.0,Bronson England,WR,5-10,170.0,So.,RS,Sacramento State,"Modesto, Calif. / Sacramento City JC",,
84,,85.0,Geordon Gaspard,WR,5-10,150.0,Fr.,RS,Sacramento State,"Inglewood, Calif. / Lawndale HS",,
85,,86.0,Ty Smith,WR,6-1,186.0,So.,1V,Sacramento State,"Apple Valley, Calif. / Apple Valley HS",,
86,,87.0,Will Schalde,TE,6-5,225.0,So.,1V,Sacramento State,"Lemoore, Calif. / Lemoore HS",,
87,,88.0,Charlie McBride,TE,6-3,240.0,Sr.,3V,Sacramento State,"Rocklin, Calif. / Rocklin HS",,
88,,89.0,Austin Jarrard,TE,6-3,242.0,Jr.,1V,Sacramento State,"El Dorado Hills, Calif. / Oklahoma State",,
89,,91.0,Cal McGough,P,6-2,180.0,So.,1V,Sacramento State,"Geelong, Australia / St. Joseph’s College",,
90,,92.0,Bryce Buck,K,5-10,175.0,Jr.,SQ,Sacramento State,"Folsom, Calif. / Folsom HS",,
91,,93.0,Tyler Hardeman,DL,6-3,280.0,Sr.,3V,Sacramento State,"Cameron Park, Calif. / Folsom HS",,
92,,94.0,Ben Ahio,DL,6-4,266.0,Sr.,1V,Sacramento State,"Fresno, Calif. / Fresno City JC",,
93,,95.0,Mason Brosseau,DL,6-3,277.0,So.,1V,Sacramento State,"Hanford, Calif. / Hanford HS",,
94,,96.0,John Carey III,DL,6-3,282.0,So.,1V,Sacramento State,"Stockton, Calif. / Chavez HS",,
95,,96.0,Connor Stutz,P,6-2,209.0,So.,1V,Sacramento State,"Seattle, Wash. / Bishop Blanchet HS",,
96,,97.0,Zach Schreiner,K,6-0,165.0,Jr.,JC,Sacramento State,"Rocklin, Calif. / American River JC",,
