,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
2,,,Chazmon Scales,,,,,,,,Assistant Coach / Defensive Coordinator / Safeties
3,,,Chris Norris,,,,,,,,Assistant Coach / Special Teams Coordinator
4,,,Brian Cochran,,,,,,,,Assistant Coach / Defensive LIne
5,,,Jeremy Darveau,,,,,,,,Assistant Coach / Offensive Line
6,,,Cody Edwards,,,,,,,,Assistant Coach / Linebackers
7,,,JJ Laster,,,,,,,,Assistant Coach / Wide Receivers
8,,,Larry Murphy,,,,,,,,Assistant Coach / Cornerbacks
9,,,Rudi Small,,,,,,,,Assistant Coach / Running Backs
10,,,Rylan Wells,,,,,,,,Assistant Coach / Tight Ends & Fullbacks / Recruiting Coordinator
11,,,Greg McGruder,,,,,,,,Football Quality Control Coach - Offense
12,,,DeAirus Whitney,,,,,,,,Football Quality Control Coach - Defense
13,,,Jeff Burger,,,,,,,,Football - Volunteer Assistant Coach
0,,,Todd Shealy,,,,,,,,Director of Football Operations
1,,,Trent Turknett,,,,,,,,Director of Player Personnel
2,,,Sydney Spears,,,,,,,,Director of On-Campus Recruiting
