,Statistic,#,NAME,POS,HT,WT,Academic Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
8,,,,,,,,,Houston Christian,,,,Aaron Winchester,Running Backs/Camp Coordinator
9,,,,,,,,,Houston Christian,,,,Jim Sutrick,Assistant Coach/Outside Linebackers
10,,,,,,,,,Houston Christian,,,,Herschel Sims,Assistant Coach
11,,,,,,,,,Houston Christian,,,,Donavan Newman,Offensive Quality Control
12,,,,,,,,,Houston Christian,,,,Carter Foster,Offensive Quality Control
13,,,,,,,,,Houston Christian,,,,Will Koustmer,Defensive Quality Control
14,,,,,,,,,Houston Christian,,,,TJ Lynn,Defensive Quality Control
15,,,,,,,,,Houston Christian,,,,David Crane,Director of Football Operations
16,,,,,,,,,Houston Christian,,,,Peter Chung,Director of Player Personnel
17,,,,,,,,,Houston Christian,,,,Donovan Thompson,Director of Player Development/Team Chaplain
