,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Year,Current School Name,Hometown,High School,Previous School,Image,Name,Title
46,,47.0,Miles Marshall,TE,6-5,241.0,R-Fr.,2nd,Southern Illinois,"Kansas City, Mo.",Pembroke Hill,,,,
47,,48.0,Colton Hoag,TE,6-3,230.0,Jr.,3rd,Southern Illinois,"Le Mars, Iowa",Le Mars,Iowa Central CC,,,
48,,50.0,Jaylen Banks,DL,6-4,306.0,R-Fr.,2nd,Southern Illinois,"St. Louis, Mo.",Lutheran North,,,,
49,,53.0,Noah Fenske,OL,6-4,295.0,Jr.,5th,Southern Illinois,"New Hampton, Iowa",New Hampton,Colorado,,,
50,,55.0,Cory McCalip,OLB,6-3,213.0,R-Fr.,2nd,Southern Illinois,"Jacksonville, Fla.",Bishop Kenny,,,,
51,,59.0,Peyton Mazur,OL,6-5,350.0,R-Fr.,2nd,Southern Illinois,"Christopher, Ill.",Christopher,,,,
52,,60.0,Samuel Neuman,OT,6-5,320.0,Sr.,5th,Southern Illinois,"Winnie, Tex.",East Chambers,Trinity Valley CC,,,
53,,61.0,Aiden Logan,OL,6-6,325.0,Jr.,3rd,Southern Illinois,"Carthage, Mo.",Carthage,Butler Community College,,,
54,,62.0,Chase Evans,G,6-3,290.0,Jr.,5th,Southern Illinois,"Mason, Oh.",William Mason,,,,
55,,63.0,Jacob Caughell,OL,6-0,268.0,Sr.,5th,Southern Illinois,"Apopka, FL",Apopka,Austin Peay,,,
56,,64.0,Ryan Chandley,DT,6-4,290.0,R-Fr.,2nd,Southern Illinois,"Canton, Ga.",Cherokee,,,,
57,,65.0,Devin Love,DT,6-3,305.0,Sr.,5th,Southern Illinois,"Woodbury, N.J.",Woodbury,Monroe College (N.Y.),,,
58,,66.0,Jackson Sailliez,G,6-4,303.0,Jr.,5th,Southern Illinois,"West Frankfort, Ill.",Frankfort Community,,,,
59,,68.0,Derek Harden Jr.,G,6-2,331.0,So.,4th,Southern Illinois,"Lawrenceville, Ga.",Archer,,,,
60,,70.0,Abdou Toure,OT,6-5,284.0,Jr.,5th,Southern Illinois,"Marietta, Ga.",Sprayberry,,,,
61,,71.0,Sam Buck,OL,6-3,275.0,So.,3rd,Southern Illinois,"Highland, Ill.",Highland,,,,
62,,72.0,Ethan Tyla,C,6-3,289.0,So.,3rd,Southern Illinois,"Fairfield, Oh.",Fairfield Senior,,,,
63,,73.0,Coleon Smith,OT,6-6,313.0,So.,3rd,Southern Illinois,"Romulus, Mich.",Belleville,Eastern Michigan,,,
64,,74.0,Harris Hagan,OL,6-7,244.0,R-Fr.,2nd,Southern Illinois,"Germantown, Tenn.",Evangelical Christian,,,,
65,,75.0,Jon Nalley,OT,6-6,295.0,So.,3rd,Southern Illinois,"Utica, Ky.",Daviess County,,,,
66,,76.0,Jimmy Lansing,OL,6-7,303.0,R-Fr.,2nd,Southern Illinois,"St. Louis, Mo.",Chaminade Prep,,,,
67,,77.0,Marcelo Mendiola,OL,6-3,330.0,Jr.,5th,Southern Illinois,"Chicago, Ill.",Mount Carmel,Cincinnati,,,
68,,79.0,Jake Green,OT,6-4,317.0,Jr.,5th,Southern Illinois,"Alpharetta, Ga.",Chattahoochee,,,,
69,,80.0,Brian Brown,WR,6-1,173.0,R-Fr.,2nd,Southern Illinois,"St. Louis, Mo.",Lutheran North,,,,
70,,82.0,Dayton Mitchell,WR,5-11,185.0,So.,3rd,Southern Illinois,"Platte City, Mo.",Platte County,,,,
71,,83.0,Ryan Schwendeman,TE,6-4,243.0,R-Fr.,2nd,Southern Illinois,"O'Fallon, Mo.",St. Dominic,,,,
