,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Image,Title
48,,62.0,Chazan Page,OL,6-1,293.0,Jr.,"Nashville, Tenn. / Lipscomb Academy",Tennessee State,,,,,
49,,64.0,Darrell Branch,OL,6-2,300.0,R-Jr.,"Gilbert, Ariz. / Higley",Tennessee State,Arizona,@darrellbranch6,@dbranch.65,,
50,,67.0,Chandon Page,OL,6-3,307.0,Sr.,"Nashville, Tenn. / Pearl-Cohn",Tennessee State,,,,,
51,,71.0,Alex Valbuena,G,6-0,275.0,So.,"Antioch, Tenn. / Ezell-Harding Christian",Tennessee State,,,,,
52,,73.0,Jamari Freeman,OL,6-4,300.0,So.,"Fairburn, Ga. / Langston Hughes",Tennessee State,,,,,
53,,74.0,Mayson Harris,OL,6-0,336.0,R-Sr.,"Nashville, Tenn. / Pearl-Cohn",Tennessee State,,,,,
54,,76.0,Romello Tarver,OL,6-5,272.0,R-Sr.,"Delray Beach, Fla. / Oxbridge Academy",Tennessee State,Central Michigan/McNeese,,,,
55,,77.0,Jaalon Gupton,OL,6-5,290.0,R-Sr.,"Nashville, Tenn. / Stratford",Tennessee State,,,,,
56,,80.0,Avery Williams,WR,6-2,185.0,R-Jr.,"Nashville, Tenn. / Brentwood",Tennessee State,Chattanooga,,,,
57,,81.0,Jahee Blake,WR,6-5,215.0,So.,"Lynchburg, Va. / Fork Union Military Academy",Tennessee State,,,,,
58,,89.0,Brandon Palmer,WR,6-0,180.0,So.,"Johns Creek, Ga. / Johns Creek",Tennessee State,,,,,
59,,90.0,Connor Ridderhoff,LS,6-2,240.0,So.,"Chelsea, Ala. / Chelsea",Tennessee State,,,,,
60,,93.0,Terry Grove,DE,6-5,215.0,So.,"Greeneville, Tenn. / Greeneville",Tennessee State,,,,,
61,,96.0,Cameron Stewart,DL,6-3,380.0,Sr.,"Chattanooga, Tenn. / McCallie",Tennessee State,,,,,
62,,99.0,Abraham Alabi,DL,6-4,310.0,R-Jr.,"Reynoldsburg, Ohio / Pickerington Central",Tennessee State,Eastern Kentucky,,,,
63,,99.0,James Lowery,K/P,5-10,225.0,R-Jr.,"Ft. Lauderdale, Fla. / American Heritage",Tennessee State,Northern Illinois,,,,
64,,,Canen Adrian,WR,5-10,180.0,So.,"Kingwood, Texas / Kingwood Park",Tennessee State,Houston / Blinn JC,,,,
65,,,Emmanuel Baez,DL,6-3,238.0,Jr.,"Plant City, Fla. / Plant City",Tennessee State,,,,,
66,,,Monroe Beard III,LB,6-1,210.0,Sr.,"Chattanooga, Tenn. / Notre Dame HS",Tennessee State,Arkansas-Pine Bluff,,,,
67,,,Jalen Bell,DL,6-1,280.0,Sr.,"Detroit, MI. / Martin Luther King Jr. HS",Tennessee State,Mississippi Valley State,,,,
68,,,Demeatric Crenshaw,QB,6-1,220.0,Jr.,"Columbus, Ohio / Pickerington Central",Tennessee State,Youngstown State,,,,
69,,,Willie Eldridge,RB,5-11,190.0,So.,"Houston, Texas / Cypress Ranch",Tennessee State,UTEP/Blinn JC,,,,
70,,,Nicholas Green,OL,6-5,305.0,Jr.,"Cedar Park, Texas /",Tennessee State,Trinity Valley,,,,
71,,,Ryder Hagan,QB,6-1,200.0,Fr.,"Nashville, Tenn. / Overton",Tennessee State,,,,,
72,,,Tysean Jefferson,WR,5-5,150.0,So.,"Nashville, Tenn. / Beech",Tennessee State,Western Kentucky,,,,
73,,,Xavier Keegan,DL,5-10,270.0,Fr.,"Grand Prairie, Texas / Grace Preparatory Academy",Tennessee State,,,,,
74,,,TJ McRae,DL,6-3,280.0,So.,"Peoria, Ariz. / Centennial",Tennessee State,Utah Tech,,,,
75,,,Antwone Parker,RB,6-0,218.0,Jr.,"Fort Worth, Texas / Kennedale",Tennessee State,Cisco JC / Butler CC,,,,
76,,,Brent Rowe,LB,6-1,230.0,So.,"Milwaukee, Wis. / Hendersonville",Tennessee State,,,,,
77,,,Tyler Sanders,LB,6-3,195.0,Fr.,"Chattanooga, Tenn. / Chattanooga Central",Tennessee State,,,,,
78,,,CJ Steele,TE,6-2,215.0,So.,"Murfreesboro, Tenn. /",Tennessee State,Blackman,,,,
79,,,Romello Watson,OL,6-4,300.0,Jr.,"Arlington, Texas / Seguin",Tennessee State,Kilgore JC / Grambling,,,,
80,,,Brandon Wilson,DB,5-11,175.0,So.,"Montgomery, Ala. / Park Crossing",Tennessee State,,,,,
0,,,Eddie George,,,,,,Tennessee State,,,,,Head Coach
1,,,Brandon Fisher,,,,,,Tennessee State,,,,,Defensive Coordinator
2,,,Theron Aych,,,,,,Tennessee State,,,,,Offensive Coordinator
3,,,Joe Bowden,,,,,,Tennessee State,,,,,Assistant Head Coach / Linebackers Coach
4,,,Keith Burns,,,,,,Tennessee State,,,,,Special Teams Coordinator/Defensive Specialist
5,,,Richard McNutt,,,,,,Tennessee State,,,,,Defensive Backs Coach
6,,,Pepe Pearson,,,,,,Tennessee State,,,,,Running Backs Coach
7,,,Clyde Simmons,,,,,,Tennessee State,,,,,Defensive Line Coach
8,,,Scott Baumgartner,,,,,,Tennessee State,,,,,Wide Receivers Coach
9,,,Michael Brewster,,,,,,Tennessee State,,,,,Tight Ends Coach
10,,,Anthony Lewis,,,,,,Tennessee State,,,,,Offensive Line Coach
0,,,Dusty Bennett,,,,,,Tennessee State,,,,,Deputy Athletic Director & Chief of Staff for Football
1,,,Sash-sha Collier,,,,,,Tennessee State,,,,,Head Football Athletic Trainer
2,,,Nick Guerriero,,,,,,Tennessee State,,,,,Assistant AD for Communications & Creative Content
3,,,Scott Holsopple,,,,,,Tennessee State,,,,,Director of Sports Performance
4,,,Katrina Chambers,,,,,,Tennessee State,,,,,Director of Football External Relations
5,,,Julia Koogler,,,,,,Tennessee State,,,,,Academic Services Graduate Assistant
6,,,Harold Gooding,,,,,,Tennessee State,,,,,Director of Security
7,,,John Lang,,,,,,Tennessee State,,,,,Football Operations/Recruiting Graduate Assistant
8,,,Aaron Quinn,,,,,,Tennessee State,,,,,Creative Content Graduate Assistant
9,,,Riley Swanson,,,,,,Tennessee State,,,,,Director of Recruiting
