,Statistic,No.,Photo,Name,Yr.,Pos.,Ht.,Wt.,Current School Name,Hometown / High School,Previous School,Image,Title
6,,,,Claude Clayborne,,,,,North Carolina Central,,,,"Assistant Coach, Football (Linebackers)"
7,,,,Tony Spencer,,,,,North Carolina Central,,,,"Assistant Coach, Football (Tight Ends)"
8,,,,Mike Sewell,,,,,North Carolina Central,,,,"Assistant Coach, Football (Safeties)"
9,,,,Tony McRae,,,,,North Carolina Central,,,,"Assistant Coach, Football (Cornerbacks)"
10,,,,Dalton Gifford,,,,,North Carolina Central,,,,"Offensive Assistant, Football"
11,,,,Jamari Tansmore,,,,,North Carolina Central,,,,"Defensive Assistant, Football"
0,,,,Andrea Perry,,,,,North Carolina Central,,,,"Director of Operations, Football"
1,,,,Sydney Jordan,,,,,North Carolina Central,,,,"Operations Assistant, Football"
2,,,,Billy Ruffin,,,,,North Carolina Central,,,,"Equipment Manager, Football"
3,,,,Christopher Gloetzel,,,,,North Carolina Central,,,,"Video Coordinator, Football"
