,Statistic,No.,Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Custom Field 1
62,,22.0,Elliott McElwain,RB,Sr.,5-11,202.0,"Trussville, Ala. / Hewitt Trussville",Political Science
63,,76.0,Jonathan Mendoza,OL,Jr.,6-9,315.0,"Westhampton Beach, N.Y. / Westhampton Beach",Undeclared
64,,30.0,Jack Michalik,LB,So.,6-4,205.0,"Rye, N.Y. / Brunswick School",Undeclared
65,,95.0,Isaac Mitchell,DL,Sr.,6-4,248.0,"Salina, Kan. / Salina South High",Economics
66,,15.0,Hamilton Moore,LB,Jr.,6-0,218.0,"Raleigh, N.C. / Enloe",Economics
67,,92.0,Joseph Nash,DL,Fy.,6-2,285.0,"Dallas, Texas / Taft School",
68,,54.0,Patrick Nauert,OL,Sr.,6-4,300.0,"Grosse Pointe, Mich. / Grosse Pointe South",Philosophy
69,,82.0,Chase Nenad,WR,Jr.,6-3,201.0,"Mission Viejo, Calif. / Mission Viejo",Undeclared
70,,2.0,Reid Nickerson,DL,Sr.,6-4,250.0,"Friendswood, Texas / Friendswood",Economics
71,,5.0,Miles Oldacre,DB,Sr.,5-11,201.0,"Spring, Texas / Klein Oak",Mechanical Engineering
72,,4.0,Wande Owens,DB,Jr.,5-11,212.0,"Cooksville, Md. / Glenelg",Computer Science
73,,47.0,Raleigh Oxendine,DL,So.,6-1,270.0,"Tampa, Fla. / Jesuit",
74,,10.0,David Pantelis,WR,So.,5-11,183.0,"Pittsburgh, Pa. / Upper St. Clair",Economics
75,,97.0,Clay Patterson,DL,Jr.,6-3,267.0,"Frisco, Texas / Frisco Reedy",Undeclared
76,,0.0,Tre Peterson,RB,Jr.,5-8,180.0,"Columbus, Ga. / Columbus",Undeclared
77,,34.0,Joshua Pitsenberger,RB,Fy.,6-0,205.0,"Bethesda, Md. / The Avalon School",
78,,6.0,Noah Pope,LB,Sr.,6-0,210.0,"Memphis, Tenn. / St. George's/Choate Rosemary Hall (CT)",Psychology
79,,25.0,Cameron Price,WR,Fy.,5-9,195.0,"Houston, Texas / St. Thomas",
80,,75.0,Lucas Pritchard,OL,Fy.,6-5,275.0,"Lima, Ohio / Bath",
81,,90.0,Adam Raine,DL,Sr.,6-4,306.0,"Basingstoke, England / Berkshire School (Sheffield, MA)",Economics
82,,84.0,Garry Raymond,TE,Sr.,6-6,245.0,"Washington, D.C. / Cheyenne Mountain",Economics
83,,36.0,Wyatt Raymond,TE,So.,6-4,222.0,"Enfield, Conn. / Enfield",Undeclared
84,,10.0,Darnell Robinson,DB,Sr.,5-9,180.0,"West Palm Beach, Fla. / Oxbridge Academy",Mechanical Engineering
85,,31.0,Jacob Saffold,RB,Jr.,5-10,193.0,"Virginia Beach, Va. / Norfolk Academy",Undeclared
86,,5.0,Jaylan Sandifer,WR,Sr.,6-2,193.0,"Warner Robins, Ga. / Northside/Choate Rosemary Hall (CT)",Political Science
87,,50.0,Declan Savage,OL,So.,6-5,287.0,"Chapel Hill, N.C. / Chapel Hill",
88,,57.0,Cubby Schuller,OL,Sr.,6-6,301.0,"Bedminster, N.J. / Bernards",History
89,,62.0,Aaron Session,OL,So.,6-6,339.0,"Katy, Texas / Morton Ranch",Undeclared
90,,43.0,Micaiah Shaber,DL,Fy.,6-6,265.0,"Peachtree, Ga. / Starr’s Mill",
91,,52.0,Dean Shaffer,LB,So.,6-1,230.0,"Smithtown, N.Y. / Smithtown East",Undeclared
92,,13.0,Mason Shipp,WR,So.,6-0,187.0,"Monroe Township, N.J. / The Hun School",Undeclared
93,,61.0,Connor Smith,OL,So.,6-3,273.0,"Medfield, Mass. / Noble & Greenough",Undeclared
94,,27.0,Kelvin Smith,WR,So.,6-2,225.0,"White Plains, N.Y. / The Hun School",Undeclared
95,,17.0,Aidan Stephens,WR,Fy.,6-1,185.0,"Braceville, Ohio / LaBrae",
96,,19.0,Devyn Suggs,QB,Jr.,6-4,201.0,"Bolingbrook, Ill. / Bolingbrook",Undeclared
97,,60.0,Sean Sullivan,OL,So.,6-5,306.0,"Westborough, Mass. / Saint John's Shrewsbury",
98,,32.0,Joshua Tarver,WR,Fy.,6-3,205.0,"Richmond, Texas / IMG Academy",
99,,42.0,Andre Thomas,LB,Fy.,6-1,215.0,"Fort Valley, Ga. / Peach County",
100,,85.0,CJ Thompson,WR,Jr.,6-1,179.0,"Arlington, Texas / Trinity Christian","Molecular, Cellular, Dev Biology"
101,,1.0,Mason Tipton,WR,Jr.,5-11,191.0,"Akron, Ohio / Archbishop Hoban",Undeclared
102,,89.0,Scott Truninger,TE,Fy.,6-6,240.0,"Newport Beach, Calif. / Corona Del Mar",
103,,6.0,Austin Tutas,QB,So.,6-1,195.0,"Tampa, Fla. / Foster (Texas)",Undeclared Science
104,,49.0,Mitchell Tyler,DL,Jr.,6-5,238.0,"McKinney, Texas / McKinney",Undeclared
105,,98.0,Ikenna Ugbaja,DL,So.,6-2,292.0,"Boston, Mass. / Belmont Hill",Undeclared Justice
106,,55.0,Joseph Vaughn,LB,Sr.,6-3,234.0,"San Jose, Calif. / Archbishop Mitty School",Economics
107,,40.0,Walker Warncke,DB,So.,5-11,200.0,"Needville, Texas / Needville",Undeclared
108,,64.0,Andrew Weisz,OL,So.,6-7,305.0,"West Palm Beach, Fla. / The Benjamin School",Undeclared
109,,41.0,Melik Williams,LB,Fy.,6-2,210.0,"Ypsilanti, Mich. / Lincoln",
110,,98.0,Dylan Yang,DL,Fy.,6-3,250.0,"Airmont, N.Y. / Suffern",
111,,44.0,Ry Yates,TE,So.,6-4,235.0,"Vienna, Va. / James Madison",
