,Statistic,Image,#,Full Name,C,Pos.,Ht.,Wt.,Current School Name,Year,Hometown,High School,Previous School,Major,Facebook,Instagram,Twitter,Name,Title
0,,,0.0,Nazeviah Burris,,WR,5-11,181.0,Stetson,So.,"Union, SC",Byrnes,,General Business,,Nazeviah,NazeviahB,,
1,,,0.0,Fermon Reid,*,DE,5-10,240.0,Stetson,Gr.,"Naples, FL",Gulf Coast,,MBA,fermon.reid.1,fermonreid,FermonReid_,,
2,,,1.0,Rassie Littlejohn,,DB,6-1,173.0,Stetson,R-Jr.,"Gainesville, GA",Gainesville,,Business,raekwon.littlejohn,twosmooveee,twosmooveee,,
3,,,2.0,Michael Martinez,,WR,5-11,160.0,Stetson,R-So.,"Richmond, TX",Terry,Western New Mexico,Finance,,yuung_mike,yuungmikey,,
4,,,2.0,Davion Maxwell,,DB,5-11,210.0,Stetson,R-Jr.,"Boca Raton, FL",Boca Raton,,International Business,,davionmaxwelll,Davion_Maxwell,,
5,,,3.0,Jalen Mason,,WR,5-9,191.0,Stetson,R-Sr.,"Fort Pierce, FL",Fort Pierce Central,Jacksonville,Psychology,,Sauce.6_,Sauce6_,,
6,,,4.0,Mason Proch,,WR,6-4,231.0,Stetson,R-So.,"Lake Worth, FL",Park Vista,,Digital Arts,,Mas.on86,Mason_Proch,,
7,,,5.0,Jalon Warthen-Carr,,WR,5-9,200.0,Stetson,R-So.,"Macon, Ga.",Southwest,Assumption University,Marketing,JalonWOfficial,,,,
8,,,6.0,Marshall Skoloff,,QB,6-1,189.0,Stetson,So.,"Greenville, SC",Eastside,,Discovery,,mskoloff_6,mskoloff_3,,
9,,,7.0,Connor Becker,,WR,6-4,194.0,Stetson,R-Jr.,"Hanover, PA",New Oxford,,Business Management,connor.becker.376,connor7becker,cmbtdm8kr,,
10,,,8.0,Kaleb Costner,,TE,6-2,238.0,Stetson,R-So.,"Daytona Beach, FL",Mainland,,Business Administration,,Kaleb.costner,Kalebcostner4,,
11,,,8.0,Majeste' Hansberry,,LB,6-1,225.0,Stetson,R-Sr.,"Atlanta, GA",North Atlanta,Fort Valley State,Communication & Media Studies,,MillionDollarMaj,,,
12,,,9.0,Brady Meitz,,QB,6-1,182.0,Stetson,So.,"Cumming, GA",North Forsyth,,Biology,,bradymeitz,brady_meitz,,
13,,,10.0,Rhyan Cheatham,,CB,6-2,197.0,Stetson,So.,"Clover, SC",Clover,,Business Administration,,rhyan.c10,RhyanCheatham,,
14,,,10.0,Kamal Gray,,QB,5-10,191.0,Stetson,So.,"Eagleville, PA",Pope John Paul II,Temple,Business Management,,k.gray.10,kamal_gray10,,
15,,,11.0,Alex Alteus,,LB,6-1,221.0,Stetson,R-Jr.,"Morehead City, NC",West Carteret,UNC Pembroke,Business Administration,alex.alteus,frantz_alexandre_,alex_alteus,,
16,,,11.0,Quinton Lane,,WR,6-3,205.0,Stetson,R-Jr.,"Tampa, FL",Robinson,,Business,,qcinco.5,qlane13,,
17,,,12.0,Donovan Tabon,,QB,6-1,189.0,Stetson,R-Jr.,"Woodbridge, NJ",IMG Academy,,Marketing,,donovan_tabon,DonovanTabon,,
18,,,13.0,Matteo Rodriguez,,QB,6-1,191.0,Stetson,Fr.,"Thiells, NY",North Rockland,,,,,,,
19,,,14.0,Ja'Veon Ensley,,DS,6-1,179.0,Stetson,Gr.,"Plainfield, NJ",Hudson Catholic,New Haven/Wagner,,,,ensley_javeon,,
20,,,15.0,Eric Diggs,,DS,6-0,207.0,Stetson,Gr.,"Whites Creek, TN",Franklin Road Academy,Cornell,MBA,,esdiggs_,ESDiggs,,
21,,,15.0,Alex Piccirilli,*,QB,6-3,217.0,Stetson,Gr.,"Jupiter, FL",Jupiter Community,,MBA,alex.piccirilli.33,alex_piccirilli,Piccirilli15,,
22,,,16.0,Malik Giles,,DB,5-10,160.0,Stetson,R-Fr.,"Spring Hill, FL",Bishop McLaughlin,Mount Union,,,,,,
23,,,17.0,Trynyty Conway,,WR,6-1,216.0,Stetson,R-So.,"Miami, FL",Columbus,,Marketing,,trynytyconway,trynyty_c16,,
24,,,17.0,Hunter Smallback,,DE,6-4,227.0,Stetson,R-So.,"Windermere, FL",Windermere Prep,,Business Administration,hunter.smallback,hsmallback,huntersmallback,,
25,,,18.0,Tucker Tomberlin,,QB,6-1,195.0,Stetson,So.,"Jacksonville, FL",Episcopal School,,Finance,,_tomberlin,tuckertomberlin,,
26,,,18.0,Jordan Williams,,LB,6-1,201.0,Stetson,R-So.,"Naples, FL",Golden Gate,,Health Science,,jordan_239_,Jordan_239,,
27,,,19.0,Julian Sampson,,DB,5-11,175.0,Stetson,Fr.,"Bolingbrook, IL",Naperville,,Business,,Juliansampson_,Juliansamps0n,,
28,,,20.0,Shiloh Conway,,WR,6-3,204.0,Stetson,Fr.,"Miami, FL",Columbus,,,,,,,
29,,,20.0,Jason Riedy,,CB,5-11,175.0,Stetson,So.,"Boynton Beach, FL",American Heritage,,Business Administration,,_JasonRiedy,JasonRiedy11,,
30,,,21.0,CJ Davis,,LB,5-10,215.0,Stetson,R-So.,"Pensacola, FL",Pensacola Catholic,,Health Science,,cj_davis3,@CJ__Davis3,,
31,,,22.0,Fernando Bryant,,DB,5-8,181.0,Stetson,Sr.,"Jonesboro, GA",Creekside Christian Academy,Oklahoma Panhandle State,Business Management,,,,,
32,,,22.0,Jalen Leary,,RB,5-8,195.0,Stetson,R-Jr.,"Savannah, GA",Calvary Day,,Communication & Media Studies,jalen.leary,ja.len22,XtraordinaryJay,,
33,,,23.0,Kaderris Roberts,,RB,5-8,178.0,Stetson,So.,"Zellwood, FL",Orangewood Christian,,Business Administration,,kxderris,Kaderris2,,
34,,,24.0,Justin Roberson,,DB,5-10,199.0,Stetson,R-Sr.,"Powder Springs, GA",McEachern,,Sport Business,,j.robe24,_jayrobe_,,
35,,,25.0,Brandon Bush,,K,5-9,165.0,Stetson,Fr.,"Fort Myers, FL",North Fort Myers,,,,_bush12_,brandon_bush12,,
36,,,25.0,David Stubbs,,CB,5-10,165.0,Stetson,So.,"Palm Coast, FL",Flagler Palm Coast,,Finance,david.stubbs.50951,,d_stubbs2,,
37,,,26.0,Nathaniel Dent II,,CB,5-10,176.0,Stetson,Jr.,"Powder Springs, GA",McEachern,,Computer Information Systems,,,@NathanielDent,,
38,,,27.0,Chachi Perez,,FS,5-10,186.0,Stetson,Fr.,"La Verne, CA",Damien,,,,Chach.Perez,ChachiPerez2022,,
39,,,28.0,Devon Brewer,,RB,5-10,187.0,Stetson,Gr.,"Dundalk, MD",Boys Latin,Cornell,,,chefdboe,devonbrewer22,,
40,,,29.0,Micah Adams,,DB,6-1,171.0,Stetson,R-So.,"Palmdale, CA",Paraclete,,Business,,miicah.adamss,adams1k19,,
41,,,30.0,Terel Harris,,CB,5-10,161.0,Stetson,Fr.,"West Palm Beach, FL",Dwyer,,,,,,,
42,,,32.0,Donovan Shepard,,RB,5-7,171.0,Stetson,Fr.,"Raleigh, NC",Cardinal Gibbons,,,,,,,
43,,,33.0,Trent Phillips,,TE,6-2,227.0,Stetson,R-So.,"Winter Garden, FL",Ocoee Legacy Charter,,Business Economics,,,trentp1105,,
44,,,34.0,Zarrion Robinson,,DB,6-2,193.0,Stetson,So.,"Madison, FL",Madison County,,Discovery,zarrion.robinson.7,Sheluv.ze,Zarrion6,,
45,,,35.0,Marshall Golick,,K,5-9,159.0,Stetson,Jr.,"Smyrna, GA",Woodward Academy,,,marshall.golick,,mgolick85,,
46,,,36.0,D.J. Clark,,RB,5-10,197.0,Stetson,Fr.,"Ellenton, FL",Saint Stephens Episcopal,,,,dclark_941,dclark_941,,
47,,,38.0,Cameron Gillis,,K,5-7,146.0,Stetson,R-So.,"Budapest, Hungary",IMG Academy,,Economics,,_cg38_,cam14g,,
48,,,39.0,Nikkem Reynolds,,CB,5-11,207.0,Stetson,Jr.,"Orlando, FL",Dr. Phillips,Mars Hill,,,Nike.No.Check,NikkemReynolds,,
49,,,40.0,RJ Williams,,DB,6-0,198.0,Stetson,So.,"Madison, FL",Madison County,,Psychology,,rj_will10,RJWilliams_14,,
50,,,42.0,Dominic Carlucci,,TE,6-2,250.0,Stetson,R-So.,"Raleigh, NC",Cardinal Gibbons,,Marketing/Professional Sales,dominic.g.fox,thedominiccarlucci,dlcarlucci1,,
51,,,42.0,Caleb Jolley,,DS,6-2,179.0,Stetson,Fr.,"Spring Hill, TN",Summit,,,caleb.jolley.3,c_jolley6,jolley_caleb,,
52,,,43.0,Sam Mudge,,TE,6-3,211.0,Stetson,Fr.,"Panama City, FL",J.R. Arnold,,,,,,,
53,,,44.0,Diego Davis,,LB,5-11,233.0,Stetson,Fr.,"Napa, CA",Vintage,,,,,,,
54,,,45.0,Jackson Ellerbee,,RB,5-9,194.0,Stetson,So.,"Monroe, GA",George Walton Academy,,Business Administration,,jacksonellerbee,jack_ellerbee,,
55,,,46.0,Andy Petit-Homme,,DB,5-11,202.0,Stetson,R-So.,"Lake Worth, FL",Royal Palm Beach,,Business Administration,,1k.andy,andypetit9,,
56,,,47.0,Ethan Hull,*,LB,6-0,225.0,Stetson,R-Jr.,"Crestwood, KY",Trinity,Jacksonville,Accounting/Finance,,ethanfhull,ethanfhull,,
57,,,48.0,Matt Clements,,P,5-11,171.0,Stetson,R-Sr.,"Melbourne, Australia",Scotch College,Jacksonville,Finance,,clemboeey,clemboeey,,
58,,,48.0,Hale Prior,,LB,6-0,224.0,Stetson,Fr.,"Brush Prairie, WA",Hockinson,,,,hale_prior,hale_prior,,
59,,,49.0,Finau Fine,,DE,6-5,259.0,Stetson,R-So.,"Kissimmee, FL",Gateway,,Digital Arts,,f1nau,finaufine,,
60,,,49.0,Brady Rhodes,,TE,6-6,225.0,Stetson,R-So.,"Ackworth, GA",North Paulding,,Computer Science,,the_bradyrhodes,Brady_Rhodes,,
61,,,50.0,Andrew Thompson,,DE,6-0,210.0,Stetson,So.,"Apopka, FL",Orangewood Christian,,Health Sciences,,andrewt407,_Andrew407,,
62,,,51.0,Dustin Viñas,,LB,5-11,230.0,Stetson,So.,"Miami, FL",Columbus,,Business Management,,dustinvinas51,51vinas,,
63,,,52.0,Emir Kendrick,,LB,6-0,202.0,Stetson,Fr.,"Leonardtown, MD",St. Mary's Ryken,,,,,,,
64,,,53.0,Michael Wojciechowski,,LS,5-7,165.0,Stetson,R-Jr.,"Oak Harbor, OH",Oak Harbor,,Finance/Economics,michael.wojciechowski.756,m_wojo43,wojo_mike,,
65,,,54.0,Nicholas Lerew,,LB,5-11,220.0,Stetson,Gr.,"Dillsburg, PA",Northern York,Gannon/SMU,,,,,,
66,,,55.0,Edward Hernandez,,DT,6-1,290.0,Stetson,R-Jr.,"Austell, GA",McEachern,,Marketing,,h.ernandezz,InfamousEdward,,
67,,,56.0,Thomas Connors,,OL,6-4,305.0,Stetson,Gr.,"Orlando, FL",Bishop Moore,,Sport Business,thomas.connors.1614,conn_vict,_tquan,,
68,,,56.0,Mason Thomason,,LB,5-10,208.0,Stetson,Fr.,"Palm Beach Gardens, FL",The Benjamin School,,Political Science,,Masonthomason_,ThomasonMason,,
69,,,57.0,Christian Jolley,,LB,6-3,211.0,Stetson,R-Jr.,"Spring Hill, TN",Summit,,Marketing,christian.jolley.50,cjolleyy,cjolleyy,,
70,,,59.0,Brysson Stouffer,,DE,6-1,210.0,Stetson,Fr.,"Miami, FL",Columbus,,,,,,,
71,,,60.0,Kyle Lofye,,OL,6-4,323.0,Stetson,Fr.,"Frisco, TX",Lone Star,,,,,,,
72,,,61.0,Chad Staley,,OL,6-2,250.0,Stetson,Fr.,"Tampa, FL",Berkeley Prep,,,,,,,
73,,,62.0,James Rhodes,,OL,6-1,292.0,Stetson,R-So.,"Orange Park, FL",Orange Park,,Business Systems Analytics,,rhoscholar,JamesRh10031249,,
74,,,63.0,Rowan Collins,,OL,6-1,290.0,Stetson,Fr.,"Jacksonville, FL",Christ's Church Academy,,Business and Family Enterprise,,Rowanc_53,Rowancollins10,,
75,,,64.0,Zachary Thomas,,OL,6-3,312.0,Stetson,So.,"Grand Ridge, FL",Sneads,,Business Administration,,_zaaccchhhh__,Zach_thomas55,,
76,,,65.0,Steven Godwin,,OL,6-1,276.0,Stetson,R-Jr.,"Neptune Beach, FL",Providence School,,Health Science,,godwinsteven22,godwinsteven22,,
77,,,66.0,Dawson Harrington,,OL,6-7,294.0,Stetson,So.,"Olathe, KS",Olathe South,,Computer Science,,dawson.harrington,d_harrington73,,
78,,,68.0,Connor Lenczden,,OL,6-7,300.0,Stetson,R-So.,"Wesley Chapel, FL",Wiregrass Ranch,,Discovery,connor.lenczden,itismeconnor,connor_lenczden,,
79,,,70.0,Avery Samuels,,OL,6-3,322.0,Stetson,R-Jr.,"Mt. Airy, PA",Germantown Academy,,Psychology,avery.samuels.9066,_averysamuels_,AverySamuels79,,
80,,,71.0,Kyle Gilliland,,OL,6-7,297.0,Stetson,R-So.,"Cooper City, FL",St. Thomas Aquinas,,Management,,,Gilliland_71,,
81,,,73.0,Steven Mauro,,OL,6-3,283.0,Stetson,Fr.,"Stormville, NY",John Jay,Bridgton Academy,,,,,,
82,,,74.0,Eric Brust,,OL,6-3,312.0,Stetson,Fr.,"Palmetto, FL",Palmetto,,,,,,,
83,,,76.0,Michael Terry,,OL,6-3,276.0,Stetson,Fr.,"Frisco, TX",Lone Star,,,,,,,
84,,,77.0,Andrew Nadolski,,OL,6-4,294.0,Stetson,Gr.,"Scottsdale, AZ",Notre Dame Prep,,MBA,andrew.n212121,andrewnadolski,nadolski_andrew,,
85,,,79.0,Logan Wylie,,OL,6-1,294.0,Stetson,Fr.,"St. Johns, FL",Bartram Trail,,,,,,,
86,,,80.0,Jalen Evans,,WR,5-10,186.0,Stetson,So.,"Jacksonville, FL",First Coast,,Health Sciences,jalen.evans.3192,,jalenevans2x,,
87,,,81.0,Michael Carley,,WR,6-4,207.0,Stetson,R-So.,"Melbourne, FL",Melbourne Central Catholic,,Health Sciences,,mikecarley11,MichaelCarley13,,
88,,,82.0,Andrew Tabor,,WR,5-9,188.0,Stetson,Fr.,"Jacksonville, FL",Bisjop Kenny,,,,andrewtabor,andrewtabor22,,
89,,,83.0,Aanjay Feliciano,,WR,6-2,193.0,Stetson,Fr.,"Robesonia, PA",Conrad Weiser,,,,,,,
90,,,84.0,Charlie King,,WR,6-2,191.0,Stetson,So.,"Wheaton, IL","Warrenville, South",DuPage,,,charlieking.11,charlieking1211,,
91,,,85.0,Argjent Ismaili,,WR,6-1,199.0,Stetson,So.,"Kenosha, WI",Indian Trail Academy,,,,argjent.ismaili,RjIsmaili,,
92,,,87.0,Javaris Young,,WR,6-3,203.0,Stetson,So.,"Fort Walton Beach, FL",Choctawhatchee,,Cyber Security,,javarisyk,JavarisYoung2,,
93,,,88.0,Gabe Atkin,,WR,6-1,195.0,Stetson,Jr.,"Fulshear, TX",Tompkins,Houston Baptist/Texas State,,,gabeatkin,gabeatkinn,,
94,,,89.0,Blakely Tyer,,WR,6-3,190.0,Stetson,Fr.,"Pace, FL",Pace,,,,,,,
95,,,90.0,Tyler Lewis,,DT,6-1,290.0,Stetson,R-So.,"Palm Springs, FL",Suncoast Community,,Business Administration,,_tyler.d1,@tylewis910,,
96,,,90.0,Matthew Richardson,,TE,6-3,217.0,Stetson,So.,"Winter Garden, FL",Windermere,,Business Administration,,matty.12way,Matthew_RichJ,,
97,,,94.0,Ezekiel Romero,,NT,6-2,249.0,Stetson,Fr.,"Jacksonville, FL",Bartram Trail,,,,,,,
98,,,95.0,Rohan Goulbourne,,NT,6-1,264.0,Stetson,Fr.,"Tallahassee, FL",Linicoln,,,,,,,
99,,,96.0,Daniel Marsh,,DE,6-5,190.0,Stetson,Fr.,"Miami, FL",Northwestern,,,,_marsh13,danielm55996464,,
100,,,97.0,Chase Washington,,NT,6-1,265.0,Stetson,Fr.,"Alpharetta, GA",Chattahoochee,,,,,,,
101,,,98.0,Josh Hughes,,DT,6-1,230.0,Stetson,R-So.,"Keystone Heights, FL",Keystone Heights,,Computer Science,joshhughesjr,joshhughesjr,joshhughesjr,,
102,,,99.0,Mac Neviaser,,DL,6-4,330.0,Stetson,R-So.,"Essex, CT",Valley Regional,Avon Old Farms,Mathematics,,MacNeviaser,MacNeviaser,,
103,,,,Moise Satine,,RB,5-9,165.0,Stetson,R-Sr.,"Avon Park, FL",Avon Park,Samford,MBA,,Moesatine_90,MoeSatine2,,
0,,,,,,,,,Stetson,,,,,,,,,Brian Young,Head Coach
1,,,,,,,,,Stetson,,,,,,,,,David Clowney IV,Receivers Coach
2,,,,,,,,,Stetson,,,,,,,,,Jeffrey Eberhardt,Cornerbacks Coach
3,,,,,,,,,Stetson,,,,,,,,,Ryan Favre,Tight Ends Coach
4,,,,,,,,,Stetson,,,,,,,,,Jonathan Johnson,Defensive Coordinator/Linebackers Coach
5,,,,,,,,,Stetson,,,,,,,,,Jeremy Perkovich,Defensive Line Coach
6,,,,,,,,,Stetson,,,,,,,,,Jake Reed,Offensive Line Coach
7,,,,,,,,,Stetson,,,,,,,,,Harry Richards,Running Backs Coach
8,,,,,,,,,Stetson,,,,,,,,,Brian Sheppard,Offensive Coordinator/QB Coach
9,,,,,,,,,Stetson,,,,,,,,,Michael C. Smith,Assistant Linebackers Coach
10,,,,,,,,,Stetson,,,,,,,,,Brandon Wright,Dawg Safeties Coach
11,,,,,,,,,Stetson,,,,,,,,,Jesse Marsh,Administrative Assistant
0,,,,,,,,,Stetson,,,,,,,,,Tom Melton,Head Strength & Conditioning Coach
1,,,,,,,,,Stetson,,,,,,,,,Carrie Rahn,Associate Athletic Trainer
2,,,,,,,,,Stetson,,,,,,,,,Maci Fox,Assistant Athletic Trainer
3,,,,,,,,,Stetson,,,,,,,,,Abigail Bertram,Assistant Athletic Trainer
4,,,,,,,,,Stetson,,,,,,,,,Hunter Todd,Offensive Quality Control Analyst
5,,,,,,,,,Stetson,,,,,,,,,Zane Smith,Defensive Quality Control Analyst
6,,,,,,,,,Stetson,,,,,,,,,Shelby Coker,Head Equipment Manager
7,,,,,,,,,Stetson,,,,,,,,,Sam Romanski,Assistant Strength & Conditioning Coach
