,Statistic,#,Full Name,Pos,Ht.,Academic Year,Hometown / High School,Image,Current School Name,Name,Title
71,,86.0,Elijah Griffin,WR,6-3,R-Fr.,"Saint Louis, MO / Chaminade College Prep",,Western Illinois,,
72,,88.0,Wyatt Rudsell,WR,5-9,Jr.,"Taylor Ridge, Ill. / Rockricge",,Western Illinois,,
73,,90.0,Kyle Wittenrich,LS,5-10,R-Jr.,"Rushford, N.Y. / Cuba Rushford",,Western Illinois,,
74,,95.0,Trace Brown,DL,6-0,So.,"Plainfield, Ill. / Plainfield South",,Western Illinois,,
75,,96.0,Malcolm Moultrie,DL,6-1,So.,"Pensacola, Fla. /",,Western Illinois,,
76,,97.0,Jake Detiveaux,DL,6-1,Sr.,"Hampshire, Ill. / Hampshire",,Western Illinois,,
77,,98.0,Almarion Bell,DL,6-3,So.,"Machesney Park, ILL. / Harlem",,Western Illinois,,
78,,99.0,Tyler Malakius,DL,6-3,R-Sr.,"Byron, Ga. / Westfield",,Western Illinois,,
0,,,,,,,,,Western Illinois,Myers Hendrickson,Head Coach
1,,,,,,,,,Western Illinois,Todd Drury,Defensive Coordinator
2,,,,,,,,,Western Illinois,Jeremy Curry,Assistant Coach - Defensive Line
3,,,,,,,,,Western Illinois,Brandon Kreczmer,Assistant Coach - Linebackers
4,,,,,,,,,Western Illinois,Shane Dowty,Defensive Backs Coach
5,,,,,,,,,Western Illinois,Patrick Denecke,Offensive line/Offensive coordinator
6,,,,,,,,,Western Illinois,Quinn Schafer,Pass Game Coordinator/ Quarterbacks
7,,,,,,,,,Western Illinois,Greg Hardin,Wide Receivers Coach
8,,,,,,,,,Western Illinois,Mark Hendrickson,Tight Ends/ Fullbacks & Specialists
9,,,,,,,,,Western Illinois,Kristen Sayyalinh,Director of Football Operations
10,,,,,,,,,Western Illinois,Michael Day,Graduate Assistant
