,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown(Prev School),Current School Name,Image,Title
51,,61.0,Rodrigo Escobar,OL,6-3,300.0,So.,"Elizabeth, N.J. /",Delaware State,,
52,,62.0,Charles Pierce,OL,6-0,285.0,So.,"Sicklerville, N.J. /",Delaware State,,
53,,63.0,Michel Bergeron,LS,5-11,210.0,Jr.,"Burlington, Vt. /",Delaware State,,
54,,64.0,Josh Ramponeau,DL,6-3,260.0,Sr.,"Spring Valley, N.Y. / Hudson Valley CC",Delaware State,,
55,,65.0,Jaydon Mifflin,OL,6-2,260.0,Fr.,"Georgetown, Del. /",Delaware State,,
56,,68.0,Derrico Poston,OL,6-4,270.0,R-So.,"Oxon HIlls, Md. / Wesley College",Delaware State,,
57,,70.0,Carrington Jones,DL,6-1,280.0,R-Sr.,"Kinsale, Va. /",Delaware State,,
58,,71.0,Mathias Peoples,OL,6-1,310.0,So.,"Washington, D.C. /",Delaware State,,
59,,72.0,Isaiah Cook,OL,6-3,290.0,So.,"Willingboro, N.J/. /",Delaware State,,
60,,73.0,Sam Pearson,OL,6-5,285.0,Sr.,"Washington, D.C. / ASA- Brooklyn",Delaware State,,
61,,74.0,Hallston Fergilus,OL,6-3,300.0,Jr.,"Flushing, N.Y. / Monroe College",Delaware State,,
62,,75.0,Diu Dau,OL,6-4,295.0,So.,"Rockville, Md. /",Delaware State,,
63,,76.0,Joseph Maxwell III,OL,6-5,360.0,So.,"Savannah, Ga. /",Delaware State,,
64,,77.0,Malcolm Jefferies,OL,6-3,240.0,Fr.,"Baltimore, Md. /",Delaware State,,
65,,79.0,Tavian Hobson,OL,6-3,315.0,Jr.,"Rockford, Ill. /",Delaware State,,
66,,80.0,NyGhee Lolley,WR,6-1,195.0,So.,"Newark, Del. /",Delaware State,,
67,,83.0,Tahmir Ellis,TE,6-4,230.0,Fr.,"Plainfiled, N.J. /",Delaware State,,
