,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
52,,46.0,Delainey Suraju,DL,So.,6-0,252.0,"Elko New Market, Minn. / Lakeville South",St. Thomas,,,
53,,47.0,Grant Gerber,LB,Jr.,6-2,226.0,"Eau Claire, Wis. / Memorial",St. Thomas,,,
54,,50.0,Alex Kuntz,OL,5th,5-11,272.0,"St. Paul, Minn. / St. Thomas Academy",St. Thomas,,,
55,,56.0,Duncan Sprengel,OL,So.,6-2,285.0,"Pasadena, Calif. / St. Francis",St. Thomas,,,
56,,59.0,Aaron Arnold,OL,Sr.,6-7,292.0,"Minneapolis, Minn. / Minnehaha Academy (SMB)",St. Thomas,,,
57,,62.0,Lucas Cannon,OL,So.,6-5,286.0,"Green Bay, Wis. / Luxemburg-Casco",St. Thomas,,,
58,,65.0,Seth Hopkins,DL,Sr.,6-0,277.0,"Elk River, Minn. / Elk River",St. Thomas,,,
59,,66.0,Langston Robinson,OL,Jr.,6-2,291.0,"Milwaukee, Wis. / Marquette",St. Thomas,,,
60,,67.0,Jason Laliberte,OL,So.,6-8,303.0,"Maple Grove, Minn. / Maple Grove",St. Thomas,,,
61,,68.0,Grahm Dixon,OL,So.,6-4,309.0,"Wooster, Ohio / Wooster",St. Thomas,,,
62,,70.0,Dane Demuth,OL,Sr.,6-5,285.0,"Hudson, Wis. / Hudson",St. Thomas,,,
63,,72.0,Alec Rasmussen,OL,Jr.,6-7,299.0,"Wayzata, Minn. / Wayzata",St. Thomas,,,
64,,74.0,Shane Aberg,OL,Jr.,6-5,314.0,"San Jose, Calif. / Archbishop Mitty",St. Thomas,,,
65,,75.0,Gavin Falk,OL,So.,6-5,301.0,"Edina, Minn. / Edina",St. Thomas,,,
66,,76.0,Brock Stanek,OL,Jr.,6-5,282.0,"Fort Dodge, Iowa / Fort Dodge St. Edmond",St. Thomas,,,
67,,77.0,Shea Albrecht,OL,Jr.,6-4,319.0,"Orono, Minn. / Orono",St. Thomas,,,
68,,78.0,James Morrison,OL,So.,6-6,323.0,"West St. Paul, Minn. / Cretin-Derham Hall",St. Thomas,,,
69,,79.0,Ethan Goodrich,OL,So.,6-6,284.0,"Iowa City, Iowa / City",St. Thomas,,,
70,,80.0,Jack Kinsey,TE,So.,6-5,238.0,"Plymouth, Minn. / Wayzata",St. Thomas,,,
71,,81.0,Will Burke,TE,So.,6-4,236.0,St. Paul / Cretin-Derham Hall,St. Thomas,,,
72,,83.0,Patrick Wagner,TE,So.,6-3,232.0,"Crofton, Md. / Archbishop Spalding",St. Thomas,,,
73,,85.0,Aidan Nasser,TE,So.,6-5,223.0,"Whittier, Calif. / La Mirada",St. Thomas,,,
74,,87.0,Matthew Rink,TE,So.,6-5,257.0,"Lincoln, Neb. / Southwest",St. Thomas,,,
75,,88.0,Aiden Carlson,TE,Jr.,6-5,241.0,"Fargo, N.D. / North",St. Thomas,,,
76,,89.0,John McBride,TE,Jr.,6-5,244.0,"White Bear Lake, Minn. / White Bear Lake",St. Thomas,,,
77,,92.0,Joey Fitzgerald,DL,5th,6-2,247.0,"Chicago, Ill. / Brother Rice",St. Thomas,,,
78,,93.0,Brody Kallman,DL,So.,6-5,259.0,"Tucson, Ariz. / Cienega",St. Thomas,,,
79,,94.0,Jake Coleman,DL,Sr.,6-2,250.0,"West Des Moines, Iowa / Valley",St. Thomas,,,
80,,95.0,C.J. Warren,DL,5th,6-3,277.0,"Circle Pines, Minn. / Centennial",St. Thomas,,,
81,,96.0,Luis Miranda,DL,So.,6-3,254.0,"San Antonio, Texas / Taft",St. Thomas,,,
82,,97.0,Jordan Titus,DL,Jr.,6-1,308.0,"Hutchinson, Minn. / Hutchinson",St. Thomas,,,
83,,98.0,Noah Friedt,DL,Jr.,6-2,262.0,"Lakeville, Minn. / Apple Valley",St. Thomas,,,
84,,,Julian Alfaro Diedrich,WR,Fr.,5-10,181.0,"Plymouth, Minn. / Wayzata",St. Thomas,,,
85,,,Nate Elmes,QB,So.,6-2,223.0,"Maple Grove, Minn. / Maple Grove Senior",St. Thomas,,,
86,,,Avery Goodrich,OL,Fr.,6-6,289.0,"Iowa City, Iowa / City",St. Thomas,,,
87,,,Cheick Kaba,DL,So.,6-1,273.0,"Fridley, Minn. / Fridley",St. Thomas,,,
88,,,Terrance Kamara,RB,So.,5-9,172.0,"Minneapolis, Minn. / North",St. Thomas,,,
89,,,Tyler Magnuson,OL,So.,6-6,303.0,"Plymouth, Minn. / Wayzata",St. Thomas,,,
