,Statistic,No.,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Image,Title
53,,43.0,Braden Gilby,ILB,6-2,237.0,Gr.,"St. Petersburg, Fla. / Jesuit",Furman,,
54,,44.0,Luke Clark,BAN,6-3,243.0,R-Jr.,"Louisville, Ky. / South Oldham",Furman,,
55,,45.0,Will Kobuszewski,SS,6-2,200.0,R-So.,"Mooresville, N.C. / Lake Norman",Furman,,
56,,46.0,Alex Maier,BAN,6-4,238.0,R-So.,"Fleming Island, Fla. / Fleming Island",Furman,,
57,,47.0,Ty Youngblood,TE,6-0,220.0,R-Jr.,"Greeneville, Tenn. / Greeneville",Furman,,
58,,48.0,Julian Ashby,LS,6-2,204.0,R-Jr.,"Lilburn, Ga. / Parkview",Furman,,
59,,49.0,Dawson Jones,PK,5-11,165.0,R-Fr.,"Atlanta, Ga. / Marist",Furman,,
60,,51.0,Luke Petit,OT,6-3,285.0,R-So.,"Akron, Ohio / Archbishop Hoban",Furman,,
61,,52.0,Owen Plane,ILB,6-1,203.0,R-Fr.,"West Columbia, S.C. / Brookland-Cayce",Furman,,
62,,54.0,Brandt Babin,SPUR,6-1,207.0,R-So.,"Louisville, Ky. / Christian Academy",Furman,,
63,,55.0,Jacob Johanning,C,6-3,276.0,R-Sr.,"Simpsonville, S.C. / St. Joseph's",Furman,,
64,,56.0,Case Barrett,ILB,6-2,197.0,R-Fr.,"Roswell, Ga. / Roswell",Furman,,
65,,57.0,Luke McLaughlin,ILB,6-2,210.0,R-So.,"Coeur d'Alene, Idaho / Bishop Kelly",Furman,,
66,,58.0,Dan Scianna,ILB,5-10,210.0,R-Sr.,"Frankfort, Ill. / Lincoln-Way East",Furman,,
67,,59.0,Quay Rush,LB,6-0,217.0,So.,"Clemmons, N.C. / West Forsyth",Furman,,
68,,61.0,Luke Westerman,C,6-2,265.0,R-Fr.,"Nashville, Tenn. / Lipscomb Academy",Furman,,
69,,63.0,Wyatt Hughes,OG,6-3,293.0,R-Sr.,"Chattanooga, Tenn. / McCallie",Furman,,
70,,65.0,Blake Hundley,OT,6-3,295.0,R-Jr.,"Clarksville, Tenn. / Clarksville",Furman,,
71,,66.0,Eli Brasher,OT,6-4,291.0,R-Fr.,"Black Mountain, N.C. / Christ School",Furman,,
72,,69.0,E.J. Wilson,OG,6-4,297.0,R-Jr.,"Xenia, Ohio / Xenia",Furman,,
73,,74.0,Gerrik Vollmer,OG,6-5,298.0,Gr.,"Hamburg, Germany / Taft School (Conn.) / Virginia / Old Dominion",Furman,,
74,,75.0,Pearson Toomey,OT,6-3,297.0,R-Sr.,"Jacksonville Beach, Fla. / Bolles",Furman,,
75,,76.0,Trey Rogers,DT,6-3,255.0,R-Sr.,"Nashville, Tenn. / Lipscomb Academy",Furman,,
76,,78.0,Paul Joseph Meyers,LS,6-6,265.0,R-So.,"Deer Park, N.Y. / St. Anthony's",Furman,,
77,,79.0,Ryan Lamb,OG/C,6-2,298.0,R-So.,"Plano, Texas / Lebanon Trail",Furman,,
78,,80.0,Gram Smithson,WR,5-11,176.0,R-Fr.,"Brentwood, Tenn. / Brentwood Academy",Furman,,
79,,81.0,Parks Gissinger,TE,6-4,240.0,Gr.,"Los Angeles, Calif. / Chaminade College Prep / Michigan State",Furman,,
80,,83.0,Ian Williams,PK/P,6-3,225.0,R-Jr.,"Charlotte, N.C. / Weddington",Furman,,
81,,84.0,Lex Capitano,WR,5-9,173.0,R-Jr.,"Tampa, Fla. / Jesuit",Furman,,
82,,85.0,Taylor Bell,WR,5-10,157.0,Sr.,"Snellville, Ga. / Brookwood",Furman,,
83,,85.0,Evan Cooley,PK,6-1,177.0,Sr.,"Nashvillle, Tenn. / Ensworth",Furman,,
84,,87.0,John Holbrook,WR,6-4,195.0,Fr.,"Bradenton, Fla. / IMG Academy",Furman,,
85,,88.0,Aaron Beylin,TE,6-3,217.0,R-Fr.,"Ft. Lauderdale, Fla. / American Heritage",Furman,,
86,,90.0,Malakai Dudek,DT,6-3,274.0,R-Fr.,"Sharpsburg, Ga. / East Coweta",Furman,,
87,,92.0,Malachi Harrison,NG,6-1,264.0,R-Fr.,"Knoxville, Tenn. / Christian Academy of Knoxville",Furman,,
88,,93.0,Jack Barton,DE,6-4,264.0,R-Sr.,"Alpharetta, Ga. / Centennial",Furman,,
89,,97.0,Bryce Stanfield,DT,6-2,263.0,Jr.,"Acworth, Georgia / Harrison",Furman,,
90,,98.0,Noah Rios,PK,5-10,190.0,R-So.,"Strongsville, Ohio / St. Edward",Furman,,
91,,99.0,Sirod Cook,NG,5-11,284.0,Gr.,"Winston-Salem, N.C. / East Forsyth / Wingate",Furman,,
92,,,David Alabi,DE,6-2,240.0,Fr.,"Pickerington, Ohio / Pickerington North",Furman,,
93,,,Brody Balliew,OL,6-5,265.0,Fr.,"Calhoun, Ga. / Calhoun",Furman,,
94,,,AK Burrell,DB,6-0,190.0,Fr.,"Baton Rouge, La. / Dutchtown",Furman,,
95,,,Caldwell Bussey,DE,6-3,252.0,Fr.,"Hoover, Ala. / Spain Park",Furman,,
96,,,Brock Chappell,TE,6-5,250.0,Fr.,"Holly Springs, N.C. / Cardinal Gibbons",Furman,,
97,,,Hysan Dalton,CB,6-2,185.0,Fr.,"Buford, Georgia / Buford / Fork Union Military Academy",Furman,,
