,Statistic,#,Full Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
46,,62.0,Mason Imbt,R-Fr.,OL,6-3,310.0,"Troy, Pa. / Troy",Saint Francis (PA),,,,
47,,63.0,Jacob Kumfert,R-Fr.,OL,6-5,320.0,"Greencastle, Pa. / Greencastle-Antrim",Saint Francis (PA),,,,
48,,65.0,Nick McGowan,R-So.,OL,5-11,270.0,"Johnstown, Pa. / Bishop McCort",Saint Francis (PA),,,,
49,,66.0,Seth Osborne,R-Sr.,OL,6-4,310.0,"Williamsburg, Va. / Lafayette",Saint Francis (PA),,,,
50,,67.0,Connor Van Tassell,R-Fr.,OL,6-4,300.0,"Purcellville, Pa. / Loudoun Valley",Saint Francis (PA),,,,
51,,68.0,Wylie Spiker,Jr.,OL,6-3,310.0,"Ligonier, Pa. / Ligonier Valley",Saint Francis (PA),,,,
52,,69.0,Jesse Ramil,R-So.,OL,6-5,295.0,"Binghamton, N.Y. / Binghamton",Saint Francis (PA),,,,
53,,70.0,Cole Graham,Jr.,OL,6-6,315.0,"Greensburg, Pa. / Hempfield Area",Saint Francis (PA),,,,
54,,72.0,Logan Pitetti,R-So.,OL,6-1,270.0,"South Fayette, Pa. / South Fayette",Saint Francis (PA),,,,
55,,73.0,Nnamdi Onyemelukwe,R-Jr.,DL,-,375.0,"Canton, Mass. / Canton",Saint Francis (PA),,,,
56,,75.0,Levi Villarrial,R-So.,OL,6-1,275.0,"Ebensburg, Pa. / Central Cambria",Saint Francis (PA),,,,
57,,76.0,Bailey Iboleon,R-Sr.,OL,6-4,305.0,"Alexandria, Va. / West Potomac",Saint Francis (PA),,,,
58,,80.0,Kameron Blevins,R-So.,WR,-,175.0,"Vero Beach, Fla. / Eau Gallis",Saint Francis (PA),,,,
59,,80.0,Aaron Tutino,R-Jr.,WR,5-11,155.0,"Ligonier, Pa. / Ligonier Valley",Saint Francis (PA),,,,
60,,81.0,Michael Beneski,R-So.,WR,6-3,200.0,"Erie, Pa. / McDowell",Saint Francis (PA),Slippery Rock,,,
61,,81.0,"Michael Schumacher, Jr.",R-Fr.,WR,6-2,185.0,"Newtown Square, Pa. / Marple Newtown",Saint Francis (PA),,,,
62,,82.0,Casey McKinney,R-So.,WR,5-11,175.0,"Clarksburg, Md. / Clarksburg",Saint Francis (PA),,,,
63,,84.0,James Lilley,R-Fr.,TE,6-4,235.0,"Chambersburg, Pa. / Chambersburg",Saint Francis (PA),,,,
64,,85.0,Jake Bruno,R-So.,TE,6-5,240.0,"Amherst, N.Y. / Williamsville",Saint Francis (PA),,,,
65,,86.0,Haiden Garner,R-Fr.,WR,6-2,185.0,"Shade Gap, Pa. / Bishop Guilfoyle",Saint Francis (PA),,,,
66,,87.0,Tyreese Haugabrooks,R-Jr.,TE,6-0,240.0,"Griffin, Ga. / Spalding",Saint Francis (PA),,,,
67,,87.0,Scott Raymond,R-Fr.,TE,6-3,235.0,"Clarence, N.Y. / Clarence",Saint Francis (PA),,,,
68,,88.0,Daniel Card,R-So.,WR,-,180.0,"Webster, N.Y. / Webster Thomas",Saint Francis (PA),,,,
69,,89.0,Daniel Faccone,R-So.,WR,6-1,190.0,"Crystal Lake, Ill. / Midwest Prep Academy",Saint Francis (PA),,,,
70,,90.0,Jack Courtney,R-So.,DL,6-2,250.0,"Ashburn, Va. / Briar Woods",Saint Francis (PA),,,,
71,,91.0,Di'Moni Dickerson,R-So.,DL,6-1,245.0,"Glenarden, Md. / Our Lady of Good Counsel",Saint Francis (PA),,,,
72,,92.0,Jalen Robertson,R-Fr.,DL,6-4,240.0,"Baltimore, Md. / Archbishop Spalding",Saint Francis (PA),,,,
73,,93.0,Shawn Phillips,R-Fr.,DL,6-5,275.0,"Baltimore, Md. / St. Frances Academy",Saint Francis (PA),,,,
74,,94.0,Langston Ross,R-So.,DL,6-0,245.0,"Forestville, Md. / Bishop McNamara",Saint Francis (PA),,,,
75,,95.0,Jason Stone,R-So.,WR,-,,"Media, Pa. / Strath Haven",Saint Francis (PA),,,,
76,,96.0,Gavin Thomas,R-Jr.,DL,5-11,335.0,"Clifton, Va. / Centreville",Saint Francis (PA),,,,
77,,97.0,Chauncey Kratee,R-Jr.,DL,6-0,255.0,"Penndel, Pa. / Conwell-Egan Catholic",Saint Francis (PA),Wesley College,,,
78,,98.0,Eddie Bierals,Jr.,DL,6-2,255.0,"Wayne, N.J. / DePaul Catholic",Saint Francis (PA),,,,
79,,,Buju Aumua-Tuisavura,R-So.,DB,5-11,190.0,"Laie, Hawaii / Orem",Saint Francis (PA),New Mexico Military Institute,,,
80,,,Owen Bibb,Fr.,QB,6-1,180.0,"Gaithersburg, Md. / Gaithersburg",Saint Francis (PA),,,,
81,,,Zain Bokhari,Fr.,OL,6-0,300.0,"Ijamsville, Md. / St. Johns Catholic Prep",Saint Francis (PA),,,,
82,,,"Fran Brown, Jr.",Fr.,LB,5-11,210.0,"Medford, N.J. / Oconee County",Saint Francis (PA),,,,
83,,,Anthony Cioffari,Fr.,OLB,6-3,220.0,"Hollidaysburg, Pa. / Bishop Guilfoyle",Saint Francis (PA),,,,
84,,,DaMario Crawford,Fr.,DB,5-10,170.0,"Erie, Pa. / Cathedral Prep",Saint Francis (PA),,,,
85,,,Keondre DeShields,Fr.,WR,6-3,200.0,"Uniontown, Pa. / Laurel Highlands",Saint Francis (PA),,,,
86,,,Jayden Eley,Fr.,WR,6-0,160.0,"Youngstown, Ohio / Austintown-Fitch",Saint Francis (PA),,,,
87,,,Marcus Fennell,Fr.,OL,6-2,305.0,"Pittsburgh, Pa. / Upper Saint Clair",Saint Francis (PA),,,,
88,,,Brian Frasco,Fr.,OL,6-2,285.0,"Youngstown, Ohio / Ursuline",Saint Francis (PA),,,,
89,,,Collin Glassmyer,Fr.,OLB,6-2,230.0,"York, Pa. / Central York",Saint Francis (PA),,,,
90,,,Chase Haught,Fr.,OL,6-2,290.0,"Frederick, Md. / Oakdale",Saint Francis (PA),,,,
91,,,Blye Hill,Fr.,DB,6-3,165.0,"Waldorf, Md. / Mount Saint Joseph",Saint Francis (PA),,,,
92,,,Jeff Hoenstine,Fr.,QB,5-10,185.0,"Martinsburg, Pa. / Central Martinsburg",Saint Francis (PA),,,,
93,,,Zach Jones,Fr.,OL,6-5,300.0,"Stafford, Va. / North Stafford",Saint Francis (PA),,,,
94,,,Craig Joyner,Fr.,DB,5-9,170.0,"Baltimore, Md. / Mount Saint Joseph",Saint Francis (PA),,,,
95,,,Grayden Lewis,Fr.,DB,5-11,175.0,"Johnstown, Pa. / Richland",Saint Francis (PA),,,,
96,,,Jason Martin,Fr.,DL,6-0,275.0,"Akron, Ohio / Archbishop Hoban",Saint Francis (PA),,,,
97,,,Johnny McGhee,Fr.,WR,5-10,175.0,"Pittsburgh, Pa. / Mount Lebanon",Saint Francis (PA),,,,
98,,,Kent McMahon,Fr.,LB,6-1,210.0,"Canonsburg, Pa. / Canon McMillan",Saint Francis (PA),,,,
99,,,Campbell Melzer,Fr.,DB,6-0,180.0,"Wexford, Pa. / North Allegheny",Saint Francis (PA),,,,
100,,,Corey Melzer,R-Sr.,DB,6-0,185.0,"Wexford, Pa. / North Allegheny",Saint Francis (PA),Lehigh,,,
101,,,Balaam Miller,Fr.,DL,6-4,290.0,"Buffalo, N.Y. / Saint Francis",Saint Francis (PA),,,,
102,,,Manny Miller,Fr.,OLB,6-2,225.0,"Altoona, Pa. / Altoona",Saint Francis (PA),,,,
103,,,Alex Paylo,Fr.,DL,6-0,230.0,"South Park, Pa. / South Park",Saint Francis (PA),,,,
104,,,Sam Penna,Fr.,WR,5-9,160.0,"Johnstown, Pa. / Richland",Saint Francis (PA),,,,
105,,,Giuseppe Pennolino,Fr.,LB,6-1,195.0,"Highland Mills, N.Y. / Archbishop Stepinac",Saint Francis (PA),,,,
106,,,Weston Pick,Fr.,LB,6-1,220.0,"Montgomery, Pa. / Montgomery",Saint Francis (PA),,,,
107,,,Jake Rama,Fr.,QB,6-2,185.0,"Springfield, Pa. / Springfield",Saint Francis (PA),,,,
108,,,Gavin Rembert,Fr.,LB,5-11,220.0,"West Orange, N.J. / West Orange",Saint Francis (PA),,,,
109,,,Christian Santiago,Fr.,OLB,6-0,240.0,"Erie, Pa. / McDowell",Saint Francis (PA),,,,
110,,,Eryk Shammgod,Fr.,RB,6-0,200.0,"Monroe, N.Y. / Monroe-Woodbury",Saint Francis (PA),,,,
111,,,John Shuster,Fr.,OLB,5-11,190.0,"Windber, Pa. / Windber",Saint Francis (PA),,,,
112,,,Joe Skule,Fr.,TE,6-2,225.0,"Clifton, Va. / Centreville",Saint Francis (PA),,,,
113,,,Omari Smith,Fr.,OL,6-4,225.0,"Midland, Pa. / Beaver Area",Saint Francis (PA),,,,
114,,,Ben Sosnowski,Fr.,K,6-1,190.0,"Hollidaysberg, Pa. / Hollidaysburg",Saint Francis (PA),,,,
115,,,Will Stone,Fr.,OLB,6-1,185.0,"Boalsburg, Pa. / State College",Saint Francis (PA),,,,
116,,,Jordan Theodore,Fr.,RB,5-7,175.0,"Buffalo, N.Y. / Sweet Home",Saint Francis (PA),,,,
117,,,Eyan Thomas,Fr.,DL,6-4,310.0,"Chichester, Pa. / Chichester",Saint Francis (PA),,,,
118,,,Tanner Trybus,Fr.,WR,5-11,165.0,"Saint Benedict, Pa. / Cambia Heights",Saint Francis (PA),,,,
119,,,Elijah Villarrial,Fr.,LB,6-0,200.0,"Ebensburg, Pa. / Central Cambria",Saint Francis (PA),,,,
120,,,Andrew Vines,Jr.,DB,5-11,190.0,"Raleigh, N.C. / Garner Magnet",Saint Francis (PA),Lackawanna College,,,
121,,,Trey Weiand,Fr.,WR,6-4,190.0,"Mechanicsburg, Pa. / Trinity",Saint Francis (PA),,,,
122,,,Mekhi Workman,Fr.,WR,5-10,160.0,"Baltimore, Md. / St. Frances Academy",Saint Francis (PA),,,,
0,,,,,,,,,Saint Francis (PA),,,Chris Villarrial,Head Coach
1,,,,,,,,,Saint Francis (PA),,,Marco Pecora,"Associate Head Coach/Offensive Coordinator (Virginia, D.C.)"
2,,,,,,,,,Saint Francis (PA),,,Scott Lewis,Defensive Coordinator (PIAA Districts 1 & 3)
3,,,,,,,,,Saint Francis (PA),,,Brian Wright,Wide Receivers Coach (PIAA Districts 2 & 4 & 11)
4,,,,,,,,,Saint Francis (PA),,,Josh Hutchison,Running Backs/Special Teams (North Jersey)
5,,,,,,,,,Saint Francis (PA),,,Thomas Rogish,Defensive Line Coach (South Jersey)
6,,,,,,,,,Saint Francis (PA),,,Ryan Wilson,"Offensive Line Coach (PIAA District 10, Cleveland, Buffalo)"
7,,,,,,,,,Saint Francis (PA),,,Zach Morehead,"Tight Ends Coach (Western Maryland, Ohio)"
8,,,,,,,,,Saint Francis (PA),,,Ben Bruni,Linebackers Coach (PIAA Districts 7 & 8)
9,,,,,,,,,Saint Francis (PA),,,Justin Karriem,Secondary Coach
10,,,,,,,,,Saint Francis (PA),,,Brian Basile,Defensive Assistant Coach
11,,,,,,,,,Saint Francis (PA),,,Dan Gueguen,Defensive Assistant Coach
12,,,,,,,,,Saint Francis (PA),,,Jonathan Harrison,Director of Football Operations
0,,,,,,,,,Saint Francis (PA),,,Connor Warren,Athletic Trainer
1,,,,,,,,,Saint Francis (PA),,,Jake Myers,Strength & Conditioning
2,,,,,,,,,Saint Francis (PA),,,John Krimmel,Academic Advisor
3,,,,,,,,,Saint Francis (PA),,,Shannon Corbett,Academic Advisor
