,Statistic,Full Name,Hometown,High School,Pos.,Ht.,Wt.,Academic Year,Twitter,Instagram,#,Image,Name,Title
62,,Carter Hewitt,"Jewell, Iowa",South Hamilton HS,Offensive Line,6-6,261.0,R-So.,carter_hewitt11,lilhewi,94,,,
63,,Derek Anderson,"Sioux City, Iowa",Hinton HS,Defensive Line,6-6,254.0,R-So.,4danderson2021,d_anderson_4,95,,,
64,,Cannon Butler,"Waterloo, Iowa",Columbus Catholic HS,Defensive Line,6-6,241.0,R-So.,CannonButlr,cannon.butlr,96,,,
65,,Matthew Cook,"Cedar Falls, Iowa",Cedar Falls HS,Kicker,5-11,199.0,Sr.,matt_cook05,matt_cook05,97,,,
66,,Tae Shon McDaniels,"Iowa City, Iowa",Iowa City HS,Defensive Line,6-4,262.0,So.,ShonKappa,,98,,,
67,,Khristian Boyd,"Kansas City, Mo.",Blue Springs HS,Defensive Line,6-4,317.0,R-Sr.,boyd_khristian,kdub.9,99,,,
68,,Jace Andregg,"Solon, Iowa",Solon HS,Linebacker,6-3,210.0,Jr.,jace_andregg,jaceandregg,--,,,
69,,Lance Berends,"Hartley, Iowa",Hartley-Melvin-Sanborn HS,Defensive Line,6-3,244.0,Fr.,@BerendsLance,lanceberends,--,,,
70,,Carsten Bluhm,"Lincoln, Neb.",Lincoln Southwest HS,Tight End,6-5,220.0,Fr.,@Carsten_S_Bluhm,carsten_bluhm,--,,,
71,,Jonathan Cabral-Martin,"Lynbrook, N.Y.",East Coast Prep / Central Connecticut State,Defensive Back,5-9,197.0,Jr.,@Jmartbaebe,imjmart,--,,,
72,,Jaiden Carol,"Jenks, Okla.",Jenks HS,Running Back,5-10,180.0,Fr.,https://twitter.com/jaidencarroll5?lang=en,https://www.instagram.com/jtrainn29/,--,,,
73,,Kaleb Cline,"Spencer, Iowa",Spencer HS,Offensive Line,6-5,250.0,Fr.,https://twitter.com/arends_chase,https://www.instagram.com/kalebcline10/,--,,,
74,,Tyson Cooreman,"Randolph, Minn.",Randolph HS,Linebacker,6-3,205.0,Fr.,@TysonCooreman,tysoncooreman,--,,,
75,,Cartez Crook-Jones,"Grandview, Mo.",Grandview HS / Kansas State,Defensive Line,6-4,270.0,Gr.,@CrookCartez,cartezcj,--,,,
76,,Cole Dutkivich,"Naperville, Ill.",Nequa Valley HS,Linebacker,6-2,198.0,Fr.,,cduckkkk,--,,,
77,,Maurice Edwards,"Gurnee, Ill.",Warren Township HS / Vanderbilt,Running Back,6-0,195.0,Fr.,@asapmoe20,,--,,,
78,,Tyjahree Edwards,"Palatka, Fla.",Menendez HS / Hutchinson CC / UTSA,Running Back,6-3,225.0,Sr.,https://twitter.com/Tiedd2x,,--,,,
79,,Jaiden Ellis-Lahey,"Bethlehem, Pa.",Bethlehem Catholic HS,Wide Receiver,6-3,205.0,Fr.,@JellisLahey10,,--,,,
80,,Kamonte Grimes,"Naples, Fla.",Palmetto Ridge HS / Nebraska,Wide Receiver,6-3,200.0,R-So.,@KG3life_,kg3life_,--,,,
81,,Anthony Isley,"Mediapolis, Iowa",Mediapolis HS,Defensive Back,6-0,187.0,Fr.,@Anthony_Isley05,anthony.isley,--,,,
82,,Ayden Jones,Crosby HS,,Linebacker,6-2,200.0,Fr.,@AydenJones32,,--,,,
83,,Braylon Kammrad,"Council Bluffs, Iowa",Lewis Central HS,Quarterback,6-2,175.0,Fr.,https://twitter.com/KammradBraylon,https://www.instagram.com/kammradbraylon/,--,,,
84,,Grant Larkin,"Naperville, Ill.",Nequa Valley HS,Wide Receiver,6-0,180.0,Fr.,@GrantLarkin1,grant.larkin,--,,,
85,,Eric Lensing,"Mason City, Iowa",Mason City HS,Kicker/Punter,5-10,170.0,R-So.,ericdlensing,eric.lensing,--,,,
86,,Brogan Ling,"Lincoln, Neb.",Lincoln Southwest HS,Linebacker,6-2,198.0,Fr.,@BroganLing,brogan_ling,--,,,
87,,Zach Mehmert,"Cresco, Iowa",Crestwood HS,Tight End,6-5,240.0,Fr.,@ZachMehmert,zach_mehmert,--,,,
