,Statistic,#,Name,Cl.,Pos.,Ht.,Wt.,Hometown / Last School,Current School Name,Transfer,Image,Title
0,,16.0,A.J. Ackerman,Jr.,DL,6-5,310.0,"Elizabeth, Pa. / Elizabeth Forward",Duquesne,,,
1,,,Tedy Afful,Jr.,WR,5-11,175.0,"Bloomfield, N.J. / DePaul Catholic",Duquesne,Stony Brook,,
2,,,Eric Allen II,Fr.,RB,5-11,190.0,"Uniontown, Pa. / Laurel Highlands",Duquesne,Wagner,,
3,,70.0,Evan Azzara,R-So.,OL,6-6,285.0,"Plum, Pa. / Plum Borough",Duquesne,Miami (Ohio),,
4,,75.0,Max Baker,Jr.,OL,6-1,275.0,"Pittsburgh, Pa. / Mt. Lebanon",Duquesne,,,
5,,13.0,CJ Barnes,Jr.,DB,5-11,175.0,"Lakeland, Fla. / Lake Gibson",Duquesne,,,
6,,19.0,Connor Barrett,Sr.,LB,6-2,220.0,"Pittsburgh, Pa. / Chartiers Valley",Duquesne,,,
7,,56.0,"Brian Beidatsch, Jr.",So.,OL,6-4,280.0,"Greenfield, Wisc. / Marquette University HS",Duquesne,,,
8,,32.0,Michael Berarducci,Jr.,K/P,5-10,185.0,"Allison Park, Pa. / St. Augustine (Fla.)",Duquesne,,,
9,,43.0,Seth Bolin,Jr.,LB,6-0,200.0,"Gibsonia, Pa. / Pine-Richland",Duquesne,,,
10,,,Matt Brooks,Fr.,DL,6-1,280.0,"Monroeville, Pa. / Gateway",Duquesne,,,
11,,81.0,Keshawn Brown,R-So.,WR,5-8,150.0,"Hallandale, Fla. / Champagnat Catholic",Duquesne,,,
12,,25.0,Sam Brown,Jr.,LB,6-1,215.0,"Pittsburgh, Pa. / Fox Chapel",Duquesne,,,
13,,91.0,Brian Bruzdewicz,Sr.,K/P,6-1,180.0,"McMurray, Pa. / Peters Township",Duquesne,,,
14,,82.0,Lamere Byrd,So.,WR,5-8,145.0,"Erie, Pa. / Mercyhurst Prep",Duquesne,,,
15,,11.0,Jaelen Carson,Jr.,DB,6-0,180.0,"Erie, Pa. / Cathedral Prep",Duquesne,,,
16,,67.0,Matthew Castelnovo,So.,K,6-0,195.0,"Mars, Pa. / Central Catholic",Duquesne,,,
17,,52.0,Anthony Celletti,So.,OL,6-2,285.0,"Bethel Park, Pa. / Bethel Park",Duquesne,,,
18,,21.0,Justin Clark,Jr.,WR,5-10,185.0,"Scotch Plains, N.J. / Scotch Plains Fanwood",Duquesne,,,
19,,23.0,JaMario Clements,R-So.,RB,5-10,200.0,"Lafayette, Ga. / Lafayette",Duquesne,,,
20,,,Javon Colston,Gr.,DB,6-3,175.0,"Cleveland, Ohio / Ginn Academy",Duquesne,Walsh,,
21,,2.0,Jalin Cooper,Gr.,WR,6-4,200.0,"Medina, N.Y. / Medina",Duquesne,Toledo,,
22,,83.0,Joey Corado,Jr.,K/P,5-9,200.0,"Hershey, Pa. / Hershey",Duquesne,,,
23,,22.0,Ezekiel M. Daure,Sr.,DB,5-10,190.0,"Castle Shannon, Pa. / Keystone Oaks",Duquesne,,,
24,,74.0,Jack Dilts,Jr.,DL,6-5,250.0,"Vandergrift, Pa. / Kiski Area",Duquesne,,,
25,,64.0,Michael Dorundo,Jr.,OL,6-2,275.0,"Gibsonia, Pa. / Pine-Richland",Duquesne,,,
