,Statistic,#,Name,C,Cl.,Pos.,Ht.,Wt.,Current School Name,Hometown / High School / Prep (Previous College),Major,Image,Title
0,,0.0,Myles Taylor,,Sr.,LB,6-1,214.0,Merrimack,"New Rochelle, N.Y. / New Rochelle / Maine",Music Composition,,
1,,1.0,Malakai Anthony,,Jr.,QB,6-2,220.0,Merrimack,Washington D.C. / DeMatha High School,Business Administration,,
2,,1.0,Kenneth Cooper,,Jr.,S,6-1,190.0,Merrimack,"Memphis, Tenn. / Riverdale Baptist High School",Sports Medicine,,
3,,2.0,Garry Rosemond Jr.,,So.,DB,5-10,175.0,Merrimack,"Washington, D.C. / St. John's",Health Sciences,,
4,,3.0,Tyvon Edmonds Jr.,,Jr.,RB,5-8,190.0,Merrimack,"White Plains, Md. / Bishop McNamara",Public Health,,
5,,3.0,Donte Williams,,Jr.,S,5-9,190.0,Merrimack,"New Rochelle, N.Y. / Trinity Pawling",Sports Management,,
6,,4.0,Tre Jordan III,,Jr.,DB,6-0,190.0,Merrimack,"Edgewood, Md. / Calvert Hall",,,
7,,4.0,John Perry Jr.,,Jr.,QB,5-10,175.0,Merrimack,"Sugar Land, Texas / Clements High School",Business,,
8,,5.0,Shaka Moales,,Sr.,RB,5-9,195.0,Merrimack,"Bridgeport, Conn. / St. Luke's School / Choate Rosemary Hall",Business,,
9,,5.0,Jay Thompson,,Jr.,DL,6-2,240.0,Merrimack,"Baltimore, Md. / Franklin High School",Business,,
10,,6.0,Camari Glasgow,,Sr.,RB,6-1,215.0,Merrimack,"Bronx, N.Y. / Iona Preparatory",Sports Management,,
11,,8.0,Jelani Mason,,Jr.,WR,5-10,185.0,Merrimack,"Plainfield, N.J. / Saint Peter's Prep",,,
12,,8.0,Darion McKenzie,,Gr.,DB,6-2,200.0,Merrimack,"Berlin, Md. / Saint Frances Academy",,,
13,,9.0,Josh Addo,,Jr.,DB,6-2,210.0,Merrimack,"Minneapolis, Minn. / Perry Hall",Exercise Science,,
14,,9.0,Justin Lewis,,So.,QB,6-1,200.0,Merrimack,"Kennesaw, GA / Harrison High School",,,
15,,12.0,Cameron Dalrymple,,So.,DB,6-2,190.0,Merrimack,"Calvert County, Md. / Huntingtown",Athletic Training,,
16,,12.0,John Griffith,,R-Fr.,QB,6-1,210.0,Merrimack,"Linthicum, MD / St. Frances Academy / University of Maryland",,,
17,,13.0,Chase Collyer,,So.,WR,5-8,170.0,Merrimack,"Windsor, Conn / Loomis Chaffee",,,
18,,13.0,Tommie McKoy III,,So.,LB,5-11,205.0,Merrimack,"Upper Marlboro, Md. / St. Mary's Annapolis",Business Marketing,,
19,,14.0,Nasir Maryland,,So.,DB,6-1,170.0,Merrimack,"Ramsey, NJ / Don Bosco Prep",,,
20,,15.0,Jabari Echols,,So.,DB,6-0,190.0,Merrimack,"Baltimore, MD / Mount St. Joseph / University of Maine",,,
21,,15.0,Gavin McCusker,,So.,QB,6-2,195.0,Merrimack,"Exeter Township, Pa. / Exeter Township",Business Administration,,
22,,16.0,Mike Johnson,,So.,LB,5-10,215.0,Merrimack,"Baltimore, Md. / Calvert Hall",Communications and Media,,
23,,17.0,Nicholas Lenon,,Jr.,DL,6-2,245.0,Merrimack,"Baltimore, Md. / Calvert Hall College H.S.",Communications,,
24,,17.0,Jason Smith,,Gr.,WR,6-0,205.0,Merrimack,"Baltimore, Md. / Loyola Blakefield",Sports Management,,
25,,18.0,Kendal Sims,,So.,LB,6-1,225.0,Merrimack,"Washington, DC / Saint John's College",,,
26,,18.0,Donovan Wadley,,So.,WR/RB,5-9,180.0,Merrimack,"Newark, N.J. / Weequahic",Undecided,,
27,,19.0,DJ Frazier,,R-Fr.,LB,6-0,210.0,Merrimack,"Washington, DC / Franklin",Exercise Science,,
28,,22.0,Grant Jackson,,Jr.,DB,5-10,190.0,Merrimack,"Gaithersburg, Md. / Good Counsel",Marketing,,
29,,23.0,Deon Houston,,Jr.,DB,5-9,180.0,Merrimack,"Reisterstown, Md. / Franklin High School",,,
30,,24.0,Collin Heard,,Gr.,DB,5-10,180.0,Merrimack,"Southfield, Mich. / West Bloomfield / Southern Illinois Univ./ Colgate",,,
31,,25.0,Nate Palanica Jr.,,Jr.,DB,5-11,175.0,Merrimack,"Northampton, Pa. / Bethlehem Catholic",,,
32,,26.0,Nate Casimir,,So.,DB,5-10,180.0,Merrimack,"Ottawa, CA / Clearwater Academy",,,
33,,27.0,Wes Matthews,,Jr.,DB,6-0,190.0,Merrimack,"Upper Marlboro, Md. / DeMatha High School",,,
34,,28.0,Danny Simms,,R-Fr.,S,6-2,205.0,Merrimack,"Bridgeport, Conn. / Saint Thomas More",,,
35,,29.0,Christian Abraham,,So.,DB,5-11,200.0,Merrimack,"Montvale, NJ / St. Joseph Regional",,,
36,,30.0,Mike Brown,,R-Fr.,RB,5-10,210.0,Merrimack,/,,,
37,,31.0,Rajahn Cooper,,R-Fr.,LB,6-0,220.0,Merrimack,"Asbury Park, NJ / Red Bank Catholic",,,
38,,32.0,Ethan Royer,,Jr.,LB,6-1,230.0,Merrimack,"Bowie, Md. / Bullis High School",,,
39,,33.0,Malek Sabri,,Jr.,DL,6-1,250.0,Merrimack,"Damascus, Md. / Damascus High School",,,
40,,35.0,Kevin Hennessey,,Jr.,K,5-9,170.0,Merrimack,"Chelmsford, Mass. / Chelmsford / Bridgton Academy",Business,,
41,,36.0,Cantave Crawford,,Fr.,RB,6-0,190.0,Merrimack,/ King Philip Regional,,,
42,,37.0,Jake Fitzgerald,,R-Fr.,LB,6-0,215.0,Merrimack,"La Cañada, Calif. / Cathedral high school (Los Angeles)",,,
43,,38.0,Shayne Butler,,Sr.,DB,6-0,185.0,Merrimack,"Teaneck, N.J. / Bergen Catholic High School",Finance,,
44,,40.0,Ty Yocum,,So.,H-Back,6-0,240.0,Merrimack,"Reading, PA / Exeter Township",,,
45,,41.0,Ra Baraquat,,So.,LB,6-1,205.0,Merrimack,"Baltimore, Md. / Calvert Hall",,,
46,,42.0,Jared Dunn,,Jr.,H-Back,6-3,230.0,Merrimack,"Sandy Hook, Conn. / Newtown",Data Analytics,,
47,,43.0,ler Neshamah Quarles,,Sr.,H-Back,6-2,225.0,Merrimack,/,,,
48,,44.0,Darell Dorrah,,Jr.,DL,6-2,250.0,Merrimack,"East Orange, N.J. / Bishop George Ahr",Business,,
49,,45.0,Chiebuka Aduaka,,Jr.,DL,6-2,245.0,Merrimack,"Edgewood, Md. / Concordia",Exercise Science,,
50,,46.0,Luke Kelleher,,Jr.,H-Back,6-2,250.0,Merrimack,"Wethersfield, Conn. / Wethersfield / Loomis Chaffee",Exercise Science,,
51,,48.0,Cole Peterson,,Jr.,K/P,5-9,180.0,Merrimack,"Bristol, R.I. / Bishop Hendricken High School",Business,,
52,,50.0,Brandon Roberts,,Jr.,DL,6-0,275.0,Merrimack,"Hagerstown, Md. / Our Lady of Good Counsel",Business,,
53,,51.0,Mike Fierstein,,Sr.,OL,6-5,295.0,Merrimack,"North Potomac, Md. / Quince Orchard",Special Education,,
54,,52.0,Nick Reimer,,Jr.,OL,6-6,308.0,Merrimack,"Allentown, Pa. / Allentown Central Catholic HS",,,
55,,56.0,Cole Birdow,,Sr.,OL,6-4,305.0,Merrimack,"Westminster, Md. / Westminster / St. Frances Academy",Marketing,,
56,,57.0,Jordan Riggs,,Sr.,DL,6-2,270.0,Merrimack,"Dorchester, Mass. / Everett",Criminology,,
57,,59.0,Antonio Derry,,Sr.,OL,6-3,305.0,Merrimack,"Baltimore, Md. / Saint Frances Academy / Stetson",Undecided,,
58,,61.0,Cahill Burke,,R-So.,LS,6-2,210.0,Merrimack,"Charlotte, N.C. / Myers Park",Business,,
59,,63.0,Carlton Thai,,So.,K,5-9,160.0,Merrimack,/ Ernest Manning,,,
60,,64.0,AJ Urbaniak,,So.,OL,6-4,285.0,Merrimack,"Williamsville, NY / Williamsville South / University of Buffalo",,,
61,,69.0,Nolan Gunning,,So.,OL,6-4,290.0,Merrimack,"Wrentham, Mass. / King Phillip",,,
62,,70.0,Christian Smith,,So.,OL / LS,6-2,270.0,Merrimack,"Rumson, N.J / Rumson-Fair Haven",,,
63,,72.0,Tommy Dombo,,R-Fr.,OL,6-2,305.0,Merrimack,"Washington, DC / Gonzaga College Prep",,,
64,,73.0,Jakobi Holiday,,So.,OL,6-3,295.0,Merrimack,"Natick, Mass. / Natick",,,
65,,75.0,Beau Lanzidelle,,So.,OL,6-4,305.0,Merrimack,"Medford, N.J. / Shawnee / The Hun School / Rutgers University",,,
66,,78.0,Joey Trainor,,So.,OL,6-3,290.0,Merrimack,"Washington, D.C. / Gonzaga College H.S.",,,
67,,79.0,James Smith Jr.,,So.,OL,6-3,300.0,Merrimack,"Rumson, N.J. / Rumson Fair Haven",Business,,
68,,81.0,Ajahn Rue,,R-So.,WR,5-11,170.0,Merrimack,"Stoughton, Mass. / Wibraham & Monson Academy",Music,,
69,,82.0,Myles Wilson,,So.,WR,6-1,210.0,Merrimack,"Brockton, Mass. / Thayer Academy",Health Sciences,,
70,,83.0,LJ Robinson,,Jr.,WR,6-3,215.0,Merrimack,"Baltimore, Md. / Saint Frances Academy HS",,,
71,,86.0,Michael Nadeau,,R-Fr.,WR,6-1,170.0,Merrimack,"Auburn, Mass. / Auburn High School",,,
72,,87.0,Pat Conroy,,Sr.,H-Back,6-3,240.0,Merrimack,"Reading, Mass. / Reading Memorial",Business,,
73,,88.0,Hayden Fisher,,Jr.,WR,6-1,185.0,Merrimack,"Washington, D.C. / Gonzaga College H.S.",,,
74,,89.0,Jack McManus,,R-Fr.,H-Back,6-2,240.0,Merrimack,"Wallingford, CT / Choate Rosemary Hall",,,
75,,90.0,Jackson McCarty,,Sr.,DL,6-2,310.0,Merrimack,"York, Maine / York / Deerfield Academy",Communications,,
76,,91.0,Bryce Ricks,,R-Fr.,DL,6-1,325.0,Merrimack,"Gaithersburg, MD / Quince Orchard",,,
77,,92.0,Tyler Leavy,,Jr.,DL,5-11,290.0,Merrimack,"Baltimore, Md. / Mount St. Joseph HS",Criminal Justice,,
78,,93.0,Kelvin Cheridor,,So.,DL,6-4,270.0,Merrimack,"Holbrook, MA / Southeastern Regional HS",,,
79,,94.0,Nick Martino,,Gr.,DL,6-0,275.0,Merrimack,"Johnston, R.I. / Bishop Hendricken / Wyoming Seminary",Criminal Justice,,
80,,95.0,Matt Sokol,,Jr.,K/P,6-0,190.0,Merrimack,"Medfield, Mass. / Catholic Memorial",Business Marketing,,
81,,97.0,Lliam Davis,,Jr.,K/P,5-8,190.0,Merrimack,"Johannesburg, South Africa / East Coast Prep",,,
82,,98.0,Jason Compoh,,So.,DL,6-1,240.0,Merrimack,"Nashua, N.H. / Nashua South",Exercise Science,,
83,,,Anthony Aviles,,Fr.,OL,6-3,290.0,Merrimack,/ Depaul Catholic,,,
84,,,Markeith Hogan,,Fr.,LB,6-0,210.0,Merrimack,/ Gonzaga College Prep,,,
85,,,Amir Johnson,,Fr.,OL,6-3,305.0,Merrimack,East Coast Prep /,,,
86,,,Cidney Johnson,,Fr.,DL,6-4,230.0,Merrimack,/ St Paul (MD),,,
87,,,Matthias Latham,,Fr.,ATH,5-10,190.0,Merrimack,/ Central Catholic,,,
88,,,Paris Lenon,,Fr.,LB,6-2,190.0,Merrimack,/ Williston Northampton,,,
89,,,Jalen McDonald,,Fr.,WR,5-11,180.0,Merrimack,/ Gonzaga College Prep,,,
90,,,Tavon McGee,,Fr.,RB,6-1,210.0,Merrimack,/ Baltimore Poly Tech,,,
91,,,Sean Mercuri,,Fr.,LB,5-11,215.0,Merrimack,/ Central Catholic,,,
92,,,Austin Palmer,,Fr.,WR,6-2,205.0,Merrimack,/ Bishop McNamara,,,
93,,,Deandre Ricks,,Fr.,DB,5-11,180.0,Merrimack,/ DeMatha Catholic,,,
94,,,Brandon Smith,,Fr.,OL,6-2,305.0,Merrimack,/ DeMatha Catholic,,,
95,,,Seth Sweitzer,,Fr.,WR,5-10,185.0,Merrimack,/ Choate School,,,
96,,,Bryce Warrick,,Fr.,DL,6-0,295.0,Merrimack,/ Springfield Central,,,
97,,,Brendon Wyatt,,Fr.,RB,5-11,195.0,Merrimack,/ DeMatha Catholic,,,
0,,,Dan Curran,,,,,,Merrimack,,,,Head Football Coach
1,,,Mike Gennetti,,,,,,Merrimack,,,,Associate Head Football Coach/Defensive Coordinator/ Linebackers
2,,,Bryan Robbat,,,,,,Merrimack,,,,Assistant Head Coach/Recruiting Coordinator/Special Teams Coordinator/Defensive Backs
3,,,Gee White,,,,,,Merrimack,,,,Defensive Run Game Coordinator/Defensive Line
4,,,Aynsley Rosenbaum,,,,,,Merrimack,,,,Quarterbacks Coach/Passing Game Coordinator/Director of Operations
5,,,Tim Christensen,,,,,,Merrimack,,,,Running Backs / Video Coordinator
6,,,Matt Schell,,,,,,Merrimack,,,,Wide Receivers Coach
7,,,Jared Smith,,,,,,Merrimack,,,,Assistant Defensive Backs/Safeties Coach
8,,,Paul Blaikie,,,,,,Merrimack,,,,Offensive Assistant
9,,,Colin Walsh,,,,,,Merrimack,,,,Offensive Assistant
10,,,Jeff Stern,,,,,,Merrimack,,,,"Assistant Director/Strength & Conditioning (FB, WBB, WTEN, Throws)"
11,,,"Michaela Day, MS, LAT, ATC, CES",,,,,,Merrimack,,,,Athletic Trainer
