,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown (Prev School),Current School Name,Previous School,Image,Title
75,,83,Nicholas Dobson,TE,6-3,245.0,Jr.,"Teachey, N.C. / Wallace-Rose Hill",North Carolina A&T,,,
76,,84,Laquan Veney,WR,5-11,175.0,R-Fr.,"Richmond, Va. / Highland Springs",North Carolina A&T,,,
77,,87,Nick Wilds-Lawing,WR,6-3,195.0,R-So.,"Concord,N.C. / Northwest Cabarrus",North Carolina A&T,,,
78,,88,Ger-Cari Caldwell,WR,6-4,195.0,R-So.,"Rock Hill, S.C. / Northwestern (University of South Carolina)",North Carolina A&T,,,
79,,90,Janorris Robertson,DE,6-4,240.0,R-Jr.,"Jacksonville, Fla. / Raines",North Carolina A&T,,,
80,,93,Jhyheem Pittman,DL,6-3,295.0,R-Fr.,"Greensboro, N.C. / Dudley",North Carolina A&T,,,
81,,94,Jelani King-Leverett,DE,6-4,225.0,R-Fr.,"Grand Rapids, Mich. / East Grand Rapids",North Carolina A&T,,,
82,,98,Javon Armstrong-Grady,DE,6-2,235.0,R-So.,"New Bern, N.C. / Pamlico County",North Carolina A&T,,,
83,,,Chase Adams,DL,6-1,280.0,So.,"Winston-Salem, N.C. / Walkertown",North Carolina A&T,,,
0,,,Vincent Brown,,,,,,North Carolina A&T,,,Head Coach
1,,,Ron Mattes,,,,,,North Carolina A&T,,,Offensive Line
2,,,Nate Poole,,,,,,North Carolina A&T,,,Wide Receivers
3,,,Chris Young,,,,,,North Carolina A&T,,,Offensive Coordinator/Quarterbacks
4,,,Josh Zidenberg,,,,,,North Carolina A&T,,,Defensive Coordinator/Linebackers
5,,,Charles Bankins,,,,,,North Carolina A&T,,,Running Backs/Special Teams Coordinator
6,,,Keith Henry,,,,,,North Carolina A&T,,,Safeties
7,,,Eric Gallon,,,,,,North Carolina A&T,,,Tight Ends
8,,,Almondo Curry,,,,,,North Carolina A&T,,,Cornerbacks
9,,,Kenard Lang,,,,,,North Carolina A&T,,,Defensive Line
0,,,DeShaun Massey,,,,,,North Carolina A&T,,,Video Coordinator
