,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,Gianini Belizaire,DL,6-1,310.0,So.,"Gonaives, Haiti / Snider",Indiana State,Southern Illinois University,,,
1,,0.0,Michael Haupert,QB,5-11,185.0,R-Jr.,"Fort Wayne, Ind. / Snider",Indiana State,,,,
2,,1.0,Dakota Caton,WR,5-10,185.0,R-Jr.,"Sullivan, Ind. / Sullivan",Indiana State,,,,
3,,1.0,Stephen Ruiz,K,6-5,220.0,R-Jr.,"Naperville, Ill. / Neuqua Valley",Indiana State,Boston College/University of New Mexico,,,
4,,2.0,Geoffrey Brown,LB,6-1,230.0,So.,"Fishers, Ind. / Fishers",Indiana State,,,,
5,,3.0,Michael Lufile,LB,6-2,235.0,R-Jr.,"Grand Prairie, Texas / South Grand Prairie",Indiana State,Monroe College/Cisco College,,,
6,,4.0,Tee Hodge,RB,6-1,215.0,R-Fr.,"Maryville, Tenn. / Maryville",Indiana State,University of Tennessee,,,
7,,4.0,Ethan Hoover,DB,5-11,205.0,R-So.,"Fort Wayne, Ind. / Snider",Indiana State,,,,
8,,5.0,Omarion Dixon,RB,6-1,210.0,R-Fr.,"Lafayette, Ind. / Harrison",Indiana State,,,,
9,,5.0,Antoineo Harris Jr.,DL,6-4,245.0,So.,"Chicago, Ill. / Morton West",Indiana State,Iowa Central Community College,,,
10,,5.0,Tanner Klein,WR,6-0,190.0,R-So.,"Champaign, Ill. / Byron",Indiana State,,,,
11,,6.0,Kris Reid Jr.,DL,6-2,245.0,R-Sr.,"Chicago, Ill. / St. Joseph Westchester",Indiana State,,,,
12,,6.0,Harry Van Dyne,WR,6-5,220.0,R-Sr.,"Overland Park, Kan. / Blue Valley",Indiana State,University of Minnesota,,,
13,,7.0,Johnathan Edwards,DB,6-1,200.0,So.,"St. Louis, Mo. / Parkway North",Indiana State,,,,
14,,7.0,Evan Olaes,QB,6-0,205.0,R-Fr.,"North Las Vegas, Nev. / Legacy",Indiana State,Colorado State University,,,
15,,8.0,Dante Hendrix,WR,6-3,210.0,R-Sr.,"Florence, Ky. / Randall K. Cooper",Indiana State,,,,
