,Statistic,#,Full Name,Pos.,Year,Ht.,Wt.,Hometown,High School,C,Image,Name,Title
5,,,,,,,,,,,,Heather Marini,"Assistant Coach, Quarterbacks"
6,,,,,,,,,,,,Eric Bunker,"Assistant Coach, Wide Receivers"
7,,,,,,,,,,,,Michael McCarthy,"Assistant Coach, Offensive Line"
8,,,,,,,,,,,,Michael Donovan,"Assistant Coach, Defensive Line and Recruiting Coordinator"
9,,,,,,,,,,,,Matt O'Donnell '12,"Assistant Coach, Cornerbacks"
10,,,,,,,,,,,,Matt Crisafulli,Offensive Quality Control Assistant
11,,,,,,,,,,,,Jimmy Picerelli,Defensive Quality Control Assistant
0,,,,,,,,,,,,Paul Frisone,Director of Player Development
1,,,,,,,,,,,,Hunter Williams,Director of Football Operations
2,,,,,,,,,,,,Kristen Van Iderstine,Director of Football Administration
3,,,,,,,,,,,,Brandon O'Neall,Head Strength & Conditioning Coach
4,,,,,,,,,,,,Erin Variano,Head Football Athletic Trainer
5,,,,,,,,,,,,Brett Mastropoll,Athletic Trainer
6,,,,,,,,,,,,Alexa Hambly,Athletic Trainer
7,,,,,,,,,,,,Hayleigh Hanson,Assistant Athletic Trainer
8,,,,,,,,,,,,Zachary Atkins,Equipment Room Specialist
9,,,,,,,,,,,,Tim Geer,Assistant Director of Athletic Communications
10,,,,,,,,,,,,Jake Silverman,"Deputy Director of Athletics, Administration"
