,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Image,Title
2,,,Danny Lewis,,,,,,The Citadel,,Assistant Head Coach / TE
3,,,Patrick Covington,,,,,,The Citadel,,Offensive Coordinator / OL
4,,,Raleigh Jackson,,,,,,The Citadel,,Defensive Coordinator / LB
5,,,Everette Sands,,,,,,The Citadel,,Offensive Skill Specialist
6,,,Jackson Eskierka,,,,,,The Citadel,,Quarterbacks
7,,,Josh Jones,,,,,,The Citadel,,Defensive Backs
8,,,Lamar Owens,,,,,,The Citadel,,Cornerbacks
9,,,Joe Call,,,,,,The Citadel,,Assistant to the Head Coach / Game Day Management
10,,,Dominique Allen,,,,,,The Citadel,,Offensive Quality Control
11,,,Blaze Barista,,,,,,The Citadel,,Defensive Quality Control
