,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Image,Name,Title
86,,94.0,Parker Jacobs,DL,6-4,250.0,Jr.,"Chandler, Ariz.",Basha,,,
87,,95.0,Josh Kauvesi,DL,6-2,330.0,Jr.,"Santa Rosa, Calif.",Maria Carrillo,,,
88,,96.0,Nathan Carabatsakis,DE,6-4,230.0,Jr.,"Winnipeg, Manitoba",Clearwater Academy (Fla.),,,
89,,97.0,Noah Steverson,DL,6-3,275.0,Sr.,"Rohnhert Park, Calif.",Cardinal Newman,,,
90,,98.0,Lucas Lambert,DL,6-3,260.0,Fr.,"Cranberry Township, Pa.",Seneca Valley,,,
91,,99.0,Mason Reese,DL,6-2,330.0,Jr.,"Walnut Creek, Calif.",Las Lomas,,,
0,,,,,,,,,,,"Bernard Clark, Jr.",Head Coach
1,,,,,,,,,,,Rod Holder,Associate Head Coach / OL
2,,,,,,,,,,,Dave Plungas,Assistant Head Coach / DC / LB
3,,,,,,,,,,,Josh Firm,Assistant Coach (Offensive Coordinator / Running Backs)
4,,,,,,,,,,,Bart Tanski,Assistant Coach (Safeties / Recruiting Coordinator)
5,,,,,,,,,,,Glenn Davis,Assistant Coach (CB / Defensive Pass Game Coordinator)
6,,,,,,,,,,,Delbert Tyler,Assistant Coach (Tight Ends)
7,,,,,,,,,,,Darius Davis,Assistant Coach (Defensive Line)
8,,,,,,,,,,,Natalie Chifulini,Football Data Analyst
0,,,,,,,,,,,Rob Day,Strength & Conditioning
