,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Image,Title
25,,28.0,Joseph Groves,S,6-1,200.0,Jr.,"Leesburg, Va. / Loudoun County / Lafayette",William & Mary,,
26,,29.0,Will Whitehurst,K,6-3,180.0,Sr.,"Greenville, N.C. / Conley",William & Mary,,
27,,30.0,Isaiah Jones,LB,6-1,245.0,Sr.,"Norristown, Pa. / La Salle College",William & Mary,,
28,,31.0,Bradley Perkins,RB,5-11,185.0,R-Fr.,"Richmond, Va. / Douglas S. Freeman",William & Mary,,
29,,32.0,Desmond Cook,LB,6-0,235.0,R-Fr.,"Chesapeake, Va. / Western Branch",William & Mary,,
30,,33.0,Jonathan Egwuatu,OLB,6-4,240.0,Jr.,"Pfafftown, N.C. / Ronald W. Reagan",William & Mary,,
31,,34.0,Alex Washington,ILB,6-1,215.0,Jr.,"Mineral, Va. / Louisa County",William & Mary,,
32,,35.0,Quinn Osborne,ILB,6-2,215.0,Jr.,"Mitchellville, Md. / Bishop McNamara School",William & Mary,,
33,,36.0,Drew Ball,DB,6-0,180.0,R-Fr.,"Duluth, Ga. / Wesleyan",William & Mary,,
34,,37.0,Quinn Devlin,WR,6-0,185.0,R-Fr.,"Livingston, N.J. / Livingston",William & Mary,,
35,,39.0,Bryson Harvey,K,6-2,185.0,R-Fr.,"Daleville, Va. / Lord Botetourt",William & Mary,,
36,,40.0,Stewart Harrington III,OLB,6-2,225.0,R-Fr.,"Bowie, Md. / Bowie",William & Mary,,
37,,41.0,Tyson Garrett,OLB,6-0,185.0,R-Fr.,"Sussex, Va. / Sussex Central",William & Mary,,
38,,42.0,Cade Mattive,OLB,6-3,220.0,R-Fr.,"Fredericksburg, Va. / Riverbend",William & Mary,,
39,,43.0,John Kearney,S,6-0,195.0,Jr.,"Ridgewood, N.J. / Ridgewood",William & Mary,,
40,,44.0,Kyle Reviello,LB,6-3,205.0,R-Fr.,"Colonial Beach, Va. / King George",William & Mary,,
41,,45.0,Ryan Shonk,FB,6-0,220.0,So.,"Penn Laird, Va. / Spotswood",William & Mary,,
42,,46.0,Drew Babcock,LB,6-2,210.0,Sr.,"Blacksburg, Va. / Blacksburg",William & Mary,,
43,,48.0,Brayden Staib,LB,6-3,215.0,Sr.,"Midlothian, Va. / Midlothian",William & Mary,,
44,,49.0,Andrew Piercy,K/P,6-1,190.0,So.,"Nokesville, Va. / Kettle Run",William & Mary,,
45,,50.0,Drew Sotka,OLB,6-0,215.0,Jr.,"Glenelg, Md. / Glenelg",William & Mary,,
46,,51.0,Nick Levy,LS,5-10,210.0,So.,"Ashburn, Va. / Broad Run",William & Mary,,
47,,53.0,Bart Francois,OL,6-3,300.0,Sr.,"Montvale, N.J. / St. Joseph Regional",William & Mary,,
48,,56.0,Christian Hamm,OLB,6-3,215.0,So.,"Fredericksburg, Va. / James Monroe",William & Mary,,
49,,57.0,Davin Dzidzienyo,DL,6-4,285.0,So.,"Northwest, D.C. / Dematha Catholic",William & Mary,,
50,,60.0,Charles Grant,OL,6-4,275.0,Jr.,"Portsmouth, Va. / Churchland",William & Mary,,
51,,61.0,Rian Haigler,OL,6-4,305.0,Sr.,"Laurel, Md. / St. John's College",William & Mary,,
52,,62.0,AJ Woodard,OL,6-2,270.0,R-Fr.,"Newport News, Va. / Warwick",William & Mary,,
53,,64.0,Elijah Booth,OL,6-5,275.0,Jr.,"Mount Pleasant, S.C. / Wando",William & Mary,,
54,,67.0,Trey Grant,OL,6-4,275.0,So.,"Woodstock, Va. / Central",William & Mary,,
55,,71.0,Aidan Cunningham,OL,6-6,285.0,R-Fr.,"Falls Church, Va. / Falls Church",William & Mary,,
56,,72.0,Kadin Lynch,OL,6-4,290.0,R-Fr.,"Weaverville, N.C. / Asheville",William & Mary,,
57,,75.0,Ryan McKenna,OL,6-4,285.0,Jr.,"Doylestown, Pa. / Central Bucks West",William & Mary,,
58,,77.0,Joey Svoboda,OL,6-5,230.0,R-Fr.,"Fleetwood, Pa. / Fleetwood Area",William & Mary,,
59,,78.0,Marcus Crowell,OL,6-5,295.0,Sr.,"Florence, N.J. / Montclair",William & Mary,,
60,,79.0,Greg Klingensmith,OL,6-5,275.0,R-Fr.,"Apollo, Pa. / Apollo Ridge",William & Mary,,
61,,80.0,Carson Jenkins,WR,5-10,175.0,R-Fr.,"Gate City, Va. / Gate City",William & Mary,,
62,,82.0,Kyle Love,WR,6-3,180.0,R-Fr.,"Ashburn, Va. / Broad Run",William & Mary,,
63,,83.0,Tyler Oedekoven,WR,6-0,190.0,Sr.,"Erie, Pa. / Cathedral Prep / UAlbany",William & Mary,,
64,,84.0,Joseph Johnson,WR,6-3,195.0,R-Fr.,"Alexandria, Va. / Bishop Ireton",William & Mary,,
65,,85.0,Trey McDonald,TE,6-6,225.0,So.,"Kinnelon, N.J. / Kinnelon",William & Mary,,
66,,87.0,Sean McElwain,TE,6-5,210.0,R-Fr.,"Glen Allen, Va. / Glen Allen",William & Mary,,
67,,88.0,Owen Copeland,TE,6-4,210.0,R-Fr.,"Sterling, Va. / Potomac Falls",William & Mary,,
68,,89.0,Colton Turner,TE,6-4,235.0,Jr.,"Plano, Texas / Home School",William & Mary,,
69,,90.0,Tanner Slavic,DL,6-5,260.0,So.,"Uniontown, Pa. / Morgantown",William & Mary,,
70,,91.0,Sammy Sarantis,DL,6-4,285.0,Jr.,"Oakton, Va. / James Madison",William & Mary,,
71,,92.0,Momen Zahid,DL,6-5,285.0,So.,"Ashburn, Va. / Stone Bridge",William & Mary,,
72,,93.0,Ryan Wozniak,DL,6-4,240.0,R-Fr.,"Ashburn, Va. / Broad Run",William & Mary,,
73,,94.0,Garrett Huyck,DL,6-5,285.0,Jr.,"Chapin, S.C. / Chapin",William & Mary,,
74,,95.0,Mike Malone,DE,6-4,285.0,Jr.,"Clark's Summit, Pa. / Abington Heights",William & Mary,,
75,,98.0,Harrison Daley,DL,6-4,250.0,R-Fr.,"Oakton, Va. / Flint Hill",William & Mary,,
76,,99.0,Nate Lynn,DL,6-3,255.0,Sr.,"Charlotte, N.C. / Zebulon B. Vance",William & Mary,,
77,,,Jackson Blee,TE,6-6,230.0,Fr.,"Belmont, N.C. / South Point",William & Mary,,
78,,,Noah Brannock,QB,6-0,200.0,Fr.,"Forest Hill, Md. / Calbert Hall",William & Mary,,
79,,,Clayton Dobler,LB,6-4,220.0,Fr.,"Midlothian, Va. / James River",William & Mary,,
80,,,Kamron Frye,OL,6-4,280.0,Fr.,"Fredericksburg, Va. / Dematha",William & Mary,,
81,,,Sascha Garcia,DB,6-2,190.0,Fr.,"Clinton, Md. / Potomack",William & Mary,,
82,,,Xavier Glass,LB,6-2,240.0,Fr.,"Virginia Beach, Va. / Landstown",William & Mary,,
83,,,TJ McGill,DB,5-11,175.0,Fr.,"Charlotte, N.C. / Chambers",William & Mary,,
84,,,Luka O'Day,OL,6-5,280.0,Fr.,"Darnestown, Md. / Georgetown Prep",William & Mary,,
85,,,Elijah Rainer,LB,6-0,220.0,Fr.,"Moseley, Va. / Trinity Episcopal",William & Mary,,
86,,,Hayden Raley,OL,6-5,290.0,Fr.,"Maidens, Va. / Goochland",William & Mary,,
87,,,Garrett Robertson,WR,6-3,180.0,Fr.,"Chantilly, Va. / Chantilly",William & Mary,,
88,,,Brendan Robinson,DB,5-11,175.0,Fr.,"Leesburg, Va. / Paul VI",William & Mary,,
89,,,James Spainhour,OL,6-5,270.0,Fr.,"King, N.C. / West Stokes",William & Mary,,
90,,,Gent Veizi,DL,6-2,275.0,Fr.,"Centreville, Va. / Centreville",William & Mary,,
91,,,Gerald Williams,DL,6-2,290.0,Fr.,"Olney, Md. / Good Counsel",William & Mary,,
0,,,Mike London,,,,,,William & Mary,,Head Coach
1,,,Christian Taylor,,,,,,William & Mary,,"Offensive Coordinator, Running Backs Coach"
2,,,Ras-I Dowling,,,,,,William & Mary,,Co-Defensive Coordinator / Secondary Coach
3,,,Bo Revell,,,,,,William & Mary,,Co-Defensive Coordinator / Inside Linebackers Coach
4,,,Matt Johns,,,,,,William & Mary,,Passing Game Coordinator / Quarterbacks Coach
5,,,Keenan Carter,,,,,,William & Mary,,Recruiting Coordinator / Defensive Line Coach
6,,,Darryl Blackstock,,,,,,William & Mary,,Special Teams Coordinator / Outside Linebackers Coach
7,,,Mario Acitelli,,,,,,William & Mary,,Run Game Coordinator / Offensive Line Coach
8,,,Mike London Jr.,,,,,,William & Mary,,"Wide Receivers Coach, Video Director"
9,,,Jack Armstrong,,,,,,William & Mary,,"Tight Ends Coach, Recruiting Director"
10,,,Bill Parker,,,,,,William & Mary,,Defensive Assistant / Nickel Backs Coach
11,,,Bill Cole,,,,,,William & Mary,,Assoc. AD Football Administration
12,,,Peggy Lukas,,,,,,William & Mary,,Executive Assistant to the Head Football Coach
