,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Class,Current School Name,Hometown,High School,Name,Title
48,,,45.0,Garrett Crawford,DL,6-1,250.0,Sr.,Southeastern Louisiana,"Slidell, La.",Salmen HS,,
49,,,46.0,Joshua Randall,DL,6-2,205.0,R-So.,Southeastern Louisiana,"New Orleans, La.",Edna Karr HS,,
50,,,48.0,Kaleb Proctor,DL,6-3,255.0,So.,Southeastern Louisiana,"Oak Grove, La.",Oak Grove HS,,
51,,,49.0,Mason Dailey,LB,5-11,225.0,So.,Southeastern Louisiana,"Baker, La.",Baker HS,,
52,,,49.0,Alec Mahler,K/P,5-10,185.0,R-Fr.,Southeastern Louisiana,"Vacherie, La.",St. James HS,,
53,,,50.0,Tommy Lee,LB,5-11,215.0,Jr.,Southeastern Louisiana,"Amite, La.",Oak Forest Academy,,
54,,,51.0,Matthew Joseph III,DL,5-11,265.0,Rf.,Southeastern Louisiana,"Vinton, La.",Vinton HS,,
55,,,52.0,Noah Devlin,OL,6-3,290.0,R-So.,Southeastern Louisiana,"New Orleans, La.",De La Salle HS,,
56,,,53.0,Austin Kent,DL,5-10,270.0,R-Jr.,Southeastern Louisiana,"New Orleans, La.",Edna Karr HS,,
57,,,54.0,Brockhim Wicks,OL,6-2,295.0,R-Jr.,Southeastern Louisiana,"Plaquemine, La.",Plaquemine HS,,
58,,,55.0,John Allen,OL,6-1,310.0,Sr.,Southeastern Louisiana,"Jackson, Miss.",Forest Hill HS,,
59,,,56.0,Javin Turner,OL,6-2,280.0,R-So.,Southeastern Louisiana,"Patterson, La.",Patterson HS,,
60,,,57.0,Jermaine Vessell,DL,6-0,215.0,Fr.,Southeastern Louisiana,"Baton Rouge, La.",Catholic HS,,
61,,,58.0,Rodney Sopsher,DL,6-1,275.0,R-Jr.,Southeastern Louisiana,"Amite, La.",Amite HS,,
62,,,59.0,Beau Davis,DL,6-1,280.0,R-So.,Southeastern Louisiana,"Houston, Texas",West Bloomfield HS,,
63,,,61.0,Holden Kareokowsky,OL,6-3,305.0,R-So.,Southeastern Louisiana,"New Orleans, La.",De La Salle HS,,
64,,,62.0,William Granville,OL,5-11,290.0,R-Jr.,Southeastern Louisiana,"Zachary, La.",Zachary HS,,
65,,,63.0,Dom Serapiglia III,OL,6-2,315.0,R-Jr.,Southeastern Louisiana,"Jefferson Hills, Pa.",Thomas Jefferson HS,,
66,,,66.0,Alex Smith,OL,6-3,275.0,R-Fr.,Southeastern Louisiana,"Mandeville, La.",Fontainebleau HS,,
67,,,70.0,Nicholas Smith,OL,6-3,315.0,So.,Southeastern Louisiana,"Baton Rouge, La.",Southern Lab HS,,
68,,,71.0,Gavin Burtchaell,OL,6-6,285.0,R-So.,Southeastern Louisiana,"Chalmette, La.",Chalmette HS,,
69,,,72.0,Brennan Lanclos,OL,6-7,300.0,R-Jr.,Southeastern Louisiana,"Mandeville, La.",Lakeshore HS,,
