,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Image,Name,Title
89,,85.0,Joshua Johnson,WR,5-9,160.0,Fr.,"Danville, Calif. / San Roman Valley HS",,,
90,,87.0,Caiou Chatman,WR,6-0,160.0,Fr.,"Mission Hills, Calif. / Bishop Alemany HS",,,
91,,88.0,Claude Coleman,WR,6-1,190.0,So.,"Baton Rouge, La. / Baker HS",,,
92,,90.0,Terrion Morgan,DL,6-1,220.0,Fr.,"Bastrop, La. / Bastrop HS",,,
93,,91.0,Cameron Richardson,DL,6-2,300.0,Sr.,"Stone Mountain, Ga. / Tucker HS",,,
94,,92.0,Wesley Green,DL,6-0,326.0,Sr.,"Desoto, Texas / Desoto HS",,,
95,,93.0,Syemere Roberts,DL,6-0,297.0,Jr.,"Ruston, La. / Ruston HS",,,
96,,94.0,Byron Jones,DL,6-3,215.0,Fr.,"San Bernardino, Calif. / Indian Springs HS",,,
97,,95.0,Javon Carter,DL,6-4,258.0,So.,"Lemannville, La. / East Ascension HS",,,
98,,96.0,Markeis Sykes,DE,6-3,205.0,Fr.,"Lancaster, Texas / Lancaster HS",,,
99,,97.0,Lane Lewis,DL,6-2,226.0,So.,"Allen, Texas. / Allen HS",,,
100,,98.0,Jaden Hardy,DL,6-3,285.0,So.,"Savannah, Ga. / Island HS",,,
101,,99.0,Xavier Cousar,DL,6-2,290.0,So.,"Irvine, Calif. / Long Beach City College",,,
102,,,Taylun Druilhet,DB,6-1,180.0,R-Fr.,"Baldwin, La. / West St. Mary HS",,,
103,,,Trajon Freeman,DB,6-3,205.0,Fr.,"Baton Rouge, La. / Capitol HS",,,
104,,,Daquirs Griffin,LB,6-1,225.0,Sr.,"Houma, La. / Arizona Western",,,
105,,,Jordan Harris,LB,5-10,210.0,Fr.,"Little Rock, Ark. / Southwest HS",,,
106,,,Jalen Leonard,WR,5-10,150.0,So.,"Vista Murrieta, Calif. / Benedictine College",,,
107,,,Eric Outley,WR,5-7,140.0,So.,"Ruston, La. / Ruston HS",,,
108,,,DJ Rabb,WR,5-9,170.0,Sr.,"Natchitoches, La. / Texas A&M-Kingsville",,,
109,,,Zach Williams,LB,6-2,235.0,Fr.,"Walnut Grove, Miss. / Leake County HS",,,
0,,,,,,,,,,Hue Jackson,Head Coach
1,,,,,,,,,,John Simon,Assistant Head Coach / Offensive Coordinator / Wide Receivers
2,,,,,,,,,,Cedric Thornton,Associate Head Coach / Defensive Coordinator
3,,,,,,,,,,Ken Delgado,Defensive Line
4,,,,,,,,,,Saeed Lee,Cornerbacks
5,,,,,,,,,,Tim McTyer,Safeties
6,,,,,,,,,,Robert Valdez,Offensive Line
7,,,,,,,,,,Ryan Weston,Tight Ends
8,,,,,,,,,,Kris Peters,Running Backs
9,,,,,,,,,,Devante Kincade,Quarterbacks
10,,,,,,,,,,Chris Scott,General Manager / Special Teams Coach
11,,,,,,,,,,Adin Trujillo,Offensive Analyst
12,,,,,,,,,,Yusupha Foster,Defensive Graduate Assistant
13,,,,,,,,,,Jamar Harp,Special Teams Analyst
