,Statistic,#,Image,Full Name,Year,Pos.,Ht.,Wt.,Current School Name,Hometown / High School,Name,Title
55,,40d,,Will Cohen,Fr.,RB,5-10,180.0,Dayton,"Fairfax, Va. / Robinson",,
56,,41,,Ty Stylski,R-So.,RB,5-10,195.0,Dayton,"Mason, Ohio / Kings",,
57,,42,,Michael Neel,Sr.,RB,5-10,195.0,Dayton,"Charlotte, N.C. / Charlotte Catholic",,
58,,43,,Nathan Arthur,Sr.,LB,5-11,222.0,Dayton,"Cincinnati, Ohio / St. Xavier",,
59,,43d,,Levi Moell,R-Fr.,WR,5-6,179.0,Dayton,"West Liberty, Ohio / West Liberty-Salem",,
60,,44,,Jacob Schachte,R-So.,S,6-0,205.0,Dayton,"Charlotte, N.C. / Charlotte Catholic",,
61,,45,,Cam Cope,Fr.,CB,5-11,180.0,Dayton,"Cincinnati, Ohio / La Salle",,
62,,46,,Luke Mitchell,So.,S,6-1,175.0,Dayton,"Dayton, Ohio / Vandalia-Butler",,
63,,47,,Eli Kirk,R-Fr.,S,6-1,190.0,Dayton,"Milford, Ohio / St. Xavier",,
64,,48,,Gideon Lampron,R-Fr.,LB,5-11,220.0,Dayton,"LaGrange, Ohio / Keystone",,
65,,49,,David Maurer,R-Fr.,K,6-3,215.0,Dayton,"Cincinnati, Ohio / Elder",,
66,,50,,Dan Kowaleski,R-So.,LB,6-0,217.0,Dayton,"South Elgin, Ill. / St. Charles North",,
67,,51,,Jackson Ward,R-Fr.,OL,6-4,266.0,Dayton,"Cincinnati, Ohio / Walnut Hills",,
68,,52,,Brian Stevens,Sr.,OG,6-2,290.0,Dayton,"Milford, Ohio / Milford",,
69,,53,,David Tkatch,Sr.,OL,6-2,291.0,Dayton,"Harmony, Pa. / Seneca Valley",,
70,,54,,Ben Huefner,R-Fr.,OL,6-3,280.0,Dayton,"Powell, Ohio / Olentangy Liberty",,
71,,55,,Stuart Young,R-Fr.,OL,6-3,284.0,Dayton,"Memphis, Tenn. / St. George’s",,
72,,56,,George Fanelli,Sr.,OG,6-1,262.0,Dayton,"Evergreen Park, Ill. / Marist",,
73,,57,,Jerell Lewis,Jr.,DE,6-1,245.0,Dayton,"Piqua, Ohio / Piqua",,
74,,58,,Drew Robertson,Sr.,DT,6-1,298.0,Dayton,"Cranberry Township, Pa. / Seneca Valley",,
75,,59,,Logan Osborne,R-Fr.,OG,6-7,231.0,Dayton,"Middletown, Ohio / Middletown",,
76,,60,,Marc Rumpke,R-Jr.,C,6-2,303.0,Dayton,"Lexington, Ky. / Lexington Catholic",,
77,,61,,Nate Hess,R-Fr.,DT,6-2,270.0,Dayton,"Hartland, Wisc. / Arrowhead",,
78,,62,,Joe Lansing,R-So.,OG,6-2,280.0,Dayton,"Baldwin, Mo. / St. Louis University H.S.",,
79,,63,,Colin Koennecke,R-So.,OT,6-5,250.0,Dayton,"Hudson, Ohio / Hudson",,
80,,64,,Connor Muck,Jr.,OL,6-5,296.0,Dayton,"Perrysburg, Ohio / Perrysburg",,
81,,65,,Luke Bernstein,R-So.,OT,6-5,280.0,Dayton,"St. Louis, Mo. / MICDS",,
82,,68,,Dylan DeMaison,So.,OL,6-2,293.0,Dayton,"Cincinnati, Ohio / La Salle",,
83,,69,,Chase Brown,So.,DE,6-2,225.0,Dayton,"Cincinnati, Ohio / Moeller",,
84,,70,,Austin Yeager,So.,LS,6-4,200.0,Dayton,"Mission Viejo, Calif. / Trabuco Hills",,
85,,71,,Conor Clyde,R-Fr.,C,6-5,291.0,Dayton,"Chicago, Ill. / Loyola Academy",,
86,,72,,Hunter Koehler,R-Fr.,DE,6-3,200.0,Dayton,"Wharton, Ohio / Riverdale",,
87,,73,,Elliott Braun,R-Fr.,DT,6-3,230.0,Dayton,"Dayton, Ohio / Carroll",,
88,,74,,Sam Schadek,Sr.,DT,6-3,270.0,Dayton,"Columbus, Ohio / Upper Arlington",,
89,,75,,Hayden Snyder,Sr.,LS,6-0,198.0,Dayton,"Elmhurst, Ill. / York Community",,
90,,77,,Tommy Shipman,R-Fr.,OT,6-5,280.0,Dayton,"Niles, Ill. / Notre Dame Prep",,
91,,78,,Johnny Mickler,R-So.,OL,6-3,284.0,Dayton,"Milford, Ohio / Milford",,
92,,79,,Jonathan Baker,R-So.,DT,6-2,230.0,Dayton,"Cincinnati, Ohio / La Salle",,
93,,80,,Kevin Roberts,Jr.,TE,6-3,255.0,Dayton,"Columbus, Ohio / Hilliard Davidson",,
94,,81,,Alec Keathley,R-So.,TE,6-3,230.0,Dayton,"Knoxville, Tenn. / Farragut",,
95,,82,,Silas Snell,R-Fr.,TE,6-5,245.0,Dayton,"Cincinnati, Ohio / Country Day",,
96,,83,,Joe Durham,Gr.,DE,6-3,249.0,Dayton,"Cincinnati, Ohio / Fenwick",,
97,,84,,Austin Bradfish,Sr.,TE,6-3,220.0,Dayton,"Loveland, Ohio / Moeller",,
98,,87,,Derek Willits,Sr.,WR,6-3,206.0,Dayton,"Centerville, Ohio / Alter",,
99,,88,,Joe Gits,R-So.,DT,6-0,272.0,Dayton,"Naperville, Ill. / Waubonsie Valley",,
100,,89,,Brian Dolby,R-So.,WR,5-9,175.0,Dayton,"Lake Forest, Ill. / New Trier",,
101,,90,,Mason Henry,Jr.,DE,6-2,236.0,Dayton,"Springboro, Ohio / Alter",,
102,,90d,,Andy Bauman,R-Fr.,TE,6-1,197.0,Dayton,"Kings Mills, Ohio / Kings",,
103,,91,,Jayson Harris-Woodard,R-Fr.,DE,6-3,225.0,Dayton,"Chicago, Ill. / Marist",,
104,,92,,Sam Webster,Sr.,K,5-10,265.0,Dayton,"Richfield, Ohio / Revere",,
105,,93,,Drew Nieman,Sr.,P,5-10,185.0,Dayton,"Cincinnati, Ohio / La Salle",,
106,,94,,Logan Forcum,R-Fr.,P,5-10,160.0,Dayton,"Cincinnati, Ohio / La Salle",,
107,,95,,Jack Wardzala,R-So.,DT,6-0,245.0,Dayton,"Indianapolis, Ind. / Roncalli",,
108,,96,,Troy Reisner,R-So.,DT,6-2,247.0,Dayton,"Liberty Township, Ohio / Lakota East",,
109,,97,,Robby Smart,R-Fr.,K,5-10,150.0,Dayton,"North Canton, Ohio / Hoover",,
0,,,,,,,,,Dayton,,Trevor Andrews,Head Coach
1,,,,,,,,,Dayton,,John Bowes,Defensive Coordinator/Defensive Backs
2,,,,,,,,,Dayton,,Greg Whalen,Offensive Coordinator/Offensive Line
3,,,,,,,,,Dayton,,Ted Hefter,Assistant Coach/Passing Game Coordinator/Quarterbacks Coach
4,,,,,,,,,Dayton,,Paul Amakihe,Assistant Coach/Linebackers
5,,,,,,,,,Dayton,,Sam Costantino,Assistant Coach/Wide Receivers/Recruiting Coordinator
6,,,,,,,,,Dayton,,Staymon Johnson,Assistant Coach / Defensive Ends
7,,,,,,,,,Dayton,,Ted Flaherty,Assistant Coach/Secondary
8,,,,,,,,,Dayton,,Mark Ewald,Assistant Coach/Running Backs
9,,,,,,,,,Dayton,,Andy Aracri,Assistant Coach/Defensive Tackles
10,,,,,,,,,Dayton,,Scott Horcher,Assistant Coach/Cornerbacks
0,,,,,,,,,Dayton,,Jake Speller,Director of Football Operations
