,Statistic,No.,Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School (Last School),Current School Name,Image,Title
0,,3.0,John Erby,R-Jr.,WR,5-10,185.0,"Chester, S.C. / Chester",Rhode Island,,
1,,4.0,Darius Savedge,R-Sr.,WR,6-3,215.0,"Surry County, Va. / Smithfield (Old Dominion)",Rhode Island,,
2,,5.0,Jaylen Smith,Jr.,RB,5-10,205.0,"Pawtucket, R.I. / Shea",Rhode Island,,
3,,6.0,Evan Stewart,Sr.,LB,6-0,225.0,"Sparta, N.J. / St. Joseph's Regional (Boston College)",Rhode Island,,
4,,7.0,Kennique Bonner-Steward,R-Jr.,QB,6-4,230.0,"Fayetteville, N.C. / William A. Hough (Coahoma CC)",Rhode Island,,
5,,8.0,Antonio Carter II,R-Jr.,DB,6-1,200.0,"Orlando, Fla. / Oak Ridge",Rhode Island,,
6,,8.0,Kasim Hill,R-Sr.,QB,6-2,234.0,"Washington, D.C. / St. John's College (Tennessee)",Rhode Island,,
7,,10.0,Ja'Den McKenzie,Gr.,RB,6-3,230.0,"Morton, Pa. / Springfield (West Chester)",Rhode Island,,
8,,11.0,Christian Arrington,R-Sr.,LB,6-2,230.0,"Mechanicsburg, Pa. / Cumberland Valley",Rhode Island,,
9,,13.0,Syeed Gibbs,R-Fr.,DB,6-0,180.0,"Everett, Mass. / Everett",Rhode Island,,
10,,14.0,Marquis Buchanan,R-Fr.,WR,6-4,175.0,"Providence, R.I. / Classical",Rhode Island,,
11,,15.0,Malachi Burby,R-Jr.,DL,6-3,265.0,"Berlin, Conn. / Cheshire Academy (Rutgers)",Rhode Island,,
12,,16.0,Jordan Colbert,Gr.,DB,6-3,215.0,"Clinton, Md. / Gonzaga Prep (Columbia)",Rhode Island,,
13,,17.0,Jamall Mensah,R-So.,WR,5-11,180.0,"Coquitlam, British Columbia (Canada) / Episcopal (Va.)",Rhode Island,,
14,,18.0,Kahtero Summers,Gr.,WR,6-3,213.0,"Coatesville, Pa. / Coatesville (Saint Francis)",Rhode Island,,
15,,19.0,Trevor Nored,R-Fr.,QB,6-1,220.0,"Waldorf, Md. / St. Mary’s Ryken College",Rhode Island,,
16,,20.0,Deon Silas,Jr.,RB,5-8,190.0,"Memphis, Tenn. / Steinbrenner (Fla.) (Iowa State)",Rhode Island,,
17,,21.0,Jaden Griffin,R-Fr.,RB,5-10,170.0,"Clearwater, Fla. / Countryside",Rhode Island,,
18,,22.0,Randy Jordan,R-Jr.,DB,5-9,175.0,"Tulare, Calif. / Tulare Union (Fresno State)",Rhode Island,,
19,,24.0,Rocco Cillino,R-So.,RB,5-9,185.0,"Westerly, R.I. / Westerly",Rhode Island,,
20,,25.0,Fredrick Mallay,Jr.,DB,5-9,175.0,"Providence, R.I. / Mt. Pleasant",Rhode Island,,
21,,27.0,Emmanuel Gomes,R-Jr.,DB,6-0,200.0,"Woonsocket, R.I. / Woonsocket",Rhode Island,,
22,,28.0,Kamalie Pemberton,R-Fr.,RB,5-9,180.0,"Warwick, R.I. / Bishop Hendricken",Rhode Island,,
23,,30.0,Andre DePina-Gray,R-Fr.,DB,6-1,216.0,"Pawtucket, R.I. / Saint Raphael Academy",Rhode Island,,
24,,32.0,Malik Hill,R-So.,DB,6-0,180.0,"North Providence, R.I. / Bishop Hendricken",Rhode Island,,
25,,33.0,Mekhi Bethel,Jr.,LB,6-1,220.0,"Orlando, Fla. / Lake Nona",Rhode Island,,
26,,34.0,Gabe Sloat,R-Jr.,RB,6-0,190.0,"North Kingstown, R.I. / North Kingstown",Rhode Island,,
27,,35.0,Johnny Alvarado,R-Jr.,LB,6-1,260.0,"Bloomfield, N.J. / Don Bosco",Rhode Island,,
28,,38.0,Declan Williams,So.,LB,6-2,230.0,"Cinnaminson, N.J. / Paul VI",Rhode Island,,
29,,39.0,Cole Brockwell,R-Jr.,LB,6-0,228.0,"Westport, Conn. / Staples",Rhode Island,,
30,,42.0,Sean Stackpole,R-Fr.,DL,6-4,255.0,"Chelmsford, Mass. / The Tilton School",Rhode Island,,
31,,43.0,Seun Filaoye,R-Jr.,DB,5-10,187.0,"Providence, R.I. / Bishop Hendricken",Rhode Island,,
32,,45.0,A.J. Pena,So.,LB,6-2,235.0,"Branchburg, N.J. / Milford Academy",Rhode Island,,
33,,46.0,Dylan Shank,R-Fr.,K,5-11,205.0,"Mount Laurel, N.J. / Lenape",Rhode Island,,
34,,47.0,Jarrett Martin,R-Jr.,LB,6-3,220.0,"Franklin, Mass. / Catholic Memorial (Bryant)",Rhode Island,,
35,,48.0,Sean Pelkisson,R-Jr.,LB,6-3,240.0,"Downington, Pa. / Downington West (Ga. Southern)",Rhode Island,,
36,,49.0,Gabe Franco,R-Fr.,LB,6-1,215.0,"East Providence, R.I. / Bishop Hendricken",Rhode Island,,
37,,50.0,Matthew Osinaga,R-So.,DL,6-2,255.0,"Providence, R.I. / Mt. Pleasant",Rhode Island,,
38,,51.0,Adebayo Adeyemo,R-Fr.,DL,6-6,275.0,"East Providence, R.I. / Bishop Hendricken",Rhode Island,,
39,,55.0,Kai Rose,R-So.,OL,6-3,330.0,"Martha’s Vineyard, Mass. / Tilton School",Rhode Island,,
40,,57.0,Michael Strachan,R-So.,LB,6-2,230.0,"Attleboro, Mass. / Attleboro",Rhode Island,,
41,,59.0,Paul Fuller,R-Fr.,LB,6-2,205.0,"Larchmont, N.Y. / Mamaroneck (Suffield)",Rhode Island,,
42,,60.0,Nick Lombardo,R-Fr.,OL,6-2,285.0,"Hope, R.I. / La Salle Academy",Rhode Island,,
43,,61.0,Daniel Ayriyan,5th,OL,6-2,290.0,"Smithfield, R.I. / Smithfield",Rhode Island,,
44,,62.0,Richard King,R-So.,OL,6-3,305.0,"Cranston, R.I. / Bishop Hendricken",Rhode Island,,
45,,64.0,Sebastian Delasoudas,R-Sr.,OL,6-2,305.0,"Ft. Lee, N.J. / Don Bosco",Rhode Island,,
46,,67.0,Jordan Riendeau,R-Jr.,OL,6-5,285.0,"Narragansett, R.I. / Narragansett",Rhode Island,,
47,,70.0,Adam McKanna,R-So.,OL,6-5,300.0,"Summerville, S.C. / Summerville",Rhode Island,,
48,,71.0,Kevin Pyne,Gr.,OL,6-8,310.0,"Milford, Mass. / Milford (Boston College)",Rhode Island,,
49,,72.0,Jacob Otts,R-So.,OL,6-7,300.0,"Jacksonville, Fla. / Bartram Trail",Rhode Island,,
50,,74.0,Tre Alexander,R-Fr.,OL,6-2,321.0,"Tampa, Fla. / Jesuit",Rhode Island,,
51,,75.0,Nick Correia,R-Sr.,OL,6-6,330.0,"Nantucket, Mass. / Nantucket",Rhode Island,,
52,,76.0,Michael Scibelli,R-Sr.,OL,6-3,290.0,"Oceanside, N.Y. / Oceanside (Miami)",Rhode Island,,
53,,77.0,Asa Neal,R-Fr.,OL,6-4,305.0,"Rahway, N.J. / Erasmus Hall",Rhode Island,,
54,,78.0,Lorenzo Thompson,R-Sr.,OL,6-7,295.0,"Syracuse, N.Y. / Cicero North",Rhode Island,,
55,,79.0,Brock Bethea,R-So.,OL,6-5,305.0,"Pinson, Ala. / Clay-Chalkville (Chattanooga)",Rhode Island,,
56,,81.0,Tommy Smith,R-Jr.,TE,6-2,230.0,"Maynard, Mass. / Maynard",Rhode Island,,
57,,83.0,Makai Bodden,Fr.,WR,5-10,175.0,"Nantucket, Mass. / IMG Academy",Rhode Island,,
58,,84.0,Jig Williams,Jr.,WR,6-3,195.0,"Minneola, Fla. / Lake Minneola",Rhode Island,,
59,,85.0,Mack Murtha,R-Fr.,WR,5-10,180.0,"West Sayville, N.Y. / Sayville",Rhode Island,,
60,,87.0,Hunter Hopperton,So.,TE,6-3,250.0,"Streetsboro, Ohio / Streetsboro",Rhode Island,,
61,,88.0,Kevin Schaeffer,R-So.,TE,6-5,245.0,"Hewitt, N.J. / West Milford (Rutgers)",Rhode Island,,
62,,89.0,Brady Roark,R-Jr.,TE,6-2,230.0,"Mahwah, N.J. / St. Joseph Regional",Rhode Island,,
63,,90.0,Gabe Salomons,Jr.,LB,6-4,240.0,"West Hartford, Conn. / Hall",Rhode Island,,
64,,91.0,Treyvon Christian,R-Fr.,DL,6-3,295.0,"Norwich, Conn. / Norwich Free Academy",Rhode Island,,
65,,92.0,Tosin Akinsulire,R-Fr.,DL,6-4,277.0,"Providence, R.I. / Classical",Rhode Island,,
66,,93.0,Bless Nyanneh,R-Fr.,DL,6-3,265.0,"Providence, R.I. / Bishop Hendricken",Rhode Island,,
67,,94.0,Desmond Mamudi,R-So.,DL,6-3,305.0,"Tampa, Fla. / Carrollwood (Virginia Tech)",Rhode Island,,
68,,95.0,Donato Crisanti,R-Jr.,LS,6-5,231.0,"North Haven, Conn. / St. Thomas More (Rutgers)",Rhode Island,,
69,,96.0,Michael Powell,Fr.,DL,-,,"Dorchester, Mass. /",Rhode Island,,
70,,97.0,Jalen Brown,Gr.,DL,6-0,266.0,"Clinton, Md. / DeMatha Catholic (Saint Francis)",Rhode Island,,
71,,98.0,Jasyn Andrews,R-Sr.,DL,6-3,298.0,"Stamford, Conn. / Trinity Catholic (Western New England)",Rhode Island,,
72,,99.0,"Westley Neal, Jr.",Jr.,DL,6-0,315.0,"Miami, Fla. / Gulliver Prep",Rhode Island,,
0,,,Jim Fleming,,,,,,Rhode Island,,Head Coach
1,,,Chris Bergeski,,,,,,Rhode Island,,Wide Receivers
2,,,Jack Cooper,,,,,,Rhode Island,,Defensive Coordinator/Defensive Backs
3,,,Austin Cordova,,,,,,Rhode Island,,Defensive Backs Assistant/Video Coordinator
4,,,John Fils-Aime,,,,,,Rhode Island,,Offensive Quality Control
5,,,Jake Fire,,,,,,Rhode Island,,Defensive Quality Control
6,,,Mike Flanagan,,,,,,Rhode Island,,Associate Head Coach/Running Backs/Recruiting Coordinator
7,,,Troy Gilmer,,,,,,Rhode Island,,Outside Linebackers Coach//Special Teams Coordinator
8,,,Marcell Lazard,,,,,,Rhode Island,,Defensive Line
9,,,Chris Lorenti,,,,,,Rhode Island,,Inside Linebackers Coach
10,,,Clayton McGrath,,,,,,Rhode Island,,Defensive Quality Control
11,,,Zach Metkler,,,,,,Rhode Island,,Director of Operations/Assistant Offensive Line/Director of Player Personnel/Pro Liaison
12,,,Eddy Morrissey,,,,,,Rhode Island,,Offensive Line
13,,,Patrick Murphy,,,,,,Rhode Island,,Offensive Coordinator/Quarterbacks
14,,,Brendan Patterson,,,,,,Rhode Island,,Tight Ends Coach
15,,,Vince Sinagra,,,,,,Rhode Island,,Chief of Staff
16,,,Robert Izzi,,,,,,Rhode Island,,Team Chaplain
